date,Donald Trump,Hillary Clinton
2016-06-01,15,9
2016-06-02,14,10
2016-06-03,15,11
2016-06-04,15,9
2016-06-05,14,10
2016-06-06,15,9
2016-06-07,19,18
2016-06-08,24,33
2016-06-09,22,22
2016-06-10,25,29
2016-06-11,21,25
2016-06-12,25,17
2016-06-13,27,13
2016-06-14,26,12
2016-06-15,22,12
2016-06-16,18,7
2016-06-17,20,9
2016-06-18,26,7
2016-06-19,23,8
2016-06-20,14,6
2016-06-21,20,8
2016-06-22,21,11
2016-06-23,19,8
2016-06-24,18,6
2016-06-25,15,8
2016-06-26,15,7
2016-06-27,12,10
2016-06-28,14,12
2016-06-29,12,9
2016-06-30,12,9
2016-07-01,13,11
2016-07-02,15,10
2016-07-03,14,15
2016-07-04,13,12
2016-07-05,16,21
2016-07-06,17,24
2016-07-07,16,19
2016-07-08,16,19
2016-07-09,13,13
2016-07-10,12,9
2016-07-11,11,7
2016-07-12,14,13
2016-07-13,14,11
2016-07-14,17,9
2016-07-15,17,11
2016-07-16,20,12
2016-07-17,17,10
2016-07-18,18,9
2016-07-19,56,17
2016-07-20,63,18
2016-07-21,54,17
2016-07-22,82,31
2016-07-23,38,33
2016-07-24,25,19
2016-07-25,25,23
2016-07-26,32,31
2016-07-27,32,46
2016-07-28,48,37
2016-07-29,47,75
2016-07-30,30,28
2016-07-31,30,24
2016-08-01,31,17
2016-08-02,28,19
2016-08-03,35,14
2016-08-04,25,15
2016-08-05,26,17
2016-08-06,21,11
2016-08-07,22,12
2016-08-08,21,16
2016-08-09,22,15
2016-08-10,26,16
2016-08-11,20,15
2016-08-12,20,11
2016-08-13,18,13
2016-08-14,17,11
2016-08-15,17,10
2016-08-16,17,9
2016-08-17,21,12
2016-08-18,18,11
2016-08-19,24,12
2016-08-20,24,12
2016-08-21,17,14
2016-08-22,18,16
2016-08-23,14,14
2016-08-24,14,13
2016-08-25,18,14
2016-08-26,17,12
2016-08-27,19,11
2016-08-28,16,15
2016-08-29,19,10
2016-08-30,18,11
2016-08-31,30,10
2016-09-01,34,17
2016-09-02,17,13
2016-09-03,16,14
2016-09-04,16,10
2016-09-05,15,10
2016-09-06,16,16
2016-09-07,17,13
2016-09-08,21,19
2016-09-09,17,16
2016-09-10,13,13
2016-09-11,18,52
2016-09-12,17,69
2016-09-13,17,54
2016-09-14,21,39
2016-09-15,22,25
2016-09-16,23,20
2016-09-17,17,19
2016-09-18,13,17
2016-09-19,15,15
2016-09-20,19,18
2016-09-21,18,15
2016-09-22,17,16
2016-09-23,17,18
2016-09-24,16,16
2016-09-25,16,14
2016-09-26,20,17
2016-09-27,72,81
2016-09-28,33,32
2016-09-29,32,23
2016-09-30,26,22
2016-10-01,27,18
2016-10-02,29,18
2016-10-03,29,18
2016-10-04,28,17
2016-10-05,34,20
2016-10-06,34,17
2016-10-07,31,13
2016-10-08,100,24
2016-10-09,71,23
2016-10-10,93,59
2016-10-11,56,29
2016-10-12,42,27
2016-10-13,43,26
2016-10-14,42,23
2016-10-15,38,21
2016-10-16,33,24
2016-10-17,30,21
2016-10-18,33,24
2016-10-19,30,23
2016-10-20,86,50
2016-10-21,39,28
2016-10-22,31,22
2016-10-23,29,19
2016-10-24,26,20
2016-10-25,30,22
2016-10-26,33,24
2016-10-27,32,23
2016-10-28,30,43
2016-10-29,35,55
2016-10-30,27,39
2016-10-31,27,37
2016-11-01,28,39
2016-11-02,31,49
2016-11-03,30,53
2016-11-04,36,37
2016-11-05,35,40
2016-11-06,53,42
2016-11-07,47,47
2016-11-08,83,76
