date,Joe Biden,Donald Trump
2020-06-01,5,33
2020-06-02,8,31
2020-06-03,8,24
2020-06-04,7,22
2020-06-05,6,21
2020-06-06,7,18
2020-06-07,5,16
2020-06-08,5,15
2020-06-09,5,14
2020-06-10,6,15
2020-06-11,7,13
2020-06-12,6,14
2020-06-13,6,13
2020-06-14,5,24
2020-06-15,5,21
2020-06-16,5,14
2020-06-17,6,13
2020-06-18,4,13
2020-06-19,6,14
2020-06-20,6,14
2020-06-21,10,20
2020-06-22,8,17
2020-06-23,7,21
2020-06-24,9,18
2020-06-25,10,13
2020-06-26,11,16
2020-06-27,9,18
2020-06-28,7,46
2020-06-29,8,35
2020-06-30,9,20
2020-07-01,7,14
2020-07-02,8,15
2020-07-03,7,12
2020-07-04,8,24
2020-07-05,7,16
2020-07-06,6,14
2020-07-07,8,14
2020-07-08,8,17
2020-07-09,7,15
2020-07-10,7,12
2020-07-11,8,12
2020-07-12,6,11
2020-07-13,5,10
2020-07-14,6,12
2020-07-15,9,14
2020-07-16,5,12
2020-07-17,6,13
2020-07-18,8,13
2020-07-19,7,12
2020-07-20,7,12
2020-07-21,9,12
2020-07-22,9,9
2020-07-23,8,10
2020-07-24,9,11
2020-07-25,7,10
2020-07-26,6,9
2020-07-27,7,10
2020-07-28,6,10
2020-07-29,11,12
2020-07-30,8,13
2020-07-31,7,10
2020-08-01,7,13
2020-08-02,8,11
2020-08-03,6,8
2020-08-04,8,10
2020-08-05,8,10
2020-08-06,15,10
2020-08-07,16,10
2020-08-08,17,11
2020-08-09,15,12
2020-08-10,11,11
2020-08-11,33,12
2020-08-12,30,13
2020-08-13,15,13
2020-08-14,12,12
2020-08-15,10,12
2020-08-16,11,29
2020-08-17,10,14
2020-08-18,15,15
2020-08-19,27,13
2020-08-20,19,14
2020-08-21,41,17
2020-08-22,19,11
2020-08-23,13,12
2020-08-24,14,12
2020-08-25,11,24
2020-08-26,10,22
2020-08-27,11,22
2020-08-28,15,27
2020-08-29,12,15
2020-08-30,9,11
2020-08-31,11,10
2020-09-01,15,10
2020-09-02,12,11
2020-09-03,11,10
2020-09-04,12,13
2020-09-05,11,11
2020-09-06,9,11
2020-09-07,10,11
2020-09-08,11,10
2020-09-09,10,12
2020-09-10,10,11
2020-09-11,11,10
2020-09-12,8,10
2020-09-13,10,10
2020-09-14,10,10
2020-09-15,11,10
2020-09-16,13,10
2020-09-17,14,9
2020-09-18,16,11
2020-09-19,11,16
2020-09-20,13,10
2020-09-21,12,9
2020-09-22,11,11
2020-09-23,13,10
2020-09-24,13,12
2020-09-25,12,8
2020-09-26,13,13
2020-09-27,12,10
2020-09-28,12,16
2020-09-29,20,14
2020-09-30,76,39
2020-10-01,29,17
2020-10-02,31,100
2020-10-03,22,58
2020-10-04,18,44
2020-10-05,16,34
2020-10-06,18,30
2020-10-07,15,27
2020-10-08,32,26
2020-10-09,19,19
2020-10-10,12,18
2020-10-11,13,15
2020-10-12,13,15
2020-10-13,17,13
2020-10-14,18,16
2020-10-15,23,16
2020-10-16,24,18
2020-10-17,21,15
2020-10-18,20,16
2020-10-19,17,19
2020-10-20,16,17
2020-10-21,18,14
2020-10-22,21,19
2020-10-23,54,24
2020-10-24,23,15
2020-10-25,21,16
2020-10-26,21,16
2020-10-27,21,17
2020-10-28,25,20
2020-10-29,19,19
2020-10-30,19,18
2020-10-31,18,16
2020-11-01,21,18
2020-11-02,25,23
2020-11-03,41,33
