date,Kamala Harris,Donald Trump
2024-06-01,0,8
2024-06-02,0,6
2024-06-03,0,4
2024-06-04,0,4
2024-06-05,0,4
2024-06-06,1,5
2024-06-07,0,4
2024-06-08,0,3
2024-06-09,0,3
2024-06-10,0,3
2024-06-11,0,3
2024-06-12,0,3
2024-06-13,0,3
2024-06-14,0,4
2024-06-15,0,3
2024-06-16,0,3
2024-06-17,0,2
2024-06-18,0,2
2024-06-19,0,2
2024-06-20,1,3
2024-06-21,0,2
2024-06-22,0,2
2024-06-23,0,2
2024-06-24,1,3
2024-06-25,1,3
2024-06-26,0,2
2024-06-27,0,3
2024-06-28,3,14
2024-06-29,1,5
2024-06-30,1,3
2024-07-01,1,4
2024-07-02,2,4
2024-07-03,3,3
2024-07-04,4,4
2024-07-05,3,2
2024-07-06,2,3
2024-07-07,1,3
2024-07-08,2,3
2024-07-09,1,3
2024-07-10,2,4
2024-07-11,3,4
2024-07-12,3,3
2024-07-13,2,67
2024-07-14,2,100
2024-07-15,2,25
2024-07-16,2,19
2024-07-17,2,15
2024-07-18,4,22
2024-07-19,5,24
2024-07-20,4,8
2024-07-21,51,10
2024-07-22,72,9
2024-07-23,60,8
2024-07-24,45,7
2024-07-25,46,6
2024-07-26,34,6
2024-07-27,24,7
2024-07-28,20,6
2024-07-29,17,23
2024-07-30,19,19
2024-07-31,27,10
2024-08-01,30,8
2024-08-02,21,4
2024-08-03,18,5
2024-08-04,19,5
2024-08-05,17,4
2024-08-06,31,5
2024-08-07,20,6
2024-08-08,20,5
2024-08-09,30,3
2024-08-10,29,7
2024-08-11,16,5
2024-08-12,12,5
2024-08-13,12,6
2024-08-14,11,4
2024-08-15,9,4
2024-08-16,11,4
2024-08-17,11,3
2024-08-18,10,4
2024-08-19,9,4
2024-08-20,14,6
2024-08-21,16,6
2024-08-22,15,8
2024-08-23,39,10
2024-08-24,14,8
2024-08-25,12,4
2024-08-26,10,3
2024-08-27,9,4
2024-08-28,9,5
2024-08-29,11,3
2024-08-30,17,4
2024-08-31,9,4
2024-09-01,8,2
2024-09-02,8,4
2024-09-03,7,3
2024-09-04,8,3
2024-09-05,7,3
2024-09-06,6,4
2024-09-07,8,3
2024-09-08,6,3
2024-09-09,6,4
2024-09-10,9,5
2024-09-11,40,16
2024-09-12,17,9
2024-09-13,13,5
2024-09-14,12,6
2024-09-15,10,15
2024-09-16,8,14
2024-09-17,8,6
2024-09-18,9,5
2024-09-19,8,4
2024-09-20,9,4
2024-09-21,10,4
2024-09-22,10,3
2024-09-23,9,4
2024-09-24,10,4
2024-09-25,10,5
2024-09-26,10,4
2024-09-27,11,4
2024-09-28,11,3
2024-09-29,9,3
2024-09-30,7,3
2024-10-01,8,4
2024-10-02,8,6
2024-10-03,7,4
2024-10-04,7,6
2024-10-05,7,6
2024-10-06,7,4
2024-10-07,8,4
2024-10-08,12,3
2024-10-09,12,4
2024-10-10,12,4
2024-10-11,14,4
2024-10-12,10,4
2024-10-13,9,5
2024-10-14,7,5
2024-10-15,9,5
2024-10-16,13,5
2024-10-17,16,5
2024-10-18,11,5
2024-10-19,11,5
2024-10-20,12,5
2024-10-21,13,6
2024-10-22,10,5
2024-10-23,10,8
2024-10-24,12,8
2024-10-25,13,7
2024-10-26,13,8
2024-10-27,12,9
2024-10-28,13,7
2024-10-29,13,8
2024-10-30,15,6
2024-10-31,15,8
2024-11-01,13,9
2024-11-02,11,6
2024-11-03,17,7
2024-11-04,16,9
2024-11-05,43,51
