date,Donald Trump,Hillary Clinton
2016-06-01,14,7
2016-06-02,14,8
2016-06-03,13,8
2016-06-04,12,7
2016-06-05,16,8
2016-06-06,15,9
2016-06-07,16,17
2016-06-08,20,25
2016-06-09,16,18
2016-06-10,17,23
2016-06-11,16,18
2016-06-12,26,13
2016-06-13,23,10
2016-06-14,25,10
2016-06-15,28,10
2016-06-16,17,8
2016-06-17,15,8
2016-06-18,12,7
2016-06-19,14,8
2016-06-20,11,6
2016-06-21,19,8
2016-06-22,19,9
2016-06-23,13,8
2016-06-24,15,6
2016-06-25,16,7
2016-06-26,14,8
2016-06-27,13,8
2016-06-28,14,10
2016-06-29,13,8
2016-06-30,13,7
2016-07-01,11,8
2016-07-02,11,10
2016-07-03,13,12
2016-07-04,14,11
2016-07-05,13,24
2016-07-06,18,24
2016-07-07,15,17
2016-07-08,16,25
2016-07-09,12,11
2016-07-10,12,9
2016-07-11,12,9
2016-07-12,12,11
2016-07-13,16,11
2016-07-14,18,10
2016-07-15,22,10
2016-07-16,18,11
2016-07-17,16,8
2016-07-18,19,11
2016-07-19,59,16
2016-07-20,65,16
2016-07-21,53,17
2016-07-22,88,30
2016-07-23,28,33
2016-07-24,27,19
2016-07-25,21,20
2016-07-26,34,28
2016-07-27,33,37
2016-07-28,46,33
2016-07-29,42,69
2016-07-30,25,26
2016-07-31,24,21
2016-08-01,26,16
2016-08-02,27,14
2016-08-03,33,14
2016-08-04,26,13
2016-08-05,24,12
2016-08-06,20,11
2016-08-07,18,10
2016-08-08,18,13
2016-08-09,21,14
2016-08-10,23,15
2016-08-11,19,13
2016-08-12,19,13
2016-08-13,17,10
2016-08-14,17,11
2016-08-15,16,10
2016-08-16,16,10
2016-08-17,17,9
2016-08-18,16,9
2016-08-19,23,10
2016-08-20,21,9
2016-08-21,19,10
2016-08-22,15,16
2016-08-23,17,14
2016-08-24,16,11
2016-08-25,19,11
2016-08-26,16,12
2016-08-27,16,10
2016-08-28,15,12
2016-08-29,15,9
2016-08-30,13,12
2016-08-31,17,9
2016-09-01,20,9
2016-09-02,16,9
2016-09-03,15,8
2016-09-04,16,8
2016-09-05,15,9
2016-09-06,15,12
2016-09-07,14,13
2016-09-08,17,15
2016-09-09,14,10
2016-09-10,13,11
2016-09-11,19,51
2016-09-12,18,72
2016-09-13,14,47
2016-09-14,17,33
2016-09-15,18,23
2016-09-16,21,17
2016-09-17,20,14
2016-09-18,16,11
2016-09-19,14,13
2016-09-20,16,13
2016-09-21,16,14
2016-09-22,15,13
2016-09-23,17,16
2016-09-24,12,11
2016-09-25,16,13
2016-09-26,21,18
2016-09-27,77,85
2016-09-28,29,28
2016-09-29,23,20
2016-09-30,24,19
2016-10-01,23,15
2016-10-02,27,15
2016-10-03,24,14
2016-10-04,22,14
2016-10-05,36,16
2016-10-06,29,13
2016-10-07,29,12
2016-10-08,94,21
2016-10-09,75,21
2016-10-10,100,53
2016-10-11,53,26
2016-10-12,45,26
2016-10-13,45,23
2016-10-14,38,22
2016-10-15,38,20
2016-10-16,32,20
2016-10-17,29,19
2016-10-18,32,19
2016-10-19,30,22
2016-10-20,91,51
2016-10-21,36,27
2016-10-22,31,17
2016-10-23,30,19
2016-10-24,27,18
2016-10-25,29,20
2016-10-26,35,24
2016-10-27,30,23
2016-10-28,30,47
2016-10-29,28,49
2016-10-30,27,36
2016-10-31,27,32
2016-11-01,29,33
2016-11-02,32,35
2016-11-03,32,41
2016-11-04,31,35
2016-11-05,31,34
2016-11-06,56,39
2016-11-07,48,47
2016-11-08,91,88
