date,Joe Biden,Donald Trump
2020-06-01,7,33
2020-06-02,11,32
2020-06-03,8,28
2020-06-04,8,24
2020-06-05,7,20
2020-06-06,9,23
2020-06-07,7,19
2020-06-08,7,17
2020-06-09,8,16
2020-06-10,8,15
2020-06-11,7,14
2020-06-12,8,14
2020-06-13,7,15
2020-06-14,8,32
2020-06-15,5,21
2020-06-16,6,14
2020-06-17,5,13
2020-06-18,6,14
2020-06-19,6,14
2020-06-20,8,16
2020-06-21,10,21
2020-06-22,7,14
2020-06-23,8,13
2020-06-24,6,12
2020-06-25,8,14
2020-06-26,10,13
2020-06-27,8,20
2020-06-28,8,38
2020-06-29,7,35
2020-06-30,9,20
2020-07-01,9,15
2020-07-02,7,13
2020-07-03,6,12
2020-07-04,7,24
2020-07-05,8,18
2020-07-06,7,16
2020-07-07,7,15
2020-07-08,7,16
2020-07-09,8,16
2020-07-10,8,13
2020-07-11,7,12
2020-07-12,6,13
2020-07-13,5,13
2020-07-14,7,12
2020-07-15,7,14
2020-07-16,7,14
2020-07-17,6,12
2020-07-18,7,16
2020-07-19,5,14
2020-07-20,7,12
2020-07-21,10,12
2020-07-22,8,10
2020-07-23,10,11
2020-07-24,7,10
2020-07-25,5,10
2020-07-26,8,11
2020-07-27,7,11
2020-07-28,7,12
2020-07-29,10,11
2020-07-30,8,15
2020-07-31,8,12
2020-08-01,8,13
2020-08-02,10,11
2020-08-03,8,10
2020-08-04,9,11
2020-08-05,12,11
2020-08-06,15,11
2020-08-07,18,9
2020-08-08,18,15
2020-08-09,15,13
2020-08-10,13,12
2020-08-11,47,13
2020-08-12,34,14
2020-08-13,18,13
2020-08-14,11,12
2020-08-15,10,13
2020-08-16,11,37
2020-08-17,12,16
2020-08-18,17,16
2020-08-19,27,13
2020-08-20,20,18
2020-08-21,42,17
2020-08-22,14,15
2020-08-23,12,13
2020-08-24,11,10
2020-08-25,8,22
2020-08-26,8,22
2020-08-27,10,20
2020-08-28,11,25
2020-08-29,9,13
2020-08-30,10,13
2020-08-31,11,13
2020-09-01,14,13
2020-09-02,12,11
2020-09-03,11,11
2020-09-04,11,12
2020-09-05,10,12
2020-09-06,11,11
2020-09-07,10,12
2020-09-08,10,10
2020-09-09,9,13
2020-09-10,9,14
2020-09-11,7,10
2020-09-12,7,12
2020-09-13,9,9
2020-09-14,7,9
2020-09-15,8,11
2020-09-16,13,12
2020-09-17,12,10
2020-09-18,14,11
2020-09-19,11,15
2020-09-20,10,11
2020-09-21,9,10
2020-09-22,11,9
2020-09-23,10,10
2020-09-24,10,13
2020-09-25,10,13
2020-09-26,11,11
2020-09-27,13,12
2020-09-28,13,17
2020-09-29,20,18
2020-09-30,100,43
2020-10-01,28,16
2020-10-02,28,93
2020-10-03,20,65
2020-10-04,16,46
2020-10-05,15,31
2020-10-06,19,29
2020-10-07,14,24
2020-10-08,30,28
2020-10-09,14,19
2020-10-10,12,15
2020-10-11,13,15
2020-10-12,12,15
2020-10-13,16,15
2020-10-14,16,15
2020-10-15,24,17
2020-10-16,23,19
2020-10-17,15,15
2020-10-18,16,13
2020-10-19,16,14
2020-10-20,16,16
2020-10-21,17,17
2020-10-22,22,18
2020-10-23,62,31
2020-10-24,19,17
2020-10-25,24,17
2020-10-26,26,16
2020-10-27,33,18
2020-10-28,26,17
2020-10-29,19,16
2020-10-30,23,22
2020-10-31,19,19
2020-11-01,21,21
2020-11-02,27,25
2020-11-03,51,39
