date,Kamala Harris,Donald Trump
2024-06-01,1,8
2024-06-02,0,6
2024-06-03,0,4
2024-06-04,0,3
2024-06-05,0,3
2024-06-06,0,3
2024-06-07,0,3
2024-06-08,0,4
2024-06-09,0,2
2024-06-10,1,3
2024-06-11,1,2
2024-06-12,1,3
2024-06-13,1,3
2024-06-14,2,4
2024-06-15,1,3
2024-06-16,0,2
2024-06-17,1,2
2024-06-18,2,2
2024-06-19,1,2
2024-06-20,0,2
2024-06-21,0,3
2024-06-22,0,2
2024-06-23,0,2
2024-06-24,0,2
2024-06-25,0,2
2024-06-26,0,2
2024-06-27,0,5
2024-06-28,3,17
2024-06-29,2,5
2024-06-30,1,4
2024-07-01,1,5
2024-07-02,2,4
2024-07-03,3,3
2024-07-04,4,3
2024-07-05,4,3
2024-07-06,2,3
2024-07-07,2,2
2024-07-08,2,3
2024-07-09,2,3
2024-07-10,2,4
2024-07-11,2,3
2024-07-12,3,3
2024-07-13,2,80
2024-07-14,1,100
2024-07-15,2,27
2024-07-16,2,20
2024-07-17,2,14
2024-07-18,5,22
2024-07-19,5,26
2024-07-20,3,7
2024-07-21,66,12
2024-07-22,79,10
2024-07-23,70,9
2024-07-24,50,7
2024-07-25,58,6
2024-07-26,41,6
2024-07-27,28,6
2024-07-28,23,5
2024-07-29,22,17
2024-07-30,41,16
2024-07-31,35,9
2024-08-01,32,8
2024-08-02,22,5
2024-08-03,20,6
2024-08-04,16,7
2024-08-05,17,5
2024-08-06,32,5
2024-08-07,20,4
2024-08-08,15,4
2024-08-09,14,4
2024-08-10,15,5
2024-08-11,13,4
2024-08-12,12,5
2024-08-13,10,6
2024-08-14,9,4
2024-08-15,9,3
2024-08-16,10,4
2024-08-17,10,3
2024-08-18,11,3
2024-08-19,10,4
2024-08-20,16,5
2024-08-21,18,7
2024-08-22,16,7
2024-08-23,40,7
2024-08-24,15,5
2024-08-25,13,4
2024-08-26,13,4
2024-08-27,11,4
2024-08-28,14,4
2024-08-29,17,3
2024-08-30,16,4
2024-08-31,9,4
2024-09-01,7,3
2024-09-02,9,3
2024-09-03,7,3
2024-09-04,8,3
2024-09-05,6,3
2024-09-06,6,3
2024-09-07,7,2
2024-09-08,6,3
2024-09-09,7,3
2024-09-10,9,4
2024-09-11,46,17
2024-09-12,17,7
2024-09-13,13,5
2024-09-14,12,5
2024-09-15,11,16
2024-09-16,8,12
2024-09-17,10,7
2024-09-18,9,6
2024-09-19,9,4
2024-09-20,16,4
2024-09-21,10,4
2024-09-22,12,4
2024-09-23,10,4
2024-09-24,9,5
2024-09-25,9,5
2024-09-26,8,4
2024-09-27,6,3
2024-09-28,7,3
2024-09-29,8,5
2024-09-30,8,4
2024-10-01,6,4
2024-10-02,10,6
2024-10-03,8,5
2024-10-04,7,5
2024-10-05,8,4
2024-10-06,8,3
2024-10-07,9,4
2024-10-08,10,4
2024-10-09,10,3
2024-10-10,9,4
2024-10-11,8,5
2024-10-12,8,4
2024-10-13,8,4
2024-10-14,8,5
2024-10-15,12,7
2024-10-16,14,6
2024-10-17,17,5
2024-10-18,14,5
2024-10-19,21,5
2024-10-20,22,8
2024-10-21,16,7
2024-10-22,14,7
2024-10-23,15,8
2024-10-24,24,8
2024-10-25,16,8
2024-10-26,15,7
2024-10-27,13,8
2024-10-28,13,11
2024-10-29,15,9
2024-10-30,16,7
2024-10-31,13,7
2024-11-01,15,8
2024-11-02,19,7
2024-11-03,20,10
2024-11-04,22,12
2024-11-05,58,59
