date,Donald Trump,Hillary Clinton
2016-06-01,14,6
2016-06-02,12,8
2016-06-03,13,8
2016-06-04,14,7
2016-06-05,13,7
2016-06-06,14,8
2016-06-07,16,16
2016-06-08,21,30
2016-06-09,15,18
2016-06-10,16,23
2016-06-11,16,18
2016-06-12,23,13
2016-06-13,22,10
2016-06-14,23,9
2016-06-15,19,9
2016-06-16,17,8
2016-06-17,14,7
2016-06-18,15,6
2016-06-19,14,8
2016-06-20,12,6
2016-06-21,16,7
2016-06-22,16,9
2016-06-23,13,7
2016-06-24,15,7
2016-06-25,14,6
2016-06-26,12,8
2016-06-27,12,7
2016-06-28,13,10
2016-06-29,11,7
2016-06-30,13,6
2016-07-01,11,8
2016-07-02,12,9
2016-07-03,13,10
2016-07-04,11,8
2016-07-05,13,21
2016-07-06,15,18
2016-07-07,14,14
2016-07-08,13,15
2016-07-09,12,13
2016-07-10,12,10
2016-07-11,12,8
2016-07-12,11,10
2016-07-13,12,9
2016-07-14,16,10
2016-07-15,20,10
2016-07-16,18,10
2016-07-17,18,12
2016-07-18,16,8
2016-07-19,45,16
2016-07-20,54,17
2016-07-21,43,15
2016-07-22,68,29
2016-07-23,29,32
2016-07-24,20,18
2016-07-25,20,19
2016-07-26,29,28
2016-07-27,31,35
2016-07-28,35,32
2016-07-29,39,68
2016-07-30,26,28
2016-07-31,25,17
2016-08-01,26,14
2016-08-02,27,15
2016-08-03,30,13
2016-08-04,27,12
2016-08-05,22,14
2016-08-06,20,10
2016-08-07,19,11
2016-08-08,25,16
2016-08-09,18,15
2016-08-10,21,16
2016-08-11,18,18
2016-08-12,16,11
2016-08-13,18,11
2016-08-14,18,9
2016-08-15,13,8
2016-08-16,16,9
2016-08-17,16,10
2016-08-18,15,10
2016-08-19,24,7
2016-08-20,19,8
2016-08-21,15,12
2016-08-22,15,15
2016-08-23,14,13
2016-08-24,13,10
2016-08-25,18,13
2016-08-26,14,12
2016-08-27,15,10
2016-08-28,14,10
2016-08-29,13,8
2016-08-30,14,9
2016-08-31,16,10
2016-09-01,18,11
2016-09-02,13,8
2016-09-03,16,8
2016-09-04,18,9
2016-09-05,15,9
2016-09-06,12,12
2016-09-07,15,12
2016-09-08,17,16
2016-09-09,12,10
2016-09-10,14,10
2016-09-11,19,45
2016-09-12,16,66
2016-09-13,16,48
2016-09-14,19,33
2016-09-15,21,25
2016-09-16,19,20
2016-09-17,16,12
2016-09-18,14,12
2016-09-19,14,12
2016-09-20,17,13
2016-09-21,17,13
2016-09-22,15,14
2016-09-23,15,17
2016-09-24,15,13
2016-09-25,13,13
2016-09-26,21,19
2016-09-27,80,84
2016-09-28,29,29
2016-09-29,23,20
2016-09-30,31,19
2016-10-01,26,17
2016-10-02,30,17
2016-10-03,26,15
2016-10-04,21,17
2016-10-05,36,17
2016-10-06,36,14
2016-10-07,25,14
2016-10-08,87,22
2016-10-09,73,24
2016-10-10,97,66
2016-10-11,52,32
2016-10-12,41,28
2016-10-13,47,26
2016-10-14,40,25
2016-10-15,35,20
2016-10-16,32,22
2016-10-17,33,19
2016-10-18,30,20
2016-10-19,31,21
2016-10-20,88,47
2016-10-21,37,27
2016-10-22,31,23
2016-10-23,29,20
2016-10-24,25,18
2016-10-25,29,21
2016-10-26,31,21
2016-10-27,29,22
2016-10-28,29,42
2016-10-29,26,42
2016-10-30,31,35
2016-10-31,36,36
2016-11-01,31,34
2016-11-02,34,35
2016-11-03,34,39
2016-11-04,35,43
2016-11-05,34,35
2016-11-06,67,48
2016-11-07,66,61
2016-11-08,100,88
