date,Joe Biden,Donald Trump
2020-06-01,7,30
2020-06-02,12,31
2020-06-03,8,28
2020-06-04,7,23
2020-06-05,7,22
2020-06-06,8,20
2020-06-07,7,20
2020-06-08,7,16
2020-06-09,7,17
2020-06-10,5,14
2020-06-11,8,16
2020-06-12,6,15
2020-06-13,7,16
2020-06-14,8,28
2020-06-15,6,16
2020-06-16,7,15
2020-06-17,5,15
2020-06-18,6,17
2020-06-19,6,17
2020-06-20,7,15
2020-06-21,12,24
2020-06-22,8,18
2020-06-23,7,16
2020-06-24,8,14
2020-06-25,10,16
2020-06-26,11,16
2020-06-27,8,21
2020-06-28,7,37
2020-06-29,8,32
2020-06-30,9,18
2020-07-01,9,14
2020-07-02,8,16
2020-07-03,6,15
2020-07-04,8,28
2020-07-05,8,18
2020-07-06,8,16
2020-07-07,6,16
2020-07-08,6,14
2020-07-09,10,17
2020-07-10,8,15
2020-07-11,10,14
2020-07-12,7,15
2020-07-13,5,12
2020-07-14,6,14
2020-07-15,7,16
2020-07-16,8,14
2020-07-17,7,13
2020-07-18,7,16
2020-07-19,7,15
2020-07-20,7,13
2020-07-21,11,14
2020-07-22,10,12
2020-07-23,10,12
2020-07-24,7,13
2020-07-25,8,11
2020-07-26,8,12
2020-07-27,8,13
2020-07-28,8,14
2020-07-29,14,13
2020-07-30,11,16
2020-07-31,11,13
2020-08-01,11,15
2020-08-02,11,13
2020-08-03,11,13
2020-08-04,13,14
2020-08-05,13,11
2020-08-06,19,12
2020-08-07,17,14
2020-08-08,22,14
2020-08-09,18,15
2020-08-10,20,15
2020-08-11,52,16
2020-08-12,38,16
2020-08-13,20,17
2020-08-14,15,18
2020-08-15,13,14
2020-08-16,12,34
2020-08-17,12,17
2020-08-18,23,19
2020-08-19,33,15
2020-08-20,24,18
2020-08-21,46,19
2020-08-22,18,14
2020-08-23,16,17
2020-08-24,13,14
2020-08-25,12,28
2020-08-26,11,25
2020-08-27,11,24
2020-08-28,14,28
2020-08-29,12,16
2020-08-30,12,13
2020-08-31,14,13
2020-09-01,17,14
2020-09-02,14,15
2020-09-03,14,12
2020-09-04,15,16
2020-09-05,15,15
2020-09-06,13,14
2020-09-07,15,14
2020-09-08,15,12
2020-09-09,19,17
2020-09-10,15,16
2020-09-11,14,16
2020-09-12,11,13
2020-09-13,13,15
2020-09-14,12,15
2020-09-15,15,14
2020-09-16,16,13
2020-09-17,14,13
2020-09-18,18,14
2020-09-19,15,17
2020-09-20,15,14
2020-09-21,12,11
2020-09-22,14,12
2020-09-23,13,12
2020-09-24,13,14
2020-09-25,13,14
2020-09-26,14,14
2020-09-27,15,12
2020-09-28,18,22
2020-09-29,22,21
2020-09-30,100,49
2020-10-01,34,20
2020-10-02,39,95
2020-10-03,23,68
2020-10-04,22,45
2020-10-05,19,39
2020-10-06,23,34
2020-10-07,18,31
2020-10-08,34,30
2020-10-09,16,23
2020-10-10,16,19
2020-10-11,17,18
2020-10-12,16,16
2020-10-13,20,19
2020-10-14,18,20
2020-10-15,28,19
2020-10-16,32,22
2020-10-17,20,21
2020-10-18,23,20
2020-10-19,20,18
2020-10-20,22,20
2020-10-21,24,22
2020-10-22,26,23
2020-10-23,66,30
2020-10-24,24,23
2020-10-25,25,19
2020-10-26,25,20
2020-10-27,30,24
2020-10-28,31,20
2020-10-29,29,19
2020-10-30,30,28
2020-10-31,30,27
2020-11-01,26,29
2020-11-02,31,30
2020-11-03,49,45
