date,Kamala Harris,Donald Trump
2024-06-01,0,8
2024-06-02,0,6
2024-06-03,0,4
2024-06-04,0,4
2024-06-05,0,3
2024-06-06,0,3
2024-06-07,1,3
2024-06-08,1,3
2024-06-09,1,3
2024-06-10,1,3
2024-06-11,0,3
2024-06-12,0,3
2024-06-13,0,2
2024-06-14,0,5
2024-06-15,0,5
2024-06-16,0,3
2024-06-17,0,2
2024-06-18,0,2
2024-06-19,0,1
2024-06-20,0,3
2024-06-21,0,2
2024-06-22,0,2
2024-06-23,1,3
2024-06-24,0,3
2024-06-25,0,2
2024-06-26,0,2
2024-06-27,0,4
2024-06-28,3,15
2024-06-29,2,5
2024-06-30,2,4
2024-07-01,1,4
2024-07-02,1,4
2024-07-03,3,3
2024-07-04,3,5
2024-07-05,3,3
2024-07-06,2,3
2024-07-07,2,3
2024-07-08,1,3
2024-07-09,2,3
2024-07-10,1,4
2024-07-11,2,3
2024-07-12,2,4
2024-07-13,1,86
2024-07-14,1,100
2024-07-15,2,28
2024-07-16,2,19
2024-07-17,4,15
2024-07-18,5,20
2024-07-19,5,23
2024-07-20,4,11
2024-07-21,58,13
2024-07-22,76,10
2024-07-23,65,9
2024-07-24,47,8
2024-07-25,52,6
2024-07-26,37,7
2024-07-27,25,7
2024-07-28,20,7
2024-07-29,18,18
2024-07-30,19,16
2024-07-31,28,9
2024-08-01,29,8
2024-08-02,22,6
2024-08-03,20,4
2024-08-04,17,5
2024-08-05,18,5
2024-08-06,36,5
2024-08-07,28,6
2024-08-08,23,6
2024-08-09,14,5
2024-08-10,14,4
2024-08-11,15,5
2024-08-12,12,6
2024-08-13,12,8
2024-08-14,10,4
2024-08-15,10,4
2024-08-16,12,4
2024-08-17,11,4
2024-08-18,11,5
2024-08-19,10,6
2024-08-20,16,7
2024-08-21,17,7
2024-08-22,16,7
2024-08-23,40,7
2024-08-24,15,5
2024-08-25,12,4
2024-08-26,10,6
2024-08-27,10,5
2024-08-28,10,5
2024-08-29,12,5
2024-08-30,17,5
2024-08-31,10,4
2024-09-01,9,3
2024-09-02,11,3
2024-09-03,9,4
2024-09-04,9,4
2024-09-05,7,3
2024-09-06,7,4
2024-09-07,7,4
2024-09-08,6,3
2024-09-09,7,3
2024-09-10,10,5
2024-09-11,45,18
2024-09-12,17,7
2024-09-13,15,6
2024-09-14,12,5
2024-09-15,11,17
2024-09-16,8,13
2024-09-17,9,7
2024-09-18,9,6
2024-09-19,11,5
2024-09-20,13,5
2024-09-21,11,4
2024-09-22,10,4
2024-09-23,10,4
2024-09-24,9,5
2024-09-25,9,5
2024-09-26,9,4
2024-09-27,8,5
2024-09-28,8,5
2024-09-29,9,4
2024-09-30,8,4
2024-10-01,10,4
2024-10-02,10,6
2024-10-03,9,5
2024-10-04,12,4
2024-10-05,9,4
2024-10-06,9,4
2024-10-07,9,4
2024-10-08,10,4
2024-10-09,9,4
2024-10-10,8,5
2024-10-11,8,6
2024-10-12,8,5
2024-10-13,10,5
2024-10-14,10,5
2024-10-15,13,5
2024-10-16,16,6
2024-10-17,19,5
2024-10-18,19,7
2024-10-19,14,6
2024-10-20,14,7
2024-10-21,16,7
2024-10-22,13,7
2024-10-23,13,7
2024-10-24,14,7
2024-10-25,13,8
2024-10-26,19,10
2024-10-27,16,7
2024-10-28,19,9
2024-10-29,18,9
2024-10-30,16,9
2024-10-31,11,9
2024-11-01,13,9
2024-11-02,15,10
2024-11-03,27,9
2024-11-04,20,13
2024-11-05,54,65
