date,Donald Trump,Hillary Clinton
2016-06-01,13,7
2016-06-02,14,8
2016-06-03,14,8
2016-06-04,13,6
2016-06-05,16,8
2016-06-06,14,8
2016-06-07,14,15
2016-06-08,21,28
2016-06-09,18,20
2016-06-10,20,23
2016-06-11,17,17
2016-06-12,26,16
2016-06-13,25,10
2016-06-14,33,10
2016-06-15,28,12
2016-06-16,15,8
2016-06-17,14,8
2016-06-18,14,8
2016-06-19,13,8
2016-06-20,13,7
2016-06-21,17,10
2016-06-22,20,17
2016-06-23,15,8
2016-06-24,16,7
2016-06-25,13,7
2016-06-26,15,7
2016-06-27,13,9
2016-06-28,13,10
2016-06-29,14,9
2016-06-30,11,8
2016-07-01,13,10
2016-07-02,13,12
2016-07-03,14,14
2016-07-04,14,12
2016-07-05,21,31
2016-07-06,19,24
2016-07-07,15,17
2016-07-08,15,22
2016-07-09,12,13
2016-07-10,12,11
2016-07-11,12,9
2016-07-12,13,11
2016-07-13,14,8
2016-07-14,19,11
2016-07-15,23,10
2016-07-16,19,13
2016-07-17,16,12
2016-07-18,20,11
2016-07-19,56,17
2016-07-20,65,17
2016-07-21,58,18
2016-07-22,85,32
2016-07-23,31,34
2016-07-24,29,20
2016-07-25,29,24
2016-07-26,33,29
2016-07-27,35,35
2016-07-28,39,34
2016-07-29,42,71
2016-07-30,27,29
2016-07-31,26,22
2016-08-01,26,17
2016-08-02,32,16
2016-08-03,31,13
2016-08-04,29,16
2016-08-05,24,14
2016-08-06,20,10
2016-08-07,21,12
2016-08-08,23,12
2016-08-09,24,15
2016-08-10,24,15
2016-08-11,21,13
2016-08-12,21,12
2016-08-13,18,11
2016-08-14,16,9
2016-08-15,13,8
2016-08-16,14,11
2016-08-17,16,9
2016-08-18,20,9
2016-08-19,28,10
2016-08-20,22,9
2016-08-21,16,11
2016-08-22,15,16
2016-08-23,14,14
2016-08-24,17,11
2016-08-25,18,11
2016-08-26,15,12
2016-08-27,19,10
2016-08-28,16,11
2016-08-29,15,8
2016-08-30,13,10
2016-08-31,18,9
2016-09-01,22,11
2016-09-02,15,9
2016-09-03,13,10
2016-09-04,19,9
2016-09-05,17,12
2016-09-06,18,13
2016-09-07,18,13
2016-09-08,17,17
2016-09-09,17,13
2016-09-10,15,14
2016-09-11,22,60
2016-09-12,22,64
2016-09-13,20,46
2016-09-14,18,35
2016-09-15,22,29
2016-09-16,24,22
2016-09-17,21,18
2016-09-18,18,16
2016-09-19,16,15
2016-09-20,22,17
2016-09-21,18,16
2016-09-22,15,16
2016-09-23,18,18
2016-09-24,17,16
2016-09-25,16,15
2016-09-26,23,22
2016-09-27,83,99
2016-09-28,30,29
2016-09-29,25,22
2016-09-30,24,18
2016-10-01,29,18
2016-10-02,28,18
2016-10-03,25,17
2016-10-04,21,17
2016-10-05,36,20
2016-10-06,34,14
2016-10-07,27,13
2016-10-08,100,23
2016-10-09,68,22
2016-10-10,96,57
2016-10-11,53,29
2016-10-12,42,27
2016-10-13,45,24
2016-10-14,41,24
2016-10-15,41,19
2016-10-16,39,21
2016-10-17,33,18
2016-10-18,32,20
2016-10-19,29,20
2016-10-20,88,55
2016-10-21,41,28
2016-10-22,33,23
2016-10-23,33,29
2016-10-24,27,21
2016-10-25,30,22
2016-10-26,33,27
2016-10-27,32,30
2016-10-28,28,45
2016-10-29,30,52
2016-10-30,32,37
2016-10-31,29,35
2016-11-01,33,36
2016-11-02,34,37
2016-11-03,39,49
2016-11-04,37,42
2016-11-05,38,40
2016-11-06,61,46
2016-11-07,57,56
2016-11-08,88,85
