date,Joe Biden,Donald Trump
2020-06-01,7,31
2020-06-02,9,29
2020-06-03,8,25
2020-06-04,7,22
2020-06-05,6,19
2020-06-06,7,20
2020-06-07,6,18
2020-06-08,5,15
2020-06-09,8,17
2020-06-10,6,15
2020-06-11,5,13
2020-06-12,8,15
2020-06-13,7,13
2020-06-14,7,26
2020-06-15,6,20
2020-06-16,5,14
2020-06-17,6,13
2020-06-18,4,14
2020-06-19,6,14
2020-06-20,7,14
2020-06-21,10,22
2020-06-22,8,16
2020-06-23,8,13
2020-06-24,7,15
2020-06-25,8,15
2020-06-26,10,16
2020-06-27,8,20
2020-06-28,9,37
2020-06-29,8,32
2020-06-30,11,20
2020-07-01,8,16
2020-07-02,8,15
2020-07-03,6,15
2020-07-04,7,22
2020-07-05,8,19
2020-07-06,8,16
2020-07-07,6,16
2020-07-08,6,14
2020-07-09,10,15
2020-07-10,7,12
2020-07-11,6,13
2020-07-12,6,13
2020-07-13,7,11
2020-07-14,7,12
2020-07-15,8,14
2020-07-16,6,12
2020-07-17,6,11
2020-07-18,7,15
2020-07-19,6,13
2020-07-20,8,12
2020-07-21,10,12
2020-07-22,8,12
2020-07-23,8,11
2020-07-24,8,11
2020-07-25,7,11
2020-07-26,7,11
2020-07-27,8,10
2020-07-28,7,11
2020-07-29,10,12
2020-07-30,9,15
2020-07-31,8,10
2020-08-01,8,14
2020-08-02,9,12
2020-08-03,9,8
2020-08-04,9,10
2020-08-05,10,11
2020-08-06,15,12
2020-08-07,17,11
2020-08-08,16,14
2020-08-09,15,12
2020-08-10,14,12
2020-08-11,43,15
2020-08-12,34,14
2020-08-13,18,13
2020-08-14,12,13
2020-08-15,10,13
2020-08-16,11,34
2020-08-17,11,14
2020-08-18,17,14
2020-08-19,27,13
2020-08-20,22,16
2020-08-21,42,16
2020-08-22,16,14
2020-08-23,13,12
2020-08-24,11,15
2020-08-25,10,26
2020-08-26,10,22
2020-08-27,9,20
2020-08-28,13,24
2020-08-29,9,14
2020-08-30,11,14
2020-08-31,12,11
2020-09-01,15,11
2020-09-02,11,14
2020-09-03,12,13
2020-09-04,12,12
2020-09-05,14,14
2020-09-06,11,15
2020-09-07,10,11
2020-09-08,11,13
2020-09-09,10,15
2020-09-10,10,12
2020-09-11,10,12
2020-09-12,10,12
2020-09-13,12,11
2020-09-14,10,10
2020-09-15,9,11
2020-09-16,12,11
2020-09-17,15,11
2020-09-18,15,11
2020-09-19,13,17
2020-09-20,13,12
2020-09-21,11,10
2020-09-22,12,11
2020-09-23,15,11
2020-09-24,14,15
2020-09-25,11,10
2020-09-26,11,10
2020-09-27,16,13
2020-09-28,15,17
2020-09-29,23,15
2020-09-30,100,44
2020-10-01,28,17
2020-10-02,31,92
2020-10-03,19,63
2020-10-04,18,43
2020-10-05,14,33
2020-10-06,20,29
2020-10-07,17,27
2020-10-08,33,28
2020-10-09,15,20
2020-10-10,12,18
2020-10-11,14,15
2020-10-12,14,15
2020-10-13,16,14
2020-10-14,16,16
2020-10-15,24,16
2020-10-16,26,21
2020-10-17,20,15
2020-10-18,25,19
2020-10-19,18,16
2020-10-20,18,18
2020-10-21,20,19
2020-10-22,25,19
2020-10-23,63,32
2020-10-24,22,19
2020-10-25,23,17
2020-10-26,22,17
2020-10-27,24,17
2020-10-28,25,18
2020-10-29,22,19
2020-10-30,22,20
2020-10-31,21,19
2020-11-01,21,23
2020-11-02,27,25
2020-11-03,48,38
