date,Kamala Harris,Donald Trump
2024-06-01,0,8
2024-06-02,0,7
2024-06-03,0,4
2024-06-04,0,4
2024-06-05,0,3
2024-06-06,0,2
2024-06-07,0,3
2024-06-08,0,3
2024-06-09,0,3
2024-06-10,0,3
2024-06-11,1,3
2024-06-12,2,3
2024-06-13,0,3
2024-06-14,0,4
2024-06-15,0,3
2024-06-16,0,2
2024-06-17,0,2
2024-06-18,0,2
2024-06-19,1,2
2024-06-20,0,3
2024-06-21,1,2
2024-06-22,0,3
2024-06-23,1,2
2024-06-24,1,2
2024-06-25,0,2
2024-06-26,0,2
2024-06-27,1,3
2024-06-28,4,15
2024-06-29,1,4
2024-06-30,1,3
2024-07-01,1,4
2024-07-02,2,4
2024-07-03,4,3
2024-07-04,3,4
2024-07-05,4,3
2024-07-06,3,3
2024-07-07,2,3
2024-07-08,2,3
2024-07-09,2,3
2024-07-10,2,3
2024-07-11,5,3
2024-07-12,3,4
2024-07-13,3,86
2024-07-14,2,100
2024-07-15,2,27
2024-07-16,2,21
2024-07-17,2,16
2024-07-18,7,22
2024-07-19,6,27
2024-07-20,4,9
2024-07-21,69,11
2024-07-22,85,10
2024-07-23,77,9
2024-07-24,57,10
2024-07-25,60,8
2024-07-26,44,6
2024-07-27,28,6
2024-07-28,23,6
2024-07-29,21,22
2024-07-30,21,17
2024-07-31,32,9
2024-08-01,34,8
2024-08-02,21,6
2024-08-03,20,5
2024-08-04,19,4
2024-08-05,19,4
2024-08-06,40,5
2024-08-07,20,5
2024-08-08,16,5
2024-08-09,14,4
2024-08-10,14,5
2024-08-11,14,4
2024-08-12,13,6
2024-08-13,13,8
2024-08-14,14,7
2024-08-15,15,5
2024-08-16,26,4
2024-08-17,13,4
2024-08-18,11,4
2024-08-19,11,4
2024-08-20,16,6
2024-08-21,19,8
2024-08-22,17,8
2024-08-23,42,7
2024-08-24,16,4
2024-08-25,12,4
2024-08-26,11,4
2024-08-27,10,4
2024-08-28,10,4
2024-08-29,12,5
2024-08-30,15,4
2024-08-31,10,4
2024-09-01,8,3
2024-09-02,8,3
2024-09-03,7,3
2024-09-04,8,4
2024-09-05,6,3
2024-09-06,7,5
2024-09-07,7,3
2024-09-08,8,4
2024-09-09,9,3
2024-09-10,12,4
2024-09-11,53,18
2024-09-12,36,6
2024-09-13,17,6
2024-09-14,13,6
2024-09-15,13,17
2024-09-16,9,12
2024-09-17,8,7
2024-09-18,9,6
2024-09-19,8,5
2024-09-20,10,5
2024-09-21,10,6
2024-09-22,10,4
2024-09-23,9,4
2024-09-24,9,4
2024-09-25,10,6
2024-09-26,9,4
2024-09-27,7,4
2024-09-28,7,4
2024-09-29,9,5
2024-09-30,8,4
2024-10-01,8,5
2024-10-02,9,6
2024-10-03,8,5
2024-10-04,8,5
2024-10-05,10,4
2024-10-06,11,4
2024-10-07,10,4
2024-10-08,11,4
2024-10-09,9,4
2024-10-10,10,4
2024-10-11,9,4
2024-10-12,11,4
2024-10-13,14,4
2024-10-14,10,4
2024-10-15,11,5
2024-10-16,15,6
2024-10-17,16,6
2024-10-18,12,6
2024-10-19,13,6
2024-10-20,17,8
2024-10-21,16,10
2024-10-22,14,8
2024-10-23,13,7
2024-10-24,15,8
2024-10-25,14,8
2024-10-26,14,10
2024-10-27,12,9
2024-10-28,16,9
2024-10-29,16,10
2024-10-30,25,10
2024-10-31,14,9
2024-11-01,14,10
2024-11-02,23,12
2024-11-03,20,10
2024-11-04,21,13
2024-11-05,56,60
