date,Donald Trump,Hillary Clinton
2016-06-01,25,10
2016-06-02,17,9
2016-06-03,18,10
2016-06-04,17,9
2016-06-05,16,9
2016-06-06,18,12
2016-06-07,20,20
2016-06-08,27,39
2016-06-09,19,25
2016-06-10,22,29
2016-06-11,19,26
2016-06-12,27,15
2016-06-13,30,15
2016-06-14,27,13
2016-06-15,25,14
2016-06-16,22,8
2016-06-17,15,7
2016-06-18,28,6
2016-06-19,21,7
2016-06-20,16,4
2016-06-21,23,8
2016-06-22,24,8
2016-06-23,21,11
2016-06-24,20,8
2016-06-25,18,8
2016-06-26,16,7
2016-06-27,15,10
2016-06-28,17,13
2016-06-29,15,10
2016-06-30,13,8
2016-07-01,16,8
2016-07-02,15,12
2016-07-03,12,14
2016-07-04,12,11
2016-07-05,17,19
2016-07-06,24,20
2016-07-07,15,17
2016-07-08,15,19
2016-07-09,14,10
2016-07-10,8,12
2016-07-11,11,9
2016-07-12,11,10
2016-07-13,14,11
2016-07-14,19,7
2016-07-15,20,11
2016-07-16,12,11
2016-07-17,14,11
2016-07-18,16,13
2016-07-19,51,23
2016-07-20,71,18
2016-07-21,52,13
2016-07-22,82,30
2016-07-23,36,28
2016-07-24,28,21
2016-07-25,18,23
2016-07-26,29,32
2016-07-27,29,41
2016-07-28,37,35
2016-07-29,42,69
2016-07-30,30,24
2016-07-31,27,17
2016-08-01,29,20
2016-08-02,38,16
2016-08-03,30,14
2016-08-04,26,18
2016-08-05,20,16
2016-08-06,17,8
2016-08-07,22,11
2016-08-08,19,11
2016-08-09,23,15
2016-08-10,22,11
2016-08-11,26,16
2016-08-12,18,13
2016-08-13,14,9
2016-08-14,17,10
2016-08-15,19,9
2016-08-16,15,9
2016-08-17,18,10
2016-08-18,19,4
2016-08-19,25,11
2016-08-20,24,12
2016-08-21,19,8
2016-08-22,17,13
2016-08-23,17,19
2016-08-24,19,9
2016-08-25,20,22
2016-08-26,17,9
2016-08-27,22,10
2016-08-28,18,14
2016-08-29,15,14
2016-08-30,11,11
2016-08-31,21,10
2016-09-01,25,11
2016-09-02,15,8
2016-09-03,16,9
2016-09-04,15,12
2016-09-05,17,10
2016-09-06,19,16
2016-09-07,14,10
2016-09-08,21,17
2016-09-09,18,12
2016-09-10,14,14
2016-09-11,13,49
2016-09-12,17,65
2016-09-13,19,57
2016-09-14,20,37
2016-09-15,20,26
2016-09-16,18,19
2016-09-17,23,17
2016-09-18,18,11
2016-09-19,16,14
2016-09-20,14,13
2016-09-21,14,12
2016-09-22,18,18
2016-09-23,17,15
2016-09-24,20,15
2016-09-25,19,16
2016-09-26,17,16
2016-09-27,75,76
2016-09-28,39,28
2016-09-29,25,23
2016-09-30,32,19
2016-10-01,30,17
2016-10-02,27,16
2016-10-03,27,17
2016-10-04,26,21
2016-10-05,39,19
2016-10-06,36,16
2016-10-07,33,15
2016-10-08,100,26
2016-10-09,88,28
2016-10-10,92,50
2016-10-11,58,35
2016-10-12,46,29
2016-10-13,44,36
2016-10-14,40,22
2016-10-15,38,21
2016-10-16,35,23
2016-10-17,27,19
2016-10-18,41,29
2016-10-19,40,31
2016-10-20,98,64
2016-10-21,42,31
2016-10-22,33,27
2016-10-23,34,23
2016-10-24,34,24
2016-10-25,31,24
2016-10-26,35,24
2016-10-27,36,17
2016-10-28,33,44
2016-10-29,37,53
2016-10-30,32,37
2016-10-31,33,29
2016-11-01,32,47
2016-11-02,33,39
2016-11-03,31,43
2016-11-04,33,36
2016-11-05,33,37
2016-11-06,69,41
2016-11-07,47,41
2016-11-08,86,72
