date,Joe Biden,Donald Trump
2020-06-01,9,38
2020-06-02,8,35
2020-06-03,9,30
2020-06-04,5,26
2020-06-05,4,23
2020-06-06,8,21
2020-06-07,5,17
2020-06-08,6,16
2020-06-09,5,15
2020-06-10,4,12
2020-06-11,5,15
2020-06-12,5,13
2020-06-13,5,14
2020-06-14,6,28
2020-06-15,3,18
2020-06-16,4,12
2020-06-17,6,12
2020-06-18,5,13
2020-06-19,7,15
2020-06-20,6,14
2020-06-21,10,20
2020-06-22,5,19
2020-06-23,6,13
2020-06-24,8,16
2020-06-25,8,14
2020-06-26,12,18
2020-06-27,9,23
2020-06-28,8,50
2020-06-29,5,34
2020-06-30,8,24
2020-07-01,6,18
2020-07-02,6,16
2020-07-03,7,15
2020-07-04,5,26
2020-07-05,9,15
2020-07-06,9,15
2020-07-07,8,16
2020-07-08,3,16
2020-07-09,9,15
2020-07-10,9,13
2020-07-11,5,13
2020-07-12,4,15
2020-07-13,5,9
2020-07-14,3,10
2020-07-15,6,16
2020-07-16,5,13
2020-07-17,6,14
2020-07-18,0,13
2020-07-19,7,8
2020-07-20,7,13
2020-07-21,6,11
2020-07-22,6,11
2020-07-23,6,12
2020-07-24,10,10
2020-07-25,6,9
2020-07-26,7,11
2020-07-27,0,11
2020-07-28,8,14
2020-07-29,7,9
2020-07-30,7,15
2020-07-31,9,11
2020-08-01,6,13
2020-08-02,7,14
2020-08-03,5,9
2020-08-04,9,12
2020-08-05,9,11
2020-08-06,12,13
2020-08-07,16,11
2020-08-08,15,18
2020-08-09,12,21
2020-08-10,14,15
2020-08-11,34,10
2020-08-12,26,10
2020-08-13,19,12
2020-08-14,13,12
2020-08-15,9,12
2020-08-16,10,31
2020-08-17,9,15
2020-08-18,16,17
2020-08-19,29,14
2020-08-20,22,17
2020-08-21,39,18
2020-08-22,17,8
2020-08-23,10,11
2020-08-24,7,10
2020-08-25,10,20
2020-08-26,9,17
2020-08-27,9,19
2020-08-28,12,26
2020-08-29,10,18
2020-08-30,10,12
2020-08-31,10,11
2020-09-01,11,11
2020-09-02,10,11
2020-09-03,10,8
2020-09-04,11,11
2020-09-05,7,10
2020-09-06,9,10
2020-09-07,8,13
2020-09-08,9,11
2020-09-09,9,13
2020-09-10,9,16
2020-09-11,8,11
2020-09-12,10,16
2020-09-13,11,19
2020-09-14,9,19
2020-09-15,12,10
2020-09-16,11,10
2020-09-17,16,9
2020-09-18,13,12
2020-09-19,11,16
2020-09-20,11,12
2020-09-21,9,8
2020-09-22,9,11
2020-09-23,12,10
2020-09-24,11,12
2020-09-25,9,11
2020-09-26,14,14
2020-09-27,15,9
2020-09-28,13,23
2020-09-29,18,18
2020-09-30,82,42
2020-10-01,27,18
2020-10-02,29,100
2020-10-03,18,65
2020-10-04,12,48
2020-10-05,13,39
2020-10-06,15,33
2020-10-07,16,26
2020-10-08,29,23
2020-10-09,20,17
2020-10-10,18,19
2020-10-11,11,20
2020-10-12,12,15
2020-10-13,15,18
2020-10-14,14,18
2020-10-15,23,17
2020-10-16,27,23
2020-10-17,15,15
2020-10-18,19,24
2020-10-19,17,17
2020-10-20,18,20
2020-10-21,18,16
2020-10-22,21,21
2020-10-23,54,26
2020-10-24,20,17
2020-10-25,19,17
2020-10-26,18,17
2020-10-27,23,20
2020-10-28,23,19
2020-10-29,19,20
2020-10-30,22,18
2020-10-31,22,21
2020-11-01,15,22
2020-11-02,25,23
2020-11-03,49,38
