date,Kamala Harris,Donald Trump
2024-06-01,0,9
2024-06-02,0,6
2024-06-03,0,5
2024-06-04,0,5
2024-06-05,0,4
2024-06-06,0,4
2024-06-07,0,5
2024-06-08,0,4
2024-06-09,0,8
2024-06-10,0,4
2024-06-11,0,4
2024-06-12,0,2
2024-06-13,0,3
2024-06-14,0,5
2024-06-15,0,4
2024-06-16,0,2
2024-06-17,0,3
2024-06-18,0,2
2024-06-19,0,2
2024-06-20,0,2
2024-06-21,0,3
2024-06-22,0,2
2024-06-23,0,2
2024-06-24,0,0
2024-06-25,0,3
2024-06-26,0,2
2024-06-27,0,3
2024-06-28,5,12
2024-06-29,2,4
2024-06-30,0,4
2024-07-01,0,4
2024-07-02,2,4
2024-07-03,2,3
2024-07-04,4,4
2024-07-05,4,5
2024-07-06,3,3
2024-07-07,3,3
2024-07-08,2,3
2024-07-09,4,4
2024-07-10,3,4
2024-07-11,0,2
2024-07-12,3,3
2024-07-13,2,71
2024-07-14,2,100
2024-07-15,2,27
2024-07-16,4,22
2024-07-17,2,13
2024-07-18,4,21
2024-07-19,5,18
2024-07-20,2,10
2024-07-21,56,10
2024-07-22,83,11
2024-07-23,59,9
2024-07-24,47,6
2024-07-25,48,6
2024-07-26,37,7
2024-07-27,22,7
2024-07-28,19,5
2024-07-29,17,24
2024-07-30,22,18
2024-07-31,28,11
2024-08-01,32,7
2024-08-02,22,4
2024-08-03,22,6
2024-08-04,17,4
2024-08-05,15,5
2024-08-06,30,5
2024-08-07,21,5
2024-08-08,20,4
2024-08-09,20,7
2024-08-10,31,6
2024-08-11,27,5
2024-08-12,11,5
2024-08-13,10,8
2024-08-14,9,4
2024-08-15,10,4
2024-08-16,12,4
2024-08-17,9,3
2024-08-18,10,4
2024-08-19,8,5
2024-08-20,16,5
2024-08-21,18,7
2024-08-22,16,8
2024-08-23,36,10
2024-08-24,15,5
2024-08-25,10,4
2024-08-26,8,5
2024-08-27,11,3
2024-08-28,9,5
2024-08-29,11,5
2024-08-30,15,4
2024-08-31,10,4
2024-09-01,7,3
2024-09-02,7,3
2024-09-03,8,3
2024-09-04,7,3
2024-09-05,8,4
2024-09-06,7,4
2024-09-07,9,4
2024-09-08,6,3
2024-09-09,6,3
2024-09-10,8,4
2024-09-11,41,16
2024-09-12,15,8
2024-09-13,14,8
2024-09-14,13,8
2024-09-15,11,18
2024-09-16,8,14
2024-09-17,9,7
2024-09-18,9,4
2024-09-19,8,4
2024-09-20,7,3
2024-09-21,10,5
2024-09-22,10,4
2024-09-23,8,4
2024-09-24,10,3
2024-09-25,9,5
2024-09-26,11,4
2024-09-27,9,3
2024-09-28,10,3
2024-09-29,16,6
2024-09-30,15,5
2024-10-01,8,6
2024-10-02,8,5
2024-10-03,6,4
2024-10-04,7,4
2024-10-05,7,4
2024-10-06,8,3
2024-10-07,10,4
2024-10-08,12,3
2024-10-09,9,5
2024-10-10,12,4
2024-10-11,9,6
2024-10-12,8,8
2024-10-13,7,6
2024-10-14,7,7
2024-10-15,10,4
2024-10-16,13,5
2024-10-17,16,4
2024-10-18,10,6
2024-10-19,10,5
2024-10-20,15,7
2024-10-21,12,6
2024-10-22,12,8
2024-10-23,11,7
2024-10-24,13,9
2024-10-25,11,8
2024-10-26,11,8
2024-10-27,11,8
2024-10-28,13,8
2024-10-29,15,7
2024-10-30,16,8
2024-10-31,25,10
2024-11-01,24,9
2024-11-02,15,8
2024-11-03,20,8
2024-11-04,18,10
2024-11-05,48,53
