date,body aches
2017-09-17,28
2017-09-24,20
2017-10-01,19
2017-10-08,25
2017-10-15,22
2017-10-22,19
2017-10-29,22
2017-11-05,18
2017-11-12,24
2017-11-19,19
2017-11-26,22
2017-12-03,26
2017-12-10,26
2017-12-17,30
2017-12-24,33
2017-12-31,35
2018-01-07,33
2018-01-14,40
2018-01-21,40
2018-01-28,37
2018-02-04,43
2018-02-11,37
2018-02-18,35
2018-02-25,33
2018-03-04,28
2018-03-11,28
2018-03-18,28
2018-03-25,32
2018-04-01,26
2018-04-08,18
2018-04-15,24
2018-04-22,30
2018-04-29,24
2018-05-06,28
2018-05-13,26
2018-05-20,26
2018-05-27,25
2018-06-03,24
2018-06-10,26
2018-06-17,17
2018-06-24,26
2018-07-01,23
2018-07-08,31
2018-07-15,22
2018-07-22,25
2018-07-29,19
2018-08-05,24
2018-08-12,22
2018-08-19,21
2018-08-26,21
2018-09-02,22
2018-09-09,25
2018-09-16,23
2018-09-23,19
2018-09-30,28
2018-10-07,28
2018-10-14,25
2018-10-21,21
2018-10-28,27
2018-11-04,29
2018-11-11,22
2018-11-18,22
2018-11-25,27
2018-12-02,25
2018-12-09,25
2018-12-16,28
2018-12-23,31
2018-12-30,36
2019-01-06,31
2019-01-13,24
2019-01-20,25
2019-01-27,33
2019-02-03,26
2019-02-10,28
2019-02-17,41
2019-02-24,28
2019-03-03,23
2019-03-10,27
2019-03-17,29
2019-03-24,25
2019-03-31,21
2019-04-07,26
2019-04-14,28
2019-04-21,24
2019-04-28,26
2019-05-05,28
2019-05-12,28
2019-05-19,23
2019-05-26,23
2019-06-02,22
2019-06-09,20
2019-06-16,21
2019-06-23,18
2019-06-30,19
2019-07-07,19
2019-07-14,19
2019-07-21,21
2019-07-28,20
2019-08-04,19
2019-08-11,19
2019-08-18,19
2019-08-25,24
2019-09-01,26
2019-09-08,20
2019-09-15,19
2019-09-22,25
2019-09-29,22
2019-10-06,27
2019-10-13,22
2019-10-20,20
2019-10-27,24
2019-11-03,27
2019-11-10,22
2019-11-17,23
2019-11-24,22
2019-12-01,24
2019-12-08,25
2019-12-15,26
2019-12-22,43
2019-12-29,47
2020-01-05,35
2020-01-12,34
2020-01-19,36
2020-01-26,37
2020-02-02,40
2020-02-09,38
2020-02-16,35
2020-02-23,36
2020-03-01,39
2020-03-08,63
2020-03-15,94
2020-03-22,100
2020-03-29,79
2020-04-05,64
2020-04-12,44
2020-04-19,34
2020-04-26,27
2020-05-03,24
2020-05-10,30
2020-05-17,26
2020-05-24,21
2020-05-31,22
2020-06-07,21
2020-06-14,20
2020-06-21,22
2020-06-28,27
2020-07-05,29
2020-07-12,28
2020-07-19,26
2020-07-26,25
2020-08-02,20
2020-08-09,25
2020-08-16,28
2020-08-23,23
2020-08-30,22
2020-09-06,22
2020-09-13,25
2020-09-20,22
2020-09-27,23
2020-10-04,29
2020-10-11,23
2020-10-18,26
2020-10-25,24
2020-11-01,25
2020-11-08,29
2020-11-15,29
2020-11-22,33
2020-11-29,35
2020-12-06,36
2020-12-13,31
2020-12-20,33
2020-12-27,42
2021-01-03,41
2021-01-10,45
2021-01-17,38
2021-01-24,30
2021-01-31,28
2021-02-07,37
2021-02-14,35
2021-02-21,25
2021-02-28,34
2021-03-07,28
2021-03-14,33
2021-03-21,35
2021-03-28,33
2021-04-04,38
2021-04-11,37
2021-04-18,39
2021-04-25,33
2021-05-02,28
2021-05-09,32
2021-05-16,24
2021-05-23,27
2021-05-30,30
2021-06-06,24
2021-06-13,19
2021-06-20,18
2021-06-27,18
2021-07-04,23
2021-07-11,25
2021-07-18,23
2021-07-25,26
2021-08-01,28
2021-08-08,28
2021-08-15,27
2021-08-22,31
2021-08-29,25
2021-09-05,31
2021-09-12,28
2021-09-19,28
2021-09-26,26
2021-10-03,27
2021-10-10,30
2021-10-17,22
2021-10-24,24
2021-10-31,30
2021-11-07,34
2021-11-14,32
2021-11-21,29
2021-11-28,35
2021-12-05,39
2021-12-12,48
2021-12-19,71
2021-12-26,95
2022-01-02,82
2022-01-09,51
2022-01-16,40
2022-01-23,31
2022-01-30,30
2022-02-06,27
2022-02-13,27
2022-02-20,28
2022-02-27,32
2022-03-06,30
2022-03-13,32
