date,cough
2017-09-17,29
2017-09-24,29
2017-10-01,30
2017-10-08,32
2017-10-15,32
2017-10-22,31
2017-10-29,34
2017-11-05,39
2017-11-12,41
2017-11-19,43
2017-11-26,41
2017-12-03,41
2017-12-10,45
2017-12-17,49
2017-12-24,54
2017-12-31,53
2018-01-07,51
2018-01-14,45
2018-01-21,50
2018-01-28,48
2018-02-04,53
2018-02-11,47
2018-02-18,43
2018-02-25,35
2018-03-04,32
2018-03-11,30
2018-03-18,30
2018-03-25,31
2018-04-01,35
2018-04-08,28
2018-04-15,30
2018-04-22,29
2018-04-29,30
2018-05-06,30
2018-05-13,30
2018-05-20,29
2018-05-27,33
2018-06-03,29
2018-06-10,27
2018-06-17,26
2018-06-24,24
2018-07-01,23
2018-07-08,21
2018-07-15,20
2018-07-22,18
2018-07-29,20
2018-08-05,22
2018-08-12,22
2018-08-19,21
2018-08-26,22
2018-09-02,23
2018-09-09,26
2018-09-16,31
2018-09-23,37
2018-09-30,37
2018-10-07,37
2018-10-14,34
2018-10-21,34
2018-10-28,39
2018-11-04,40
2018-11-11,37
2018-11-18,39
2018-11-25,42
2018-12-02,40
2018-12-09,40
2018-12-16,46
2018-12-23,53
2018-12-30,53
2019-01-06,45
2019-01-13,42
2019-01-20,38
2019-01-27,40
2019-02-03,40
2019-02-10,40
2019-02-17,39
2019-02-24,34
2019-03-03,33
2019-03-10,33
2019-03-17,36
2019-03-24,35
2019-03-31,32
2019-04-07,34
2019-04-14,31
2019-04-21,29
2019-04-28,31
2019-05-05,29
2019-05-12,31
2019-05-19,32
2019-05-26,32
2019-06-02,28
2019-06-09,27
2019-06-16,28
2019-06-23,23
2019-06-30,24
2019-07-07,23
2019-07-14,22
2019-07-21,21
2019-07-28,22
2019-08-04,21
2019-08-11,22
2019-08-18,22
2019-08-25,22
2019-09-01,23
2019-09-08,27
2019-09-15,31
2019-09-22,33
2019-09-29,34
2019-10-06,33
2019-10-13,32
2019-10-20,34
2019-10-27,36
2019-11-03,36
2019-11-10,38
2019-11-17,41
2019-11-24,44
2019-12-01,42
2019-12-08,43
2019-12-15,45
2019-12-22,56
2019-12-29,56
2020-01-05,49
2020-01-12,45
2020-01-19,48
2020-01-26,47
2020-02-02,48
2020-02-09,47
2020-02-16,42
2020-02-23,47
2020-03-01,47
2020-03-08,72
2020-03-15,100
2020-03-22,87
2020-03-29,69
2020-04-05,56
2020-04-12,44
2020-04-19,34
2020-04-26,29
2020-05-03,24
2020-05-10,23
2020-05-17,22
2020-05-24,18
2020-05-31,17
2020-06-07,18
2020-06-14,18
2020-06-21,18
2020-06-28,19
2020-07-05,19
2020-07-12,22
2020-07-19,19
2020-07-26,20
2020-08-02,19
2020-08-09,20
2020-08-16,22
2020-08-23,20
2020-08-30,19
2020-09-06,22
2020-09-13,19
2020-09-20,21
2020-09-27,24
2020-10-04,27
2020-10-11,26
2020-10-18,25
2020-10-25,23
2020-11-01,22
2020-11-08,26
2020-11-15,27
2020-11-22,27
2020-11-29,27
2020-12-06,25
2020-12-13,27
2020-12-20,28
2020-12-27,29
2021-01-03,26
2021-01-10,25
2021-01-17,24
2021-01-24,23
2021-01-31,21
2021-02-07,22
2021-02-14,21
2021-02-21,20
2021-02-28,20
2021-03-07,22
2021-03-14,23
2021-03-21,23
2021-03-28,24
2021-04-04,23
2021-04-11,25
2021-04-18,23
2021-04-25,22
2021-05-02,24
2021-05-09,27
2021-05-16,26
2021-05-23,24
2021-05-30,25
2021-06-06,24
2021-06-13,27
2021-06-20,28
2021-06-27,28
2021-07-04,32
2021-07-11,33
2021-07-18,32
2021-07-25,33
2021-08-01,34
2021-08-08,34
2021-08-15,33
2021-08-22,34
2021-08-29,30
2021-09-05,31
2021-09-12,33
2021-09-19,35
2021-09-26,36
2021-10-03,40
2021-10-10,43
2021-10-17,40
2021-10-24,37
2021-10-31,42
2021-11-07,46
2021-11-14,42
2021-11-21,42
2021-11-28,40
2021-12-05,44
2021-12-12,48
2021-12-19,59
2021-12-26,70
2022-01-02,72
2022-01-09,56
2022-01-16,40
2022-01-23,32
2022-01-30,29
2022-02-06,28
2022-02-13,25
2022-02-20,28
2022-02-27,27
2022-03-06,31
2022-03-13,34
