date,flu shot
2017-09-17,30
2017-09-24,39
2017-10-01,47
2017-10-08,45
2017-10-15,46
2017-10-22,40
2017-10-29,33
2017-11-05,30
2017-11-12,27
2017-11-19,21
2017-11-26,24
2017-12-03,28
2017-12-10,24
2017-12-17,17
2017-12-24,17
2017-12-31,16
2018-01-07,32
2018-01-14,52
2018-01-21,64
2018-01-28,70
2018-02-04,54
2018-02-11,46
2018-02-18,21
2018-02-25,11
2018-03-04,9
2018-03-11,5
2018-03-18,6
2018-03-25,5
2018-04-01,5
2018-04-08,4
2018-04-15,5
2018-04-22,3
2018-04-29,4
2018-05-06,4
2018-05-13,3
2018-05-20,3
2018-05-27,5
2018-06-03,4
2018-06-10,2
2018-06-17,2
2018-06-24,3
2018-07-01,3
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,5
2018-08-12,4
2018-08-19,8
2018-08-26,10
2018-09-02,17
2018-09-09,26
2018-09-16,34
2018-09-23,50
2018-09-30,66
2018-10-07,70
2018-10-14,86
2018-10-21,78
2018-10-28,61
2018-11-04,48
2018-11-11,35
2018-11-18,28
2018-11-25,30
2018-12-02,24
2018-12-09,21
2018-12-16,19
2018-12-23,22
2018-12-30,25
2019-01-06,23
2019-01-13,16
2019-01-20,15
2019-01-27,14
2019-02-03,14
2019-02-10,13
2019-02-17,12
2019-02-24,10
2019-03-03,9
2019-03-10,7
2019-03-17,6
2019-03-24,6
2019-03-31,6
2019-04-07,5
2019-04-14,3
2019-04-21,3
2019-04-28,4
2019-05-05,3
2019-05-12,2
2019-05-19,2
2019-05-26,3
2019-06-02,2
2019-06-09,3
2019-06-16,3
2019-06-23,1
2019-06-30,1
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,5
2019-08-18,7
2019-08-25,11
2019-09-01,15
2019-09-08,24
2019-09-15,34
2019-09-22,44
2019-09-29,62
2019-10-06,77
2019-10-13,73
2019-10-20,65
2019-10-27,51
2019-11-03,48
2019-11-10,40
2019-11-17,35
2019-11-24,25
2019-12-01,26
2019-12-08,28
2019-12-15,24
2019-12-22,25
2019-12-29,25
2020-01-05,28
2020-01-12,28
2020-01-19,25
2020-01-26,25
2020-02-02,23
2020-02-09,18
2020-02-16,14
2020-02-23,23
2020-03-01,30
2020-03-08,27
2020-03-15,16
2020-03-22,11
2020-03-29,9
2020-04-05,8
2020-04-12,6
2020-04-19,10
2020-04-26,6
2020-05-03,7
2020-05-10,6
2020-05-17,5
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,4
2020-07-12,5
2020-07-19,5
2020-07-26,6
2020-08-02,7
2020-08-09,12
2020-08-16,28
2020-08-23,30
2020-08-30,40
2020-09-06,56
2020-09-13,80
2020-09-20,95
2020-09-27,96
2020-10-04,100
2020-10-11,88
2020-10-18,84
2020-10-25,64
2020-11-01,39
2020-11-08,40
2020-11-15,43
2020-11-22,28
2020-11-29,27
2020-12-06,24
2020-12-13,20
2020-12-20,16
2020-12-27,16
2021-01-03,16
2021-01-10,17
2021-01-17,13
2021-01-24,12
2021-01-31,9
2021-02-07,9
2021-02-14,7
2021-02-21,8
2021-02-28,10
2021-03-07,8
2021-03-14,8
2021-03-21,8
2021-03-28,8
2021-04-04,9
2021-04-11,7
2021-04-18,7
2021-04-25,7
2021-05-02,7
2021-05-09,6
2021-05-16,5
2021-05-23,5
2021-05-30,4
2021-06-06,2
2021-06-13,3
2021-06-20,3
2021-06-27,4
2021-07-04,4
2021-07-11,5
2021-07-18,5
2021-07-25,6
2021-08-01,8
2021-08-08,9
2021-08-15,13
2021-08-22,16
2021-08-29,16
2021-09-05,28
2021-09-12,32
2021-09-19,45
2021-09-26,61
2021-10-03,75
2021-10-10,82
2021-10-17,64
2021-10-24,63
2021-10-31,57
2021-11-07,49
2021-11-14,48
2021-11-21,34
2021-11-28,38
2021-12-05,32
2021-12-12,32
2021-12-19,29
2021-12-26,24
2022-01-02,26
2022-01-09,18
2022-01-16,12
2022-01-23,9
2022-01-30,8
2022-02-06,7
2022-02-13,6
2022-02-20,4
2022-02-27,5
2022-03-06,4
2022-03-13,4
