date,flu symptoms
2017-09-17,7
2017-09-24,7
2017-10-01,7
2017-10-08,8
2017-10-15,9
2017-10-22,8
2017-10-29,9
2017-11-05,8
2017-11-12,10
2017-11-19,9
2017-11-26,11
2017-12-03,13
2017-12-10,14
2017-12-17,19
2017-12-24,23
2017-12-31,26
2018-01-07,41
2018-01-14,72
2018-01-21,88
2018-01-28,98
2018-02-04,100
2018-02-11,92
2018-02-18,56
2018-02-25,32
2018-03-04,20
2018-03-11,16
2018-03-18,14
2018-03-25,14
2018-04-01,13
2018-04-08,10
2018-04-15,8
2018-04-22,7
2018-04-29,8
2018-05-06,6
2018-05-13,6
2018-05-20,5
2018-05-27,8
2018-06-03,6
2018-06-10,5
2018-06-17,4
2018-06-24,4
2018-07-01,4
2018-07-08,3
2018-07-15,4
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,4
2018-08-19,3
2018-08-26,3
2018-09-02,5
2018-09-09,6
2018-09-16,8
2018-09-23,9
2018-09-30,10
2018-10-07,10
2018-10-14,12
2018-10-21,11
2018-10-28,12
2018-11-04,11
2018-11-11,10
2018-11-18,10
2018-11-25,14
2018-12-02,11
2018-12-09,11
2018-12-16,15
2018-12-23,20
2018-12-30,25
2019-01-06,21
2019-01-13,21
2019-01-20,19
2019-01-27,22
2019-02-03,22
2019-02-10,25
2019-02-17,26
2019-02-24,22
2019-03-03,18
2019-03-10,17
2019-03-17,17
2019-03-24,15
2019-03-31,11
2019-04-07,12
2019-04-14,8
2019-04-21,8
2019-04-28,7
2019-05-05,6
2019-05-12,5
2019-05-19,5
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,6
2019-09-22,9
2019-09-29,9
2019-10-06,10
2019-10-13,10
2019-10-20,10
2019-10-27,10
2019-11-03,10
2019-11-10,10
2019-11-17,11
2019-11-24,12
2019-12-01,14
2019-12-08,15
2019-12-15,20
2019-12-22,32
2019-12-29,35
2020-01-05,31
2020-01-12,32
2020-01-19,38
2020-01-26,42
2020-02-02,44
2020-02-09,39
2020-02-16,28
2020-02-23,29
2020-03-01,41
2020-03-08,60
2020-03-15,52
2020-03-22,33
2020-03-29,19
2020-04-05,12
2020-04-12,8
2020-04-19,6
2020-04-26,5
2020-05-03,5
2020-05-10,4
2020-05-17,3
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,2
2020-06-21,2
2020-06-28,3
2020-07-05,2
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,2
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,4
2020-09-13,5
2020-09-20,7
2020-09-27,5
2020-10-04,8
2020-10-11,6
2020-10-18,6
2020-10-25,7
2020-11-01,5
2020-11-08,6
2020-11-15,7
2020-11-22,7
2020-11-29,7
2020-12-06,8
2020-12-13,6
2020-12-20,6
2020-12-27,7
2021-01-03,7
2021-01-10,5
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,3
2021-02-21,4
2021-02-28,3
2021-03-07,3
2021-03-14,4
2021-03-21,4
2021-03-28,4
2021-04-04,3
2021-04-11,4
2021-04-18,3
2021-04-25,3
2021-05-02,3
2021-05-09,3
2021-05-16,2
2021-05-23,2
2021-05-30,4
2021-06-06,3
2021-06-13,2
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,3
2021-07-18,2
2021-07-25,3
2021-08-01,3
2021-08-08,3
2021-08-15,2
2021-08-22,3
2021-08-29,3
2021-09-05,3
2021-09-12,4
2021-09-19,4
2021-09-26,6
2021-10-03,6
2021-10-10,7
2021-10-17,7
2021-10-24,5
2021-10-31,7
2021-11-07,7
2021-11-14,8
2021-11-21,8
2021-11-28,10
2021-12-05,11
2021-12-12,14
2021-12-19,19
2021-12-26,23
2022-01-02,19
2022-01-09,11
2022-01-16,6
2022-01-23,4
2022-01-30,4
2022-02-06,5
2022-02-13,4
2022-02-20,6
2022-02-27,5
2022-03-06,5
2022-03-13,6
