date,flu
2017-09-17,9
2017-09-24,11
2017-10-01,12
2017-10-08,12
2017-10-15,13
2017-10-22,12
2017-10-29,11
2017-11-05,11
2017-11-12,11
2017-11-19,9
2017-11-26,11
2017-12-03,13
2017-12-10,13
2017-12-17,15
2017-12-24,18
2017-12-31,18
2018-01-07,32
2018-01-14,57
2018-01-21,73
2018-01-28,77
2018-02-04,73
2018-02-11,66
2018-02-18,39
2018-02-25,20
2018-03-04,14
2018-03-11,12
2018-03-18,12
2018-03-25,11
2018-04-01,10
2018-04-08,8
2018-04-15,8
2018-04-22,7
2018-04-29,6
2018-05-06,6
2018-05-13,5
2018-05-20,5
2018-05-27,6
2018-06-03,5
2018-06-10,4
2018-06-17,3
2018-06-24,4
2018-07-01,4
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,4
2018-08-12,4
2018-08-19,4
2018-08-26,4
2018-09-02,8
2018-09-09,9
2018-09-16,11
2018-09-23,14
2018-09-30,16
2018-10-07,17
2018-10-14,19
2018-10-21,19
2018-10-28,18
2018-11-04,14
2018-11-11,12
2018-11-18,11
2018-11-25,13
2018-12-02,11
2018-12-09,12
2018-12-16,14
2018-12-23,20
2018-12-30,20
2019-01-06,18
2019-01-13,16
2019-01-20,16
2019-01-27,16
2019-02-03,18
2019-02-10,18
2019-02-17,19
2019-02-24,16
2019-03-03,14
2019-03-10,14
2019-03-17,14
2019-03-24,12
2019-03-31,11
2019-04-07,10
2019-04-14,7
2019-04-21,6
2019-04-28,6
2019-05-05,5
2019-05-12,5
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,4
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,4
2019-08-25,5
2019-09-01,6
2019-09-08,8
2019-09-15,10
2019-09-22,13
2019-09-29,15
2019-10-06,19
2019-10-13,16
2019-10-20,14
2019-10-27,14
2019-11-03,14
2019-11-10,13
2019-11-17,12
2019-11-24,12
2019-12-01,13
2019-12-08,14
2019-12-15,17
2019-12-22,24
2019-12-29,29
2020-01-05,29
2020-01-12,32
2020-01-19,37
2020-01-26,51
2020-02-02,44
2020-02-09,37
2020-02-16,28
2020-02-23,49
2020-03-01,67
2020-03-08,100
2020-03-15,87
2020-03-22,67
2020-03-29,53
2020-04-05,39
2020-04-12,30
2020-04-19,28
2020-04-26,21
2020-05-03,16
2020-05-10,15
2020-05-17,14
2020-05-24,14
2020-05-31,7
2020-06-07,7
2020-06-14,8
2020-06-21,10
2020-06-28,14
2020-07-05,10
2020-07-12,11
2020-07-19,11
2020-07-26,11
2020-08-02,10
2020-08-09,12
2020-08-16,13
2020-08-23,12
2020-08-30,13
2020-09-06,15
2020-09-13,19
2020-09-20,24
2020-09-27,23
2020-10-04,28
2020-10-11,21
2020-10-18,19
2020-10-25,17
2020-11-01,12
2020-11-08,15
2020-11-15,17
2020-11-22,14
2020-11-29,15
2020-12-06,13
2020-12-13,12
2020-12-20,12
2020-12-27,13
2021-01-03,11
2021-01-10,11
2021-01-17,10
2021-01-24,9
2021-01-31,7
2021-02-07,7
2021-02-14,7
2021-02-21,9
2021-02-28,8
2021-03-07,7
2021-03-14,6
2021-03-21,6
2021-03-28,7
2021-04-04,7
2021-04-11,7
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,5
2021-05-16,5
2021-05-23,4
2021-05-30,11
2021-06-06,4
2021-06-13,4
2021-06-20,3
2021-06-27,4
2021-07-04,4
2021-07-11,4
2021-07-18,5
2021-07-25,6
2021-08-01,7
2021-08-08,7
2021-08-15,7
2021-08-22,8
2021-08-29,7
2021-09-05,9
2021-09-12,11
2021-09-19,14
2021-09-26,15
2021-10-03,16
2021-10-10,19
2021-10-17,16
2021-10-24,15
2021-10-31,15
2021-11-07,15
2021-11-14,15
2021-11-21,12
2021-11-28,14
2021-12-05,15
2021-12-12,17
2021-12-19,20
2021-12-26,21
2022-01-02,20
2022-01-09,13
2022-01-16,8
2022-01-23,7
2022-01-30,6
2022-02-06,6
2022-02-13,6
2022-02-20,7
2022-02-27,6
2022-03-06,6
2022-03-13,7
