date,how long does flu last
2017-09-17,9
2017-09-24,0
2017-10-01,8
2017-10-08,7
2017-10-15,8
2017-10-22,0
2017-10-29,7
2017-11-05,7
2017-11-12,13
2017-11-19,9
2017-11-26,18
2017-12-03,9
2017-12-10,17
2017-12-17,21
2017-12-24,31
2017-12-31,37
2018-01-07,53
2018-01-14,65
2018-01-21,83
2018-01-28,100
2018-02-04,81
2018-02-11,76
2018-02-18,68
2018-02-25,34
2018-03-04,22
2018-03-11,21
2018-03-18,19
2018-03-25,15
2018-04-01,18
2018-04-08,14
2018-04-15,14
2018-04-22,13
2018-04-29,8
2018-05-06,12
2018-05-13,10
2018-05-20,6
2018-05-27,7
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,9
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,7
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,8
2018-09-09,7
2018-09-16,6
2018-09-23,15
2018-09-30,9
2018-10-07,12
2018-10-14,13
2018-10-21,13
2018-10-28,11
2018-11-04,11
2018-11-11,7
2018-11-18,7
2018-11-25,12
2018-12-02,10
2018-12-09,9
2018-12-16,21
2018-12-23,31
2018-12-30,32
2019-01-06,36
2019-01-13,27
2019-01-20,31
2019-01-27,34
2019-02-03,31
2019-02-10,42
2019-02-17,44
2019-02-24,39
2019-03-03,28
2019-03-10,31
2019-03-17,24
2019-03-24,29
2019-03-31,24
2019-04-07,22
2019-04-14,15
2019-04-21,18
2019-04-28,16
2019-05-05,9
2019-05-12,13
2019-05-19,6
2019-05-26,7
2019-06-02,9
2019-06-09,0
2019-06-16,0
2019-06-23,8
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,6
2019-08-25,6
2019-09-01,8
2019-09-08,0
2019-09-15,10
2019-09-22,11
2019-09-29,10
2019-10-06,9
2019-10-13,15
2019-10-20,10
2019-10-27,13
2019-11-03,12
2019-11-10,12
2019-11-17,12
2019-11-24,11
2019-12-01,23
2019-12-08,20
2019-12-15,33
2019-12-22,57
2019-12-29,54
2020-01-05,58
2020-01-12,62
2020-01-19,58
2020-01-26,75
2020-02-02,71
2020-02-09,62
2020-02-16,50
2020-02-23,45
2020-03-01,51
2020-03-08,58
2020-03-15,54
2020-03-22,36
2020-03-29,31
2020-04-05,15
2020-04-12,12
2020-04-19,9
2020-04-26,8
2020-05-03,6
2020-05-10,7
2020-05-17,0
2020-05-24,0
2020-05-31,6
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,7
2020-08-23,12
2020-08-30,14
2020-09-06,15
2020-09-13,15
2020-09-20,12
2020-09-27,13
2020-10-04,11
2020-10-11,8
2020-10-18,6
2020-10-25,0
2020-11-01,7
2020-11-08,8
2020-11-15,7
2020-11-22,7
2020-11-29,0
2020-12-06,6
2020-12-13,8
2020-12-20,0
2020-12-27,7
2021-01-03,9
2021-01-10,9
2021-01-17,8
2021-01-24,6
2021-01-31,0
2021-02-07,7
2021-02-14,0
2021-02-21,0
2021-02-28,8
2021-03-07,0
2021-03-14,6
2021-03-21,0
2021-03-28,0
2021-04-04,8
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,7
2021-05-23,7
2021-05-30,9
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,7
2021-07-04,0
2021-07-11,6
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,8
2021-09-05,7
2021-09-12,0
2021-09-19,8
2021-09-26,13
2021-10-03,11
2021-10-10,10
2021-10-17,8
2021-10-24,8
2021-10-31,9
2021-11-07,9
2021-11-14,18
2021-11-21,9
2021-11-28,17
2021-12-05,20
2021-12-12,26
2021-12-19,22
2021-12-26,29
2022-01-02,26
2022-01-09,15
2022-01-16,7
2022-01-23,9
2022-01-30,8
2022-02-06,0
2022-02-13,6
2022-02-20,6
2022-02-27,6
2022-03-06,0
2022-03-13,11
