date,Donald Trump,Hillary Clinton
2016-06-01,15,7
2016-06-02,14,7
2016-06-03,15,7
2016-06-04,13,7
2016-06-05,13,8
2016-06-06,16,8
2016-06-07,16,16
2016-06-08,19,26
2016-06-09,15,16
2016-06-10,17,21
2016-06-11,16,18
2016-06-12,24,13
2016-06-13,21,10
2016-06-14,24,10
2016-06-15,20,9
2016-06-16,16,8
2016-06-17,12,6
2016-06-18,12,7
2016-06-19,12,8
2016-06-20,12,6
2016-06-21,16,8
2016-06-22,14,8
2016-06-23,13,7
2016-06-24,14,7
2016-06-25,14,6
2016-06-26,13,5
2016-06-27,12,7
2016-06-28,13,10
2016-06-29,12,8
2016-06-30,12,8
2016-07-01,11,8
2016-07-02,10,10
2016-07-03,11,13
2016-07-04,13,9
2016-07-05,14,22
2016-07-06,15,19
2016-07-07,15,16
2016-07-08,14,16
2016-07-09,12,11
2016-07-10,11,8
2016-07-11,12,8
2016-07-12,13,11
2016-07-13,13,9
2016-07-14,16,9
2016-07-15,21,11
2016-07-16,18,12
2016-07-17,15,10
2016-07-18,16,10
2016-07-19,50,16
2016-07-20,61,18
2016-07-21,48,16
2016-07-22,75,32
2016-07-23,34,34
2016-07-24,24,21
2016-07-25,24,22
2016-07-26,31,31
2016-07-27,38,48
2016-07-28,45,42
2016-07-29,46,98
2016-07-30,29,36
2016-07-31,29,21
2016-08-01,30,19
2016-08-02,29,15
2016-08-03,34,14
2016-08-04,27,13
2016-08-05,25,11
2016-08-06,20,13
2016-08-07,19,12
2016-08-08,19,12
2016-08-09,22,14
2016-08-10,23,14
2016-08-11,21,12
2016-08-12,20,12
2016-08-13,18,11
2016-08-14,16,9
2016-08-15,15,11
2016-08-16,13,10
2016-08-17,16,9
2016-08-18,16,8
2016-08-19,22,10
2016-08-20,20,9
2016-08-21,14,12
2016-08-22,15,15
2016-08-23,16,16
2016-08-24,15,11
2016-08-25,15,12
2016-08-26,14,12
2016-08-27,14,10
2016-08-28,15,11
2016-08-29,14,10
2016-08-30,12,9
2016-08-31,16,9
2016-09-01,18,9
2016-09-02,16,9
2016-09-03,14,9
2016-09-04,16,9
2016-09-05,14,12
2016-09-06,15,13
2016-09-07,15,11
2016-09-08,18,18
2016-09-09,15,12
2016-09-10,16,12
2016-09-11,17,52
2016-09-12,17,64
2016-09-13,18,43
2016-09-14,19,30
2016-09-15,21,21
2016-09-16,21,19
2016-09-17,18,16
2016-09-18,15,13
2016-09-19,17,15
2016-09-20,18,14
2016-09-21,20,13
2016-09-22,19,16
2016-09-23,18,19
2016-09-24,17,16
2016-09-25,16,14
2016-09-26,21,19
2016-09-27,82,92
2016-09-28,31,27
2016-09-29,26,22
2016-09-30,26,20
2016-10-01,28,19
2016-10-02,28,20
2016-10-03,25,18
2016-10-04,23,21
2016-10-05,42,19
2016-10-06,35,16
2016-10-07,29,15
2016-10-08,93,22
2016-10-09,79,24
2016-10-10,100,58
2016-10-11,53,29
2016-10-12,43,27
2016-10-13,43,27
2016-10-14,41,23
2016-10-15,36,20
2016-10-16,32,19
2016-10-17,32,19
2016-10-18,30,22
2016-10-19,27,23
2016-10-20,94,55
2016-10-21,43,29
2016-10-22,34,26
2016-10-23,30,22
2016-10-24,28,21
2016-10-25,29,21
2016-10-26,29,24
2016-10-27,28,21
2016-10-28,28,43
2016-10-29,27,50
2016-10-30,27,34
2016-10-31,27,36
2016-11-01,32,32
2016-11-02,35,36
2016-11-03,36,42
2016-11-04,34,41
2016-11-05,36,38
2016-11-06,52,45
2016-11-07,53,61
2016-11-08,88,87
