date,Joe Biden,Donald Trump
2020-06-01,8,31
2020-06-02,20,29
2020-06-03,12,26
2020-06-04,7,23
2020-06-05,7,19
2020-06-06,8,20
2020-06-07,9,17
2020-06-08,7,16
2020-06-09,8,16
2020-06-10,8,14
2020-06-11,7,14
2020-06-12,8,13
2020-06-13,8,14
2020-06-14,8,27
2020-06-15,7,20
2020-06-16,7,14
2020-06-17,7,12
2020-06-18,7,13
2020-06-19,7,14
2020-06-20,9,15
2020-06-21,10,21
2020-06-22,9,16
2020-06-23,9,15
2020-06-24,9,16
2020-06-25,11,15
2020-06-26,12,15
2020-06-27,9,18
2020-06-28,8,32
2020-06-29,8,28
2020-06-30,9,15
2020-07-01,8,15
2020-07-02,7,15
2020-07-03,8,14
2020-07-04,8,26
2020-07-05,8,18
2020-07-06,7,16
2020-07-07,8,15
2020-07-08,8,15
2020-07-09,11,16
2020-07-10,10,12
2020-07-11,8,14
2020-07-12,7,12
2020-07-13,7,11
2020-07-14,7,13
2020-07-15,8,13
2020-07-16,7,12
2020-07-17,7,12
2020-07-18,7,13
2020-07-19,8,13
2020-07-20,8,11
2020-07-21,10,11
2020-07-22,8,11
2020-07-23,10,12
2020-07-24,8,11
2020-07-25,7,10
2020-07-26,8,10
2020-07-27,9,11
2020-07-28,9,12
2020-07-29,10,12
2020-07-30,9,14
2020-07-31,8,12
2020-08-01,9,12
2020-08-02,10,12
2020-08-03,9,10
2020-08-04,10,11
2020-08-05,10,11
2020-08-06,16,11
2020-08-07,17,12
2020-08-08,17,13
2020-08-09,15,13
2020-08-10,16,14
2020-08-11,43,13
2020-08-12,35,15
2020-08-13,19,13
2020-08-14,15,15
2020-08-15,12,14
2020-08-16,12,29
2020-08-17,12,15
2020-08-18,21,15
2020-08-19,35,16
2020-08-20,25,19
2020-08-21,48,18
2020-08-22,19,12
2020-08-23,16,14
2020-08-24,14,12
2020-08-25,14,23
2020-08-26,13,22
2020-08-27,13,22
2020-08-28,15,25
2020-08-29,10,13
2020-08-30,11,13
2020-08-31,18,12
2020-09-01,18,12
2020-09-02,14,12
2020-09-03,12,12
2020-09-04,14,15
2020-09-05,14,12
2020-09-06,13,12
2020-09-07,14,12
2020-09-08,13,11
2020-09-09,13,14
2020-09-10,13,14
2020-09-11,12,12
2020-09-12,10,12
2020-09-13,13,11
2020-09-14,12,10
2020-09-15,13,12
2020-09-16,16,13
2020-09-17,16,11
2020-09-18,18,12
2020-09-19,14,17
2020-09-20,13,13
2020-09-21,12,11
2020-09-22,13,11
2020-09-23,13,12
2020-09-24,14,14
2020-09-25,11,12
2020-09-26,14,14
2020-09-27,16,14
2020-09-28,17,20
2020-09-29,23,18
2020-09-30,100,46
2020-10-01,33,18
2020-10-02,33,92
2020-10-03,19,64
2020-10-04,18,47
2020-10-05,16,35
2020-10-06,24,32
2020-10-07,18,25
2020-10-08,35,31
2020-10-09,17,20
2020-10-10,18,18
2020-10-11,17,15
2020-10-12,15,15
2020-10-13,18,17
2020-10-14,18,18
2020-10-15,27,17
2020-10-16,29,21
2020-10-17,19,17
2020-10-18,19,17
2020-10-19,19,18
2020-10-20,19,19
2020-10-21,20,19
2020-10-22,22,20
2020-10-23,62,30
2020-10-24,29,18
2020-10-25,24,18
2020-10-26,23,21
2020-10-27,26,20
2020-10-28,26,19
2020-10-29,21,20
2020-10-30,23,22
2020-10-31,22,23
2020-11-01,27,21
2020-11-02,39,22
2020-11-03,55,43
