date,Kamala Harris,Donald Trump
2024-06-01,0,9
2024-06-02,0,7
2024-06-03,0,4
2024-06-04,0,4
2024-06-05,1,3
2024-06-06,0,4
2024-06-07,0,4
2024-06-08,0,3
2024-06-09,0,3
2024-06-10,0,3
2024-06-11,0,3
2024-06-12,0,3
2024-06-13,1,3
2024-06-14,0,5
2024-06-15,1,4
2024-06-16,0,3
2024-06-17,1,3
2024-06-18,0,3
2024-06-19,1,2
2024-06-20,0,3
2024-06-21,0,2
2024-06-22,0,3
2024-06-23,0,4
2024-06-24,1,3
2024-06-25,0,3
2024-06-26,0,3
2024-06-27,1,4
2024-06-28,4,16
2024-06-29,2,5
2024-06-30,2,4
2024-07-01,2,5
2024-07-02,2,4
2024-07-03,4,4
2024-07-04,4,4
2024-07-05,3,4
2024-07-06,3,3
2024-07-07,3,4
2024-07-08,2,4
2024-07-09,2,4
2024-07-10,1,4
2024-07-11,3,4
2024-07-12,3,4
2024-07-13,3,93
2024-07-14,2,100
2024-07-15,2,31
2024-07-16,2,23
2024-07-17,2,16
2024-07-18,6,26
2024-07-19,6,26
2024-07-20,4,10
2024-07-21,73,13
2024-07-22,99,12
2024-07-23,80,9
2024-07-24,59,8
2024-07-25,59,9
2024-07-26,43,7
2024-07-27,29,8
2024-07-28,24,7
2024-07-29,20,21
2024-07-30,22,18
2024-07-31,37,12
2024-08-01,39,10
2024-08-02,27,7
2024-08-03,22,6
2024-08-04,23,5
2024-08-05,27,5
2024-08-06,64,6
2024-08-07,26,6
2024-08-08,18,6
2024-08-09,16,5
2024-08-10,16,5
2024-08-11,15,5
2024-08-12,15,6
2024-08-13,13,9
2024-08-14,12,5
2024-08-15,13,5
2024-08-16,15,5
2024-08-17,14,6
2024-08-18,18,5
2024-08-19,13,6
2024-08-20,18,7
2024-08-21,20,7
2024-08-22,19,9
2024-08-23,47,7
2024-08-24,17,6
2024-08-25,13,6
2024-08-26,12,5
2024-08-27,11,6
2024-08-28,10,5
2024-08-29,14,5
2024-08-30,19,5
2024-08-31,10,5
2024-09-01,10,4
2024-09-02,13,4
2024-09-03,9,4
2024-09-04,10,5
2024-09-05,10,5
2024-09-06,8,4
2024-09-07,9,4
2024-09-08,10,4
2024-09-09,11,4
2024-09-10,15,6
2024-09-11,57,22
2024-09-12,22,8
2024-09-13,18,7
2024-09-14,15,7
2024-09-15,15,19
2024-09-16,11,15
2024-09-17,12,7
2024-09-18,11,8
2024-09-19,10,6
2024-09-20,10,6
2024-09-21,12,5
2024-09-22,13,5
2024-09-23,12,6
2024-09-24,11,6
2024-09-25,16,5
2024-09-26,11,5
2024-09-27,10,4
2024-09-28,9,5
2024-09-29,11,6
2024-09-30,10,5
2024-10-01,9,5
2024-10-02,11,6
2024-10-03,9,5
2024-10-04,10,5
2024-10-05,10,7
2024-10-06,11,6
2024-10-07,11,5
2024-10-08,13,6
2024-10-09,11,6
2024-10-10,10,5
2024-10-11,10,5
2024-10-12,9,6
2024-10-13,11,5
2024-10-14,14,7
2024-10-15,13,7
2024-10-16,18,7
2024-10-17,18,6
2024-10-18,13,7
2024-10-19,13,7
2024-10-20,19,15
2024-10-21,19,13
2024-10-22,15,9
2024-10-23,16,10
2024-10-24,18,9
2024-10-25,14,9
2024-10-26,16,11
2024-10-27,16,10
2024-10-28,16,12
2024-10-29,21,13
2024-10-30,22,10
2024-10-31,17,10
2024-11-01,19,11
2024-11-02,21,11
2024-11-03,39,12
2024-11-04,59,16
2024-11-05,72,76
