date,Donald Trump,Hillary Clinton
2016-06-01,15,7
2016-06-02,13,6
2016-06-03,13,8
2016-06-04,13,8
2016-06-05,15,9
2016-06-06,14,10
2016-06-07,16,17
2016-06-08,18,33
2016-06-09,12,24
2016-06-10,18,24
2016-06-11,14,18
2016-06-12,23,14
2016-06-13,21,9
2016-06-14,20,10
2016-06-15,19,9
2016-06-16,12,8
2016-06-17,15,10
2016-06-18,14,8
2016-06-19,15,7
2016-06-20,11,6
2016-06-21,15,11
2016-06-22,19,9
2016-06-23,9,8
2016-06-24,15,6
2016-06-25,16,6
2016-06-26,12,9
2016-06-27,15,9
2016-06-28,13,8
2016-06-29,12,8
2016-06-30,11,8
2016-07-01,12,7
2016-07-02,13,13
2016-07-03,10,14
2016-07-04,17,10
2016-07-05,14,22
2016-07-06,15,21
2016-07-07,13,15
2016-07-08,10,18
2016-07-09,11,14
2016-07-10,12,9
2016-07-11,9,7
2016-07-12,10,11
2016-07-13,14,12
2016-07-14,14,9
2016-07-15,19,11
2016-07-16,14,11
2016-07-17,14,11
2016-07-18,18,11
2016-07-19,52,14
2016-07-20,59,16
2016-07-21,47,17
2016-07-22,76,31
2016-07-23,32,38
2016-07-24,23,19
2016-07-25,23,20
2016-07-26,25,25
2016-07-27,34,39
2016-07-28,39,33
2016-07-29,41,76
2016-07-30,27,28
2016-07-31,25,16
2016-08-01,27,14
2016-08-02,31,13
2016-08-03,37,17
2016-08-04,27,13
2016-08-05,25,13
2016-08-06,23,17
2016-08-07,21,12
2016-08-08,18,11
2016-08-09,19,12
2016-08-10,22,15
2016-08-11,20,13
2016-08-12,18,12
2016-08-13,19,10
2016-08-14,17,8
2016-08-15,14,8
2016-08-16,26,9
2016-08-17,20,11
2016-08-18,16,11
2016-08-19,23,9
2016-08-20,21,9
2016-08-21,18,12
2016-08-22,14,16
2016-08-23,13,14
2016-08-24,12,13
2016-08-25,17,12
2016-08-26,14,11
2016-08-27,14,13
2016-08-28,15,9
2016-08-29,12,8
2016-08-30,11,7
2016-08-31,13,8
2016-09-01,18,6
2016-09-02,18,11
2016-09-03,12,9
2016-09-04,14,10
2016-09-05,11,9
2016-09-06,13,12
2016-09-07,13,11
2016-09-08,21,16
2016-09-09,13,12
2016-09-10,12,13
2016-09-11,16,50
2016-09-12,14,69
2016-09-13,15,49
2016-09-14,19,36
2016-09-15,18,26
2016-09-16,20,17
2016-09-17,19,16
2016-09-18,13,13
2016-09-19,14,13
2016-09-20,20,14
2016-09-21,18,15
2016-09-22,17,15
2016-09-23,17,17
2016-09-24,16,12
2016-09-25,14,10
2016-09-26,21,18
2016-09-27,81,97
2016-09-28,32,23
2016-09-29,27,22
2016-09-30,30,19
2016-10-01,28,17
2016-10-02,28,20
2016-10-03,23,18
2016-10-04,24,16
2016-10-05,34,18
2016-10-06,33,12
2016-10-07,29,14
2016-10-08,100,21
2016-10-09,75,21
2016-10-10,91,48
2016-10-11,53,26
2016-10-12,43,24
2016-10-13,48,26
2016-10-14,43,27
2016-10-15,35,21
2016-10-16,34,21
2016-10-17,37,18
2016-10-18,31,21
2016-10-19,31,21
2016-10-20,86,50
2016-10-21,37,27
2016-10-22,31,20
2016-10-23,30,18
2016-10-24,27,21
2016-10-25,29,23
2016-10-26,33,19
2016-10-27,33,25
2016-10-28,30,40
2016-10-29,26,49
2016-10-30,26,35
2016-10-31,32,39
2016-11-01,40,39
2016-11-02,36,38
2016-11-03,36,41
2016-11-04,40,37
2016-11-05,34,34
2016-11-06,59,40
2016-11-07,48,50
2016-11-08,92,80
