date,Joe Biden,Donald Trump
2020-06-01,6,32
2020-06-02,8,30
2020-06-03,7,25
2020-06-04,7,22
2020-06-05,7,18
2020-06-06,8,23
2020-06-07,7,17
2020-06-08,6,17
2020-06-09,7,14
2020-06-10,5,12
2020-06-11,6,14
2020-06-12,8,16
2020-06-13,6,14
2020-06-14,8,25
2020-06-15,6,20
2020-06-16,5,15
2020-06-17,6,13
2020-06-18,5,18
2020-06-19,8,17
2020-06-20,8,18
2020-06-21,11,26
2020-06-22,6,18
2020-06-23,9,20
2020-06-24,9,17
2020-06-25,10,21
2020-06-26,12,18
2020-06-27,10,24
2020-06-28,9,41
2020-06-29,7,32
2020-06-30,10,20
2020-07-01,8,14
2020-07-02,9,18
2020-07-03,7,15
2020-07-04,9,25
2020-07-05,7,21
2020-07-06,7,17
2020-07-07,7,19
2020-07-08,6,14
2020-07-09,13,18
2020-07-10,11,14
2020-07-11,9,14
2020-07-12,9,14
2020-07-13,8,14
2020-07-14,9,14
2020-07-15,8,15
2020-07-16,9,15
2020-07-17,8,15
2020-07-18,7,15
2020-07-19,8,15
2020-07-20,8,15
2020-07-21,12,14
2020-07-22,10,13
2020-07-23,12,15
2020-07-24,11,14
2020-07-25,9,10
2020-07-26,5,11
2020-07-27,8,12
2020-07-28,10,15
2020-07-29,10,14
2020-07-30,12,15
2020-07-31,9,13
2020-08-01,8,18
2020-08-02,10,12
2020-08-03,12,12
2020-08-04,11,13
2020-08-05,12,12
2020-08-06,17,13
2020-08-07,17,15
2020-08-08,20,15
2020-08-09,20,15
2020-08-10,16,15
2020-08-11,43,14
2020-08-12,36,17
2020-08-13,21,15
2020-08-14,16,17
2020-08-15,14,15
2020-08-16,14,40
2020-08-17,14,21
2020-08-18,23,20
2020-08-19,41,17
2020-08-20,30,20
2020-08-21,54,22
2020-08-22,22,16
2020-08-23,15,18
2020-08-24,17,13
2020-08-25,13,30
2020-08-26,13,24
2020-08-27,14,25
2020-08-28,16,30
2020-08-29,14,17
2020-08-30,14,16
2020-08-31,15,16
2020-09-01,16,21
2020-09-02,19,16
2020-09-03,25,14
2020-09-04,21,18
2020-09-05,20,15
2020-09-06,14,14
2020-09-07,15,12
2020-09-08,16,12
2020-09-09,11,14
2020-09-10,11,14
2020-09-11,13,17
2020-09-12,12,15
2020-09-13,13,14
2020-09-14,13,13
2020-09-15,14,16
2020-09-16,15,15
2020-09-17,18,13
2020-09-18,21,15
2020-09-19,16,18
2020-09-20,18,12
2020-09-21,18,10
2020-09-22,16,13
2020-09-23,15,14
2020-09-24,16,15
2020-09-25,14,16
2020-09-26,18,14
2020-09-27,18,17
2020-09-28,19,23
2020-09-29,23,19
2020-09-30,100,43
2020-10-01,32,18
2020-10-02,33,92
2020-10-03,23,67
2020-10-04,23,52
2020-10-05,19,38
2020-10-06,21,33
2020-10-07,19,30
2020-10-08,36,27
2020-10-09,19,22
2020-10-10,13,20
2020-10-11,16,20
2020-10-12,15,15
2020-10-13,22,22
2020-10-14,20,16
2020-10-15,27,20
2020-10-16,29,24
2020-10-17,23,20
2020-10-18,19,20
2020-10-19,19,20
2020-10-20,18,17
2020-10-21,22,19
2020-10-22,25,21
2020-10-23,72,34
2020-10-24,26,22
2020-10-25,24,23
2020-10-26,25,24
2020-10-27,32,23
2020-10-28,30,20
2020-10-29,30,23
2020-10-30,31,25
2020-10-31,28,24
2020-11-01,24,22
2020-11-02,31,25
2020-11-03,49,45
