date,Kamala Harris,Donald Trump
2024-06-01,0,8
2024-06-02,0,7
2024-06-03,0,4
2024-06-04,0,3
2024-06-05,0,3
2024-06-06,0,2
2024-06-07,0,3
2024-06-08,0,2
2024-06-09,0,2
2024-06-10,0,2
2024-06-11,0,2
2024-06-12,0,3
2024-06-13,0,3
2024-06-14,0,4
2024-06-15,0,3
2024-06-16,0,3
2024-06-17,0,2
2024-06-18,0,4
2024-06-19,0,2
2024-06-20,0,2
2024-06-21,0,2
2024-06-22,0,2
2024-06-23,0,3
2024-06-24,0,2
2024-06-25,0,2
2024-06-26,0,2
2024-06-27,0,3
2024-06-28,2,13
2024-06-29,2,4
2024-06-30,0,3
2024-07-01,1,4
2024-07-02,1,3
2024-07-03,3,3
2024-07-04,2,3
2024-07-05,3,3
2024-07-06,2,3
2024-07-07,2,2
2024-07-08,2,3
2024-07-09,1,3
2024-07-10,2,3
2024-07-11,2,3
2024-07-12,2,3
2024-07-13,1,70
2024-07-14,1,100
2024-07-15,1,27
2024-07-16,2,18
2024-07-17,2,15
2024-07-18,4,25
2024-07-19,5,25
2024-07-20,4,9
2024-07-21,55,9
2024-07-22,75,9
2024-07-23,74,8
2024-07-24,48,6
2024-07-25,44,6
2024-07-26,31,6
2024-07-27,25,5
2024-07-28,17,5
2024-07-29,16,17
2024-07-30,15,13
2024-07-31,22,9
2024-08-01,28,7
2024-08-02,21,5
2024-08-03,16,5
2024-08-04,15,3
2024-08-05,19,5
2024-08-06,33,4
2024-08-07,27,5
2024-08-08,18,5
2024-08-09,12,5
2024-08-10,14,4
2024-08-11,13,4
2024-08-12,11,4
2024-08-13,11,5
2024-08-14,11,4
2024-08-15,11,4
2024-08-16,12,4
2024-08-17,12,2
2024-08-18,10,4
2024-08-19,12,4
2024-08-20,20,6
2024-08-21,29,7
2024-08-22,17,7
2024-08-23,42,7
2024-08-24,13,4
2024-08-25,11,5
2024-08-26,9,5
2024-08-27,8,5
2024-08-28,9,5
2024-08-29,12,5
2024-08-30,16,4
2024-08-31,8,4
2024-09-01,7,3
2024-09-02,8,4
2024-09-03,7,4
2024-09-04,8,4
2024-09-05,6,4
2024-09-06,6,4
2024-09-07,7,3
2024-09-08,6,4
2024-09-09,7,3
2024-09-10,9,4
2024-09-11,40,17
2024-09-12,14,6
2024-09-13,13,6
2024-09-14,11,5
2024-09-15,10,15
2024-09-16,11,11
2024-09-17,11,6
2024-09-18,9,4
2024-09-19,11,5
2024-09-20,24,4
2024-09-21,17,4
2024-09-22,10,4
2024-09-23,8,3
2024-09-24,8,4
2024-09-25,10,4
2024-09-26,8,3
2024-09-27,7,4
2024-09-28,8,5
2024-09-29,8,5
2024-09-30,7,4
2024-10-01,9,6
2024-10-02,10,7
2024-10-03,11,5
2024-10-04,8,4
2024-10-05,7,4
2024-10-06,9,6
2024-10-07,8,4
2024-10-08,10,3
2024-10-09,9,4
2024-10-10,6,4
2024-10-11,7,4
2024-10-12,6,4
2024-10-13,6,4
2024-10-14,10,4
2024-10-15,12,5
2024-10-16,16,5
2024-10-17,27,5
2024-10-18,13,5
2024-10-19,9,4
2024-10-20,11,6
2024-10-21,14,7
2024-10-22,14,4
2024-10-23,12,6
2024-10-24,12,5
2024-10-25,11,6
2024-10-26,13,7
2024-10-27,10,8
2024-10-28,11,7
2024-10-29,17,10
2024-10-30,25,9
2024-10-31,23,10
2024-11-01,29,9
2024-11-02,20,11
2024-11-03,19,9
2024-11-04,17,9
2024-11-05,41,52
