date,Barack Obama for president,John McCain for president
2008-06-01,0,0
2008-06-02,0,0
2008-06-03,0,0
2008-06-04,10,9
2008-06-05,0,0
2008-06-06,0,0
2008-06-07,0,0
2008-06-08,0,13
2008-06-09,0,0
2008-06-10,0,0
2008-06-11,0,8
2008-06-12,0,0
2008-06-13,0,9
2008-06-14,0,0
2008-06-15,0,0
2008-06-16,0,0
2008-06-17,0,0
2008-06-18,0,0
2008-06-19,0,8
2008-06-20,0,0
2008-06-21,0,0
2008-06-22,0,0
2008-06-23,0,0
2008-06-24,0,0
2008-06-25,0,0
2008-06-26,0,0
2008-06-27,0,0
2008-06-28,0,0
2008-06-29,0,0
2008-06-30,0,0
2008-07-01,0,0
2008-07-02,0,0
2008-07-03,0,0
2008-07-04,0,0
2008-07-05,0,0
2008-07-06,0,0
2008-07-07,7,0
2008-07-08,0,0
2008-07-09,0,0
2008-07-10,0,0
2008-07-11,0,0
2008-07-12,0,0
2008-07-13,0,0
2008-07-14,0,0
2008-07-15,0,0
2008-07-16,0,0
2008-07-17,0,0
2008-07-18,0,0
2008-07-19,0,0
2008-07-20,0,0
2008-07-21,0,0
2008-07-22,0,0
2008-07-23,0,0
2008-07-24,0,0
2008-07-25,0,9
2008-07-26,0,0
2008-07-27,0,0
2008-07-28,0,0
2008-07-29,0,13
2008-07-30,0,0
2008-07-31,0,8
2008-08-01,0,13
2008-08-02,0,0
2008-08-03,0,0
2008-08-04,0,0
2008-08-05,0,0
2008-08-06,0,0
2008-08-07,0,0
2008-08-08,0,0
2008-08-09,0,0
2008-08-10,0,0
2008-08-11,0,0
2008-08-12,0,0
2008-08-13,0,7
2008-08-14,8,0
2008-08-15,0,0
2008-08-16,0,0
2008-08-17,0,0
2008-08-18,0,8
2008-08-19,8,8
2008-08-20,0,8
2008-08-21,0,16
2008-08-22,0,12
2008-08-23,18,12
2008-08-24,0,0
2008-08-25,8,13
2008-08-26,0,17
2008-08-27,9,18
2008-08-28,0,26
2008-08-29,23,100
2008-08-30,13,61
2008-08-31,0,31
2008-09-01,0,24
2008-09-02,9,31
2008-09-03,10,35
2008-09-04,15,64
2008-09-05,14,72
2008-09-06,0,37
2008-09-07,0,23
2008-09-08,0,30
2008-09-09,13,31
2008-09-10,10,38
2008-09-11,9,37
2008-09-12,11,36
2008-09-13,0,17
2008-09-14,0,25
2008-09-15,10,22
2008-09-16,10,20
2008-09-17,9,25
2008-09-18,7,25
2008-09-19,0,25
2008-09-20,10,17
2008-09-21,0,0
2008-09-22,9,24
2008-09-23,8,14
2008-09-24,7,26
2008-09-25,12,29
2008-09-26,0,25
2008-09-27,15,42
2008-09-28,0,26
2008-09-29,0,21
2008-09-30,10,29
2008-10-01,14,26
2008-10-02,8,30
2008-10-03,10,32
2008-10-04,0,22
2008-10-05,0,32
2008-10-06,10,28
2008-10-07,8,34
2008-10-08,11,45
2008-10-09,10,50
2008-10-10,11,27
2008-10-11,0,26
2008-10-12,0,26
2008-10-13,6,24
2008-10-14,0,32
2008-10-15,11,26
2008-10-16,18,40
2008-10-17,9,33
2008-10-18,0,21
2008-10-19,0,23
2008-10-20,17,31
2008-10-21,14,37
2008-10-22,17,31
2008-10-23,20,37
2008-10-24,18,40
2008-10-25,10,34
2008-10-26,10,20
2008-10-27,11,19
2008-10-28,15,16
2008-10-29,18,18
2008-10-30,17,15
2008-10-31,8,10
2008-11-01,20,0
2008-11-02,16,17
2008-11-03,17,15
2008-11-04,32,34
