date,Barack Obama,John McCain
2008-06-01,8,3
2008-06-02,8,4
2008-06-03,12,4
2008-06-04,35,10
2008-06-05,22,8
2008-06-06,16,7
2008-06-07,18,6
2008-06-08,16,7
2008-06-09,13,7
2008-06-10,11,6
2008-06-11,10,7
2008-06-12,11,6
2008-06-13,9,6
2008-06-14,8,5
2008-06-15,9,6
2008-06-16,9,4
2008-06-17,9,5
2008-06-18,8,5
2008-06-19,9,5
2008-06-20,9,5
2008-06-21,10,5
2008-06-22,7,4
2008-06-23,8,5
2008-06-24,8,5
2008-06-25,7,5
2008-06-26,7,4
2008-06-27,7,5
2008-06-28,9,5
2008-06-29,7,4
2008-06-30,7,5
2008-07-01,7,5
2008-07-02,7,5
2008-07-03,6,4
2008-07-04,7,3
2008-07-05,7,4
2008-07-06,6,4
2008-07-07,7,4
2008-07-08,7,4
2008-07-09,8,4
2008-07-10,10,4
2008-07-11,7,5
2008-07-12,7,5
2008-07-13,7,4
2008-07-14,8,4
2008-07-15,8,4
2008-07-16,7,4
2008-07-17,7,5
2008-07-18,6,5
2008-07-19,6,4
2008-07-20,6,3
2008-07-21,5,4
2008-07-22,6,5
2008-07-23,7,5
2008-07-24,10,5
2008-07-25,9,6
2008-07-26,8,5
2008-07-27,8,5
2008-07-28,7,5
2008-07-29,7,5
2008-07-30,7,5
2008-07-31,8,7
2008-08-01,8,8
2008-08-02,9,7
2008-08-03,7,6
2008-08-04,8,6
2008-08-05,7,6
2008-08-06,8,9
2008-08-07,7,8
2008-08-08,7,8
2008-08-09,7,7
2008-08-10,7,5
2008-08-11,8,5
2008-08-12,7,5
2008-08-13,6,5
2008-08-14,7,6
2008-08-15,7,5
2008-08-16,7,5
2008-08-17,8,8
2008-08-18,8,7
2008-08-19,10,8
2008-08-20,13,8
2008-08-21,12,8
2008-08-22,26,9
2008-08-23,38,14
2008-08-24,15,11
2008-08-25,14,10
2008-08-26,23,14
2008-08-27,21,15
2008-08-28,32,18
2008-08-29,86,62
2008-08-30,43,35
2008-08-31,27,23
2008-09-01,22,19
2008-09-02,21,19
2008-09-03,23,27
2008-09-04,34,39
2008-09-05,32,70
2008-09-06,22,24
2008-09-07,21,20
2008-09-08,22,19
2008-09-09,22,18
2008-09-10,23,20
2008-09-11,23,19
2008-09-12,22,20
2008-09-13,17,15
2008-09-14,19,14
2008-09-15,20,16
2008-09-16,20,17
2008-09-17,21,18
2008-09-18,22,17
2008-09-19,20,15
2008-09-20,15,11
2008-09-21,17,12
2008-09-22,19,15
2008-09-23,18,15
2008-09-24,19,17
2008-09-25,19,20
2008-09-26,20,21
2008-09-27,28,29
2008-09-28,19,16
2008-09-29,21,17
2008-09-30,22,17
2008-10-01,23,18
2008-10-02,24,19
2008-10-03,29,25
2008-10-04,21,14
2008-10-05,22,18
2008-10-06,28,21
2008-10-07,27,22
2008-10-08,33,33
2008-10-09,32,26
2008-10-10,29,22
2008-10-11,26,17
2008-10-12,25,17
2008-10-13,28,20
2008-10-14,30,20
2008-10-15,29,22
2008-10-16,38,33
2008-10-17,32,27
2008-10-18,28,20
2008-10-19,33,20
2008-10-20,34,23
2008-10-21,38,25
2008-10-22,37,27
2008-10-23,35,28
2008-10-24,37,24
2008-10-25,33,16
2008-10-26,36,21
2008-10-27,43,26
2008-10-28,49,27
2008-10-29,55,30
2008-10-30,84,32
2008-10-31,48,26
2008-11-01,41,22
2008-11-02,46,36
2008-11-03,62,39
2008-11-04,100,49
