date,Barack Obama,Mitt Romney
2012-06-01,2,5
2012-06-02,2,4
2012-06-03,2,4
2012-06-04,2,4
2012-06-05,3,4
2012-06-06,3,4
2012-06-07,3,4
2012-06-08,3,5
2012-06-09,2,4
2012-06-10,2,3
2012-06-11,2,3
2012-06-12,2,3
2012-06-13,2,4
2012-06-14,2,4
2012-06-15,3,4
2012-06-16,3,4
2012-06-17,2,5
2012-06-18,2,4
2012-06-19,2,4
2012-06-20,2,4
2012-06-21,2,5
2012-06-22,2,4
2012-06-23,2,4
2012-06-24,2,3
2012-06-25,2,3
2012-06-26,2,3
2012-06-27,2,3
2012-06-28,3,9
2012-06-29,3,7
2012-06-30,3,4
2012-07-01,3,4
2012-07-02,2,4
2012-07-03,2,5
2012-07-04,3,5
2012-07-05,2,6
2012-07-06,3,6
2012-07-07,2,4
2012-07-08,3,4
2012-07-09,2,5
2012-07-10,4,5
2012-07-11,3,8
2012-07-12,3,9
2012-07-13,3,9
2012-07-14,3,9
2012-07-15,3,9
2012-07-16,3,8
2012-07-17,5,9
2012-07-18,4,9
2012-07-19,4,9
2012-07-20,3,8
2012-07-21,3,5
2012-07-22,3,5
2012-07-23,3,5
2012-07-24,3,6
2012-07-25,3,6
2012-07-26,3,9
2012-07-27,3,15
2012-07-28,3,13
2012-07-29,3,10
2012-07-30,3,9
2012-07-31,3,10
2012-08-01,3,9
2012-08-02,3,8
2012-08-03,4,8
2012-08-04,7,8
2012-08-05,4,6
2012-08-06,3,6
2012-08-07,3,8
2012-08-08,3,8
2012-08-09,3,9
2012-08-10,3,8
2012-08-11,5,40
2012-08-12,4,18
2012-08-13,3,16
2012-08-14,4,12
2012-08-15,3,10
2012-08-16,4,10
2012-08-17,3,10
2012-08-18,3,9
2012-08-19,3,9
2012-08-20,3,8
2012-08-21,3,8
2012-08-22,3,8
2012-08-23,3,10
2012-08-24,3,12
2012-08-25,4,11
2012-08-26,3,12
2012-08-27,4,12
2012-08-28,4,15
2012-08-29,6,34
2012-08-30,7,31
2012-08-31,8,92
2012-09-01,5,26
2012-09-02,4,17
2012-09-03,5,16
2012-09-04,7,19
2012-09-05,15,28
2012-09-06,14,28
2012-09-07,29,38
2012-09-08,8,21
2012-09-09,7,18
2012-09-10,6,16
2012-09-11,6,14
2012-09-12,6,16
2012-09-13,7,18
2012-09-14,6,16
2012-09-15,5,13
2012-09-16,5,12
2012-09-17,5,14
2012-09-18,6,46
2012-09-19,7,39
2012-09-20,7,30
2012-09-21,7,29
2012-09-22,5,20
2012-09-23,5,17
2012-09-24,6,20
2012-09-25,6,19
2012-09-26,6,17
2012-09-27,6,16
2012-09-28,5,14
2012-09-29,4,12
2012-09-30,5,12
2012-10-01,6,12
2012-10-02,6,14
2012-10-03,8,22
2012-10-04,20,100
2012-10-05,9,39
2012-10-06,5,25
2012-10-07,6,20
2012-10-08,6,20
2012-10-09,7,22
2012-10-10,8,25
2012-10-11,7,22
2012-10-12,8,27
2012-10-13,5,16
2012-10-14,5,15
2012-10-15,6,14
2012-10-16,8,20
2012-10-17,18,77
2012-10-18,10,38
2012-10-19,12,35
2012-10-20,7,26
2012-10-21,7,22
2012-10-22,9,27
2012-10-23,18,77
2012-10-24,13,37
2012-10-25,13,31
2012-10-26,11,28
2012-10-27,8,22
2012-10-28,8,19
2012-10-29,9,23
2012-10-30,9,24
2012-10-31,10,26
2012-11-01,12,30
2012-11-02,13,31
2012-11-03,11,29
2012-11-04,16,35
2012-11-05,28,55
2012-11-06,48,88
