date,body aches
2017-09-17,19
2017-09-24,18
2017-10-01,19
2017-10-08,20
2017-10-15,20
2017-10-22,20
2017-10-29,22
2017-11-05,20
2017-11-12,22
2017-11-19,22
2017-11-26,25
2017-12-03,21
2017-12-10,24
2017-12-17,32
2017-12-24,39
2017-12-31,36
2018-01-07,34
2018-01-14,33
2018-01-21,34
2018-01-28,35
2018-02-04,35
2018-02-11,33
2018-02-18,29
2018-02-25,26
2018-03-04,25
2018-03-11,25
2018-03-18,25
2018-03-25,25
2018-04-01,24
2018-04-08,23
2018-04-15,22
2018-04-22,22
2018-04-29,21
2018-05-06,21
2018-05-13,20
2018-05-20,21
2018-05-27,21
2018-06-03,20
2018-06-10,20
2018-06-17,19
2018-06-24,20
2018-07-01,19
2018-07-08,20
2018-07-15,21
2018-07-22,20
2018-07-29,20
2018-08-05,20
2018-08-12,21
2018-08-19,20
2018-08-26,20
2018-09-02,21
2018-09-09,22
2018-09-16,23
2018-09-23,22
2018-09-30,20
2018-10-07,22
2018-10-14,21
2018-10-21,21
2018-10-28,22
2018-11-04,21
2018-11-11,22
2018-11-18,21
2018-11-25,26
2018-12-02,22
2018-12-09,23
2018-12-16,27
2018-12-23,31
2018-12-30,31
2019-01-06,27
2019-01-13,25
2019-01-20,26
2019-01-27,27
2019-02-03,28
2019-02-10,29
2019-02-17,29
2019-02-24,28
2019-03-03,27
2019-03-10,29
2019-03-17,29
2019-03-24,27
2019-03-31,26
2019-04-07,25
2019-04-14,24
2019-04-21,23
2019-04-28,22
2019-05-05,22
2019-05-12,23
2019-05-19,20
2019-05-26,23
2019-06-02,21
2019-06-09,20
2019-06-16,22
2019-06-23,21
2019-06-30,19
2019-07-07,20
2019-07-14,19
2019-07-21,20
2019-07-28,21
2019-08-04,20
2019-08-11,20
2019-08-18,20
2019-08-25,20
2019-09-01,20
2019-09-08,20
2019-09-15,21
2019-09-22,22
2019-09-29,23
2019-10-06,22
2019-10-13,22
2019-10-20,23
2019-10-27,23
2019-11-03,24
2019-11-10,24
2019-11-17,26
2019-11-24,25
2019-12-01,26
2019-12-08,25
2019-12-15,29
2019-12-22,41
2019-12-29,39
2020-01-05,33
2020-01-12,30
2020-01-19,32
2020-01-26,35
2020-02-02,33
2020-02-09,32
2020-02-16,33
2020-02-23,31
2020-03-01,33
2020-03-08,42
2020-03-15,51
2020-03-22,48
2020-03-29,42
2020-04-05,37
2020-04-12,30
2020-04-19,27
2020-04-26,24
2020-05-03,22
2020-05-10,23
2020-05-17,22
2020-05-24,21
2020-05-31,20
2020-06-07,21
2020-06-14,26
2020-06-21,30
2020-06-28,31
2020-07-05,35
2020-07-12,30
2020-07-19,28
2020-07-26,26
2020-08-02,26
2020-08-09,24
2020-08-16,22
2020-08-23,21
2020-08-30,22
2020-09-06,23
2020-09-13,22
2020-09-20,23
2020-09-27,25
2020-10-04,26
2020-10-11,26
2020-10-18,28
2020-10-25,27
2020-11-01,26
2020-11-08,32
2020-11-15,34
2020-11-22,34
2020-11-29,34
2020-12-06,39
2020-12-13,34
2020-12-20,33
2020-12-27,42
2021-01-03,37
2021-01-10,33
2021-01-17,32
2021-01-24,30
2021-01-31,31
2021-02-07,29
2021-02-14,27
2021-02-21,27
2021-02-28,26
2021-03-07,26
2021-03-14,27
2021-03-21,29
2021-03-28,28
2021-04-04,34
2021-04-11,33
2021-04-18,32
2021-04-25,32
2021-05-02,28
2021-05-09,28
2021-05-16,26
2021-05-23,24
2021-05-30,25
2021-06-06,24
2021-06-13,23
2021-06-20,22
2021-06-27,22
2021-07-04,26
2021-07-11,27
2021-07-18,30
2021-07-25,34
2021-08-01,35
2021-08-08,36
2021-08-15,38
2021-08-22,38
2021-08-29,38
2021-09-05,36
2021-09-12,34
2021-09-19,32
2021-09-26,31
2021-10-03,31
2021-10-10,30
2021-10-17,28
2021-10-24,28
2021-10-31,28
2021-11-07,33
2021-11-14,33
2021-11-21,33
2021-11-28,41
2021-12-05,39
2021-12-12,44
2021-12-19,61
2021-12-26,100
2022-01-02,94
2022-01-09,73
2022-01-16,54
2022-01-23,45
2022-01-30,36
2022-02-06,32
2022-02-13,29
2022-02-20,28
2022-02-27,26
2022-03-06,25
2022-03-13,29
