date,cough
2017-09-17,31
2017-09-24,33
2017-10-01,32
2017-10-08,33
2017-10-15,34
2017-10-22,36
2017-10-29,38
2017-11-05,42
2017-11-12,43
2017-11-19,45
2017-11-26,46
2017-12-03,45
2017-12-10,50
2017-12-17,59
2017-12-24,71
2017-12-31,65
2018-01-07,59
2018-01-14,57
2018-01-21,55
2018-01-28,55
2018-02-04,53
2018-02-11,52
2018-02-18,47
2018-02-25,42
2018-03-04,39
2018-03-11,40
2018-03-18,40
2018-03-25,38
2018-04-01,37
2018-04-08,35
2018-04-15,34
2018-04-22,33
2018-04-29,32
2018-05-06,33
2018-05-13,33
2018-05-20,31
2018-05-27,33
2018-06-03,29
2018-06-10,29
2018-06-17,28
2018-06-24,26
2018-07-01,25
2018-07-08,25
2018-07-15,25
2018-07-22,23
2018-07-29,23
2018-08-05,24
2018-08-12,24
2018-08-19,26
2018-08-26,28
2018-09-02,30
2018-09-09,31
2018-09-16,34
2018-09-23,39
2018-09-30,35
2018-10-07,37
2018-10-14,36
2018-10-21,38
2018-10-28,40
2018-11-04,41
2018-11-11,43
2018-11-18,46
2018-11-25,46
2018-12-02,49
2018-12-09,49
2018-12-16,53
2018-12-23,62
2018-12-30,59
2019-01-06,53
2019-01-13,50
2019-01-20,48
2019-01-27,49
2019-02-03,50
2019-02-10,49
2019-02-17,52
2019-02-24,47
2019-03-03,46
2019-03-10,46
2019-03-17,48
2019-03-24,44
2019-03-31,43
2019-04-07,41
2019-04-14,39
2019-04-21,39
2019-04-28,38
2019-05-05,37
2019-05-12,37
2019-05-19,35
2019-05-26,35
2019-06-02,33
2019-06-09,31
2019-06-16,31
2019-06-23,29
2019-06-30,27
2019-07-07,28
2019-07-14,26
2019-07-21,24
2019-07-28,27
2019-08-04,26
2019-08-11,25
2019-08-18,27
2019-08-25,29
2019-09-01,30
2019-09-08,32
2019-09-15,35
2019-09-22,36
2019-09-29,37
2019-10-06,36
2019-10-13,39
2019-10-20,42
2019-10-27,42
2019-11-03,46
2019-11-10,47
2019-11-17,53
2019-11-24,52
2019-12-01,51
2019-12-08,52
2019-12-15,55
2019-12-22,71
2019-12-29,71
2020-01-05,60
2020-01-12,54
2020-01-19,56
2020-01-26,56
2020-02-02,57
2020-02-09,55
2020-02-16,55
2020-02-23,58
2020-03-01,60
2020-03-08,82
2020-03-15,100
2020-03-22,87
2020-03-29,72
2020-04-05,56
2020-04-12,36
2020-04-19,34
2020-04-26,30
2020-05-03,26
2020-05-10,25
2020-05-17,24
2020-05-24,22
2020-05-31,19
2020-06-07,20
2020-06-14,22
2020-06-21,25
2020-06-28,27
2020-07-05,27
2020-07-12,29
2020-07-19,26
2020-07-26,26
2020-08-02,26
2020-08-09,24
2020-08-16,23
2020-08-23,22
2020-08-30,24
2020-09-06,23
2020-09-13,23
2020-09-20,25
2020-09-27,26
2020-10-04,31
2020-10-11,30
2020-10-18,30
2020-10-25,31
2020-11-01,27
2020-11-08,32
2020-11-15,35
2020-11-22,34
2020-11-29,34
2020-12-06,32
2020-12-13,34
2020-12-20,33
2020-12-27,37
2021-01-03,31
2021-01-10,32
2021-01-17,31
2021-01-24,29
2021-01-31,27
2021-02-07,27
2021-02-14,26
2021-02-21,25
2021-02-28,25
2021-03-07,27
2021-03-14,26
2021-03-21,29
2021-03-28,29
2021-04-04,31
2021-04-11,31
2021-04-18,32
2021-04-25,32
2021-05-02,32
2021-05-09,33
2021-05-16,35
2021-05-23,35
2021-05-30,35
2021-06-06,34
2021-06-13,36
2021-06-20,35
2021-06-27,36
2021-07-04,39
2021-07-11,41
2021-07-18,44
2021-07-25,43
2021-08-01,45
2021-08-08,45
2021-08-15,48
2021-08-22,50
2021-08-29,48
2021-09-05,49
2021-09-12,51
2021-09-19,50
2021-09-26,48
2021-10-03,50
2021-10-10,49
2021-10-17,50
2021-10-24,49
2021-10-31,52
2021-11-07,57
2021-11-14,55
2021-11-21,54
2021-11-28,60
2021-12-05,56
2021-12-12,52
2021-12-19,71
2021-12-26,93
2022-01-02,87
2022-01-09,78
2022-01-16,58
2022-01-23,52
2022-01-30,45
2022-02-06,43
2022-02-13,38
2022-02-20,40
2022-02-27,38
2022-03-06,40
2022-03-13,43
