date,Democratic Party,Republican Party
2006-06-01,10,8
2006-06-02,10,7
2006-06-03,8,5
2006-06-04,7,9
2006-06-05,14,11
2006-06-06,23,12
2006-06-07,14,14
2006-06-08,14,8
2006-06-09,6,6
2006-06-10,5,6
2006-06-11,6,0
2006-06-12,9,6
2006-06-13,8,7
2006-06-14,7,6
2006-06-15,5,5
2006-06-16,7,6
2006-06-17,9,0
2006-06-18,6,0
2006-06-19,8,9
2006-06-20,8,4
2006-06-21,8,7
2006-06-22,7,6
2006-06-23,8,7
2006-06-24,7,5
2006-06-25,5,0
2006-06-26,10,4
2006-06-27,7,7
2006-06-28,5,8
2006-06-29,8,4
2006-06-30,6,5
2006-07-01,0,0
2006-07-02,5,0
2006-07-03,9,0
2006-07-04,6,5
2006-07-05,4,7
2006-07-06,7,8
2006-07-07,6,8
2006-07-08,7,5
2006-07-09,8,0
2006-07-10,7,6
2006-07-11,7,6
2006-07-12,6,6
2006-07-13,7,4
2006-07-14,6,8
2006-07-15,6,0
2006-07-16,0,6
2006-07-17,8,6
2006-07-18,6,7
2006-07-19,10,8
2006-07-20,8,8
2006-07-21,8,5
2006-07-22,7,4
2006-07-23,7,0
2006-07-24,6,7
2006-07-25,6,6
2006-07-26,7,6
2006-07-27,9,5
2006-07-28,7,3
2006-07-29,8,0
2006-07-30,0,0
2006-07-31,11,5
2006-08-01,7,4
2006-08-02,7,5
2006-08-03,6,7
2006-08-04,4,7
2006-08-05,7,7
2006-08-06,6,0
2006-08-07,11,6
2006-08-08,11,10
2006-08-09,14,6
2006-08-10,6,7
2006-08-11,7,7
2006-08-12,7,0
2006-08-13,7,8
2006-08-14,9,6
2006-08-15,7,5
2006-08-16,7,6
2006-08-17,9,7
2006-08-18,6,0
2006-08-19,5,0
2006-08-20,6,6
2006-08-21,8,7
2006-08-22,8,9
2006-08-23,8,6
2006-08-24,8,7
2006-08-25,9,4
2006-08-26,8,5
2006-08-27,5,0
2006-08-28,8,8
2006-08-29,9,9
2006-08-30,10,9
2006-08-31,8,7
2006-09-01,8,7
2006-09-02,6,6
2006-09-03,6,0
2006-09-04,9,4
2006-09-05,9,11
2006-09-06,11,6
2006-09-07,14,11
2006-09-08,12,8
2006-09-09,7,8
2006-09-10,9,5
2006-09-11,11,9
2006-09-12,14,13
2006-09-13,15,13
2006-09-14,11,14
2006-09-15,10,8
2006-09-16,9,5
2006-09-17,8,7
2006-09-18,10,8
2006-09-19,15,10
2006-09-20,12,11
2006-09-21,12,11
2006-09-22,11,9
2006-09-23,10,7
2006-09-24,7,6
2006-09-25,10,12
2006-09-26,13,11
2006-09-27,12,11
2006-09-28,13,13
2006-09-29,14,12
2006-09-30,9,10
2006-10-01,11,10
2006-10-02,11,13
2006-10-03,13,14
2006-10-04,16,14
2006-10-05,14,13
2006-10-06,15,13
2006-10-07,11,13
2006-10-08,9,9
2006-10-09,15,11
2006-10-10,15,14
2006-10-11,16,15
2006-10-12,17,14
2006-10-13,14,13
2006-10-14,9,8
2006-10-15,10,12
2006-10-16,20,14
2006-10-17,19,16
2006-10-18,20,16
2006-10-19,16,18
2006-10-20,19,16
2006-10-21,14,15
2006-10-22,18,15
2006-10-23,22,20
2006-10-24,24,23
2006-10-25,21,21
2006-10-26,21,19
2006-10-27,19,17
2006-10-28,19,17
2006-10-29,15,15
2006-10-30,23,22
2006-10-31,28,25
2006-11-01,27,23
2006-11-02,29,27
2006-11-03,29,27
2006-11-04,27,25
2006-11-05,26,23
2006-11-06,45,41
2006-11-07,100,91
