date,Democratic Party,Republican Party
2010-06-01,9,11
2010-06-02,8,11
2010-06-03,8,10
2010-06-04,8,9
2010-06-05,8,8
2010-06-06,5,8
2010-06-07,11,13
2010-06-08,20,27
2010-06-09,10,12
2010-06-10,6,7
2010-06-11,7,7
2010-06-12,5,5
2010-06-13,3,7
2010-06-14,8,8
2010-06-15,5,7
2010-06-16,4,6
2010-06-17,7,8
2010-06-18,5,6
2010-06-19,4,4
2010-06-20,0,3
2010-06-21,4,6
2010-06-22,6,8
2010-06-23,6,6
2010-06-24,7,8
2010-06-25,5,5
2010-06-26,5,5
2010-06-27,4,6
2010-06-28,5,7
2010-06-29,5,7
2010-06-30,5,7
2010-07-01,5,7
2010-07-02,3,7
2010-07-03,4,4
2010-07-04,3,5
2010-07-05,2,5
2010-07-06,4,7
2010-07-07,5,6
2010-07-08,5,5
2010-07-09,6,6
2010-07-10,4,4
2010-07-11,3,5
2010-07-12,6,6
2010-07-13,6,6
2010-07-14,6,7
2010-07-15,4,5
2010-07-16,6,8
2010-07-17,4,6
2010-07-18,4,6
2010-07-19,5,7
2010-07-20,7,7
2010-07-21,6,8
2010-07-22,6,6
2010-07-23,4,6
2010-07-24,4,5
2010-07-25,3,4
2010-07-26,5,8
2010-07-27,4,7
2010-07-28,5,9
2010-07-29,5,8
2010-07-30,4,6
2010-07-31,3,4
2010-08-01,4,6
2010-08-02,4,7
2010-08-03,7,8
2010-08-04,5,7
2010-08-05,5,8
2010-08-06,4,7
2010-08-07,4,6
2010-08-08,2,5
2010-08-09,6,8
2010-08-10,7,8
2010-08-11,6,7
2010-08-12,6,6
2010-08-13,5,5
2010-08-14,3,4
2010-08-15,4,5
2010-08-16,6,5
2010-08-17,5,8
2010-08-18,6,8
2010-08-19,5,8
2010-08-20,5,7
2010-08-21,3,5
2010-08-22,3,6
2010-08-23,6,8
2010-08-24,6,9
2010-08-25,6,7
2010-08-26,6,9
2010-08-27,5,6
2010-08-28,5,6
2010-08-29,5,7
2010-08-30,6,8
2010-08-31,6,7
2010-09-01,8,8
2010-09-02,6,6
2010-09-03,5,7
2010-09-04,2,4
2010-09-05,3,2
2010-09-06,4,6
2010-09-07,8,8
2010-09-08,7,8
2010-09-09,7,9
2010-09-10,7,8
2010-09-11,3,6
2010-09-12,5,7
2010-09-13,8,9
2010-09-14,10,16
2010-09-15,9,19
2010-09-16,11,14
2010-09-17,9,10
2010-09-18,5,8
2010-09-19,6,8
2010-09-20,12,11
2010-09-21,10,13
2010-09-22,10,10
2010-09-23,11,14
2010-09-24,9,12
2010-09-25,4,6
2010-09-26,7,8
2010-09-27,9,12
2010-09-28,10,11
2010-09-29,10,12
2010-09-30,11,12
2010-10-01,8,10
2010-10-02,6,6
2010-10-03,7,5
2010-10-04,11,15
2010-10-05,11,15
2010-10-06,12,15
2010-10-07,12,14
2010-10-08,8,12
2010-10-09,7,9
2010-10-10,7,11
2010-10-11,10,12
2010-10-12,12,14
2010-10-13,12,13
2010-10-14,15,17
2010-10-15,10,16
2010-10-16,9,12
2010-10-17,12,11
2010-10-18,17,19
2010-10-19,13,20
2010-10-20,15,20
2010-10-21,16,21
2010-10-22,16,18
2010-10-23,10,12
2010-10-24,12,14
2010-10-25,18,20
2010-10-26,19,22
2010-10-27,20,26
2010-10-28,20,26
2010-10-29,20,22
2010-10-30,15,17
2010-10-31,18,19
2010-11-01,35,45
2010-11-02,80,100
