date,Democratic Party,Republican Party
2014-06-01,5,8
2014-06-02,8,10
2014-06-03,17,21
2014-06-04,11,14
2014-06-05,7,10
2014-06-06,7,8
2014-06-07,5,6
2014-06-08,5,8
2014-06-09,5,9
2014-06-10,8,10
2014-06-11,12,19
2014-06-12,8,11
2014-06-13,6,8
2014-06-14,4,6
2014-06-15,6,6
2014-06-16,7,7
2014-06-17,7,8
2014-06-18,7,7
2014-06-19,7,8
2014-06-20,7,6
2014-06-21,4,7
2014-06-22,4,6
2014-06-23,6,8
2014-06-24,7,8
2014-06-25,8,10
2014-06-26,7,9
2014-06-27,6,7
2014-06-28,5,5
2014-06-29,6,7
2014-06-30,7,7
2014-07-01,6,7
2014-07-02,5,6
2014-07-03,7,7
2014-07-04,3,5
2014-07-05,4,4
2014-07-06,5,6
2014-07-07,6,6
2014-07-08,6,7
2014-07-09,7,6
2014-07-10,6,7
2014-07-11,6,6
2014-07-12,5,5
2014-07-13,5,6
2014-07-14,5,7
2014-07-15,6,8
2014-07-16,7,6
2014-07-17,7,5
2014-07-18,5,8
2014-07-19,4,7
2014-07-20,6,6
2014-07-21,6,7
2014-07-22,7,6
2014-07-23,7,6
2014-07-24,6,8
2014-07-25,6,6
2014-07-26,5,6
2014-07-27,5,6
2014-07-28,6,8
2014-07-29,6,6
2014-07-30,7,6
2014-07-31,7,7
2014-08-01,6,6
2014-08-02,7,6
2014-08-03,4,6
2014-08-04,7,7
2014-08-05,7,8
2014-08-06,6,7
2014-08-07,8,7
2014-08-08,5,5
2014-08-09,5,5
2014-08-10,6,4
2014-08-11,5,5
2014-08-12,6,7
2014-08-13,6,5
2014-08-14,6,7
2014-08-15,7,6
2014-08-16,6,5
2014-08-17,5,7
2014-08-18,6,6
2014-08-19,7,8
2014-08-20,5,8
2014-08-21,6,7
2014-08-22,6,7
2014-08-23,4,5
2014-08-24,5,5
2014-08-25,8,8
2014-08-26,7,9
2014-08-27,7,9
2014-08-28,7,8
2014-08-29,6,6
2014-08-30,4,5
2014-08-31,5,5
2014-09-01,4,4
2014-09-02,5,7
2014-09-03,7,8
2014-09-04,7,8
2014-09-05,7,7
2014-09-06,6,5
2014-09-07,7,7
2014-09-08,7,9
2014-09-09,11,9
2014-09-10,9,9
2014-09-11,8,10
2014-09-12,6,9
2014-09-13,6,4
2014-09-14,5,5
2014-09-15,10,11
2014-09-16,10,13
2014-09-17,8,9
2014-09-18,9,11
2014-09-19,11,10
2014-09-20,4,7
2014-09-21,6,6
2014-09-22,10,10
2014-09-23,11,11
2014-09-24,11,13
2014-09-25,11,11
2014-09-26,10,13
2014-09-27,6,6
2014-09-28,6,8
2014-09-29,11,11
2014-09-30,14,14
2014-10-01,13,14
2014-10-02,14,15
2014-10-03,11,12
2014-10-04,7,6
2014-10-05,8,9
2014-10-06,14,16
2014-10-07,12,17
2014-10-08,14,18
2014-10-09,13,16
2014-10-10,13,14
2014-10-11,8,9
2014-10-12,9,10
2014-10-13,14,15
2014-10-14,16,17
2014-10-15,15,18
2014-10-16,18,18
2014-10-17,16,14
2014-10-18,11,10
2014-10-19,11,12
2014-10-20,18,21
2014-10-21,19,21
2014-10-22,21,21
2014-10-23,18,19
2014-10-24,17,19
2014-10-25,12,13
2014-10-26,13,13
2014-10-27,20,20
2014-10-28,23,24
2014-10-29,25,26
2014-10-30,26,25
2014-10-31,23,23
2014-11-01,16,17
2014-11-02,18,20
2014-11-03,36,37
2014-11-04,90,100
