date,Democratic Party,Republican Party
2018-06-01,7,29
2018-06-02,6,9
2018-06-03,7,9
2018-06-04,10,12
2018-06-05,21,15
2018-06-06,11,9
2018-06-07,5,5
2018-06-08,5,4
2018-06-09,4,3
2018-06-10,5,4
2018-06-11,6,5
2018-06-12,7,6
2018-06-13,6,6
2018-06-14,5,5
2018-06-15,5,5
2018-06-16,4,4
2018-06-17,4,4
2018-06-18,5,5
2018-06-19,5,5
2018-06-20,7,9
2018-06-21,6,7
2018-06-22,5,5
2018-06-23,5,12
2018-06-24,5,7
2018-06-25,7,7
2018-06-26,7,6
2018-06-27,11,7
2018-06-28,9,6
2018-06-29,8,5
2018-06-30,6,5
2018-07-01,6,4
2018-07-02,6,4
2018-07-03,7,5
2018-07-04,6,5
2018-07-05,7,5
2018-07-06,5,5
2018-07-07,5,4
2018-07-08,5,4
2018-07-09,6,4
2018-07-10,6,5
2018-07-11,6,4
2018-07-12,5,4
2018-07-13,5,4
2018-07-14,5,4
2018-07-15,6,3
2018-07-16,6,6
2018-07-17,7,6
2018-07-18,7,7
2018-07-19,7,5
2018-07-20,6,4
2018-07-21,6,5
2018-07-22,6,5
2018-07-23,6,5
2018-07-24,6,5
2018-07-25,5,5
2018-07-26,6,5
2018-07-27,5,4
2018-07-28,5,5
2018-07-29,5,4
2018-07-30,6,4
2018-07-31,6,5
2018-08-01,6,5
2018-08-02,6,5
2018-08-03,6,5
2018-08-04,6,4
2018-08-05,5,4
2018-08-06,6,5
2018-08-07,8,8
2018-08-08,8,7
2018-08-09,6,5
2018-08-10,5,4
2018-08-11,4,4
2018-08-12,7,4
2018-08-13,5,5
2018-08-14,7,5
2018-08-15,7,5
2018-08-16,7,5
2018-08-17,6,4
2018-08-18,5,4
2018-08-19,4,4
2018-08-20,6,5
2018-08-21,6,6
2018-08-22,6,6
2018-08-23,6,6
2018-08-24,6,6
2018-08-25,6,5
2018-08-26,6,6
2018-08-27,6,7
2018-08-28,9,9
2018-08-29,8,7
2018-08-30,8,8
2018-08-31,7,8
2018-09-01,5,5
2018-09-02,5,5
2018-09-03,5,5
2018-09-04,7,5
2018-09-05,7,7
2018-09-06,7,7
2018-09-07,8,7
2018-09-08,6,5
2018-09-09,6,5
2018-09-10,7,7
2018-09-11,7,6
2018-09-12,7,7
2018-09-13,8,7
2018-09-14,8,7
2018-09-15,5,5
2018-09-16,5,6
2018-09-17,6,7
2018-09-18,7,6
2018-09-19,7,8
2018-09-20,7,8
2018-09-21,9,9
2018-09-22,6,6
2018-09-23,6,6
2018-09-24,9,8
2018-09-25,10,12
2018-09-26,10,10
2018-09-27,12,11
2018-09-28,13,13
2018-09-29,7,8
2018-09-30,8,8
2018-10-01,10,11
2018-10-02,11,12
2018-10-03,11,12
2018-10-04,11,13
2018-10-05,11,13
2018-10-06,12,11
2018-10-07,12,11
2018-10-08,14,14
2018-10-09,14,16
2018-10-10,13,15
2018-10-11,13,15
2018-10-12,12,14
2018-10-13,11,11
2018-10-14,11,11
2018-10-15,14,14
2018-10-16,15,16
2018-10-17,15,16
2018-10-18,15,18
2018-10-19,15,15
2018-10-20,12,12
2018-10-21,12,12
2018-10-22,16,18
2018-10-23,18,20
2018-10-24,18,19
2018-10-25,18,17
2018-10-26,19,17
2018-10-27,17,14
2018-10-28,14,16
2018-10-29,20,19
2018-10-30,23,23
2018-10-31,20,19
2018-11-01,24,21
2018-11-02,24,25
2018-11-03,21,19
2018-11-04,24,20
2018-11-05,39,40
2018-11-06,97,100
