date,Democratic Party,Republican Party
2022-06-01,8,9
2022-06-02,7,8
2022-06-03,8,9
2022-06-04,6,8
2022-06-05,8,10
2022-06-06,11,13
2022-06-07,18,21
2022-06-08,9,11
2022-06-09,5,7
2022-06-10,6,9
2022-06-11,5,5
2022-06-12,5,6
2022-06-13,6,8
2022-06-14,7,8
2022-06-15,6,8
2022-06-16,6,8
2022-06-17,5,6
2022-06-18,5,6
2022-06-19,5,10
2022-06-20,7,15
2022-06-21,6,17
2022-06-22,7,10
2022-06-23,6,10
2022-06-24,12,17
2022-06-25,10,16
2022-06-26,9,12
2022-06-27,11,14
2022-06-28,12,14
2022-06-29,9,12
2022-06-30,7,9
2022-07-01,6,8
2022-07-02,6,7
2022-07-03,6,7
2022-07-04,6,8
2022-07-05,6,8
2022-07-06,7,7
2022-07-07,6,7
2022-07-08,8,7
2022-07-09,6,6
2022-07-10,6,7
2022-07-11,8,7
2022-07-12,7,7
2022-07-13,5,7
2022-07-14,6,7
2022-07-15,7,7
2022-07-16,6,8
2022-07-17,7,7
2022-07-18,7,9
2022-07-19,8,9
2022-07-20,7,8
2022-07-21,6,9
2022-07-22,5,9
2022-07-23,5,8
2022-07-24,5,7
2022-07-25,6,9
2022-07-26,7,8
2022-07-27,6,8
2022-07-28,6,8
2022-07-29,6,8
2022-07-30,5,7
2022-07-31,6,8
2022-08-01,6,9
2022-08-02,9,12
2022-08-03,7,9
2022-08-04,7,8
2022-08-05,6,8
2022-08-06,6,6
2022-08-07,5,6
2022-08-08,6,6
2022-08-09,8,11
2022-08-10,6,9
2022-08-11,6,7
2022-08-12,6,9
2022-08-13,5,6
2022-08-14,5,6
2022-08-15,6,8
2022-08-16,5,8
2022-08-17,7,11
2022-08-18,6,10
2022-08-19,6,11
2022-08-20,5,7
2022-08-21,5,7
2022-08-22,7,8
2022-08-23,10,12
2022-08-24,6,8
2022-08-25,6,8
2022-08-26,6,7
2022-08-27,4,5
2022-08-28,5,6
2022-08-29,6,8
2022-08-30,5,9
2022-08-31,5,8
2022-09-01,6,9
2022-09-02,6,9
2022-09-03,5,6
2022-09-04,4,6
2022-09-05,5,6
2022-09-06,6,8
2022-09-07,6,8
2022-09-08,6,9
2022-09-09,7,8
2022-09-10,4,4
2022-09-11,4,5
2022-09-12,7,8
2022-09-13,7,9
2022-09-14,7,9
2022-09-15,8,9
2022-09-16,7,9
2022-09-17,4,5
2022-09-18,5,7
2022-09-19,7,9
2022-09-20,9,11
2022-09-21,8,10
2022-09-22,8,10
2022-09-23,8,10
2022-09-24,5,6
2022-09-25,6,7
2022-09-26,9,11
2022-09-27,8,10
2022-09-28,8,10
2022-09-29,8,9
2022-09-30,8,9
2022-10-01,4,6
2022-10-02,5,6
2022-10-03,10,11
2022-10-04,9,11
2022-10-05,9,12
2022-10-06,10,12
2022-10-07,10,11
2022-10-08,6,8
2022-10-09,7,9
2022-10-10,10,11
2022-10-11,19,14
2022-10-12,20,15
2022-10-13,15,16
2022-10-14,14,14
2022-10-15,10,10
2022-10-16,11,11
2022-10-17,16,16
2022-10-18,15,18
2022-10-19,16,18
2022-10-20,15,18
2022-10-21,14,17
2022-10-22,10,12
2022-10-23,11,13
2022-10-24,18,22
2022-10-25,19,21
2022-10-26,17,21
2022-10-27,17,21
2022-10-28,18,20
2022-10-29,12,14
2022-10-30,14,15
2022-10-31,19,21
2022-11-01,19,24
2022-11-02,21,25
2022-11-03,21,25
2022-11-04,21,25
2022-11-05,17,19
2022-11-06,18,23
2022-11-07,32,41
2022-11-08,77,100
