date,Donald Trump,Hillary Clinton
2016-06-01,14,7
2016-06-02,14,9
2016-06-03,15,10
2016-06-04,15,8
2016-06-05,15,8
2016-06-06,15,9
2016-06-07,18,21
2016-06-08,23,38
2016-06-09,18,22
2016-06-10,20,25
2016-06-11,17,18
2016-06-12,25,15
2016-06-13,24,11
2016-06-14,24,11
2016-06-15,22,10
2016-06-16,18,8
2016-06-17,16,7
2016-06-18,16,7
2016-06-19,15,7
2016-06-20,14,7
2016-06-21,18,8
2016-06-22,17,9
2016-06-23,15,7
2016-06-24,16,7
2016-06-25,15,7
2016-06-26,14,7
2016-06-27,12,8
2016-06-28,13,10
2016-06-29,13,8
2016-06-30,12,7
2016-07-01,12,8
2016-07-02,12,9
2016-07-03,13,12
2016-07-04,13,8
2016-07-05,15,24
2016-07-06,15,20
2016-07-07,15,15
2016-07-08,14,18
2016-07-09,12,11
2016-07-10,10,8
2016-07-11,11,7
2016-07-12,12,11
2016-07-13,14,10
2016-07-14,16,9
2016-07-15,20,11
2016-07-16,18,10
2016-07-17,16,10
2016-07-18,18,10
2016-07-19,55,16
2016-07-20,63,17
2016-07-21,47,17
2016-07-22,76,32
2016-07-23,30,33
2016-07-24,25,20
2016-07-25,22,20
2016-07-26,32,30
2016-07-27,35,43
2016-07-28,41,36
2016-07-29,46,78
2016-07-30,27,30
2016-07-31,27,21
2016-08-01,28,17
2016-08-02,31,15
2016-08-03,34,14
2016-08-04,29,13
2016-08-05,24,13
2016-08-06,20,11
2016-08-07,19,10
2016-08-08,19,13
2016-08-09,20,14
2016-08-10,23,15
2016-08-11,19,13
2016-08-12,18,11
2016-08-13,17,9
2016-08-14,17,9
2016-08-15,15,8
2016-08-16,15,9
2016-08-17,15,9
2016-08-18,17,9
2016-08-19,26,9
2016-08-20,21,9
2016-08-21,17,10
2016-08-22,16,15
2016-08-23,16,14
2016-08-24,15,12
2016-08-25,16,11
2016-08-26,15,12
2016-08-27,15,10
2016-08-28,15,10
2016-08-29,13,9
2016-08-30,13,10
2016-08-31,18,9
2016-09-01,23,10
2016-09-02,16,8
2016-09-03,14,8
2016-09-04,15,8
2016-09-05,14,10
2016-09-06,14,13
2016-09-07,15,11
2016-09-08,18,15
2016-09-09,14,12
2016-09-10,13,11
2016-09-11,18,52
2016-09-12,18,68
2016-09-13,15,46
2016-09-14,18,33
2016-09-15,18,23
2016-09-16,20,19
2016-09-17,19,15
2016-09-18,15,13
2016-09-19,14,13
2016-09-20,17,14
2016-09-21,16,14
2016-09-22,16,15
2016-09-23,15,16
2016-09-24,15,15
2016-09-25,15,13
2016-09-26,22,18
2016-09-27,83,93
2016-09-28,33,27
2016-09-29,28,20
2016-09-30,28,18
2016-10-01,26,16
2016-10-02,27,16
2016-10-03,26,17
2016-10-04,23,16
2016-10-05,33,18
2016-10-06,30,14
2016-10-07,29,13
2016-10-08,100,21
2016-10-09,78,23
2016-10-10,98,59
2016-10-11,54,29
2016-10-12,44,27
2016-10-13,47,25
2016-10-14,43,25
2016-10-15,37,21
2016-10-16,35,19
2016-10-17,31,18
2016-10-18,32,21
2016-10-19,31,21
2016-10-20,91,52
2016-10-21,39,29
2016-10-22,31,20
2016-10-23,29,19
2016-10-24,27,20
2016-10-25,28,20
2016-10-26,34,25
2016-10-27,30,22
2016-10-28,30,44
2016-10-29,28,49
2016-10-30,26,35
2016-10-31,27,34
2016-11-01,30,34
2016-11-02,32,36
2016-11-03,33,40
2016-11-04,32,37
2016-11-05,31,35
2016-11-06,55,39
2016-11-07,47,51
2016-11-08,81,82
