date,fever
2017-09-17,28
2017-09-24,28
2017-10-01,27
2017-10-08,28
2017-10-15,28
2017-10-22,30
2017-10-29,29
2017-11-05,30
2017-11-12,32
2017-11-19,31
2017-11-26,33
2017-12-03,34
2017-12-10,36
2017-12-17,41
2017-12-24,45
2017-12-31,44
2018-01-07,44
2018-01-14,43
2018-01-21,48
2018-01-28,50
2018-02-04,54
2018-02-11,48
2018-02-18,39
2018-02-25,36
2018-03-04,35
2018-03-11,33
2018-03-18,35
2018-03-25,33
2018-04-01,33
2018-04-08,31
2018-04-15,31
2018-04-22,31
2018-04-29,32
2018-05-06,32
2018-05-13,33
2018-05-20,32
2018-05-27,31
2018-06-03,30
2018-06-10,30
2018-06-17,30
2018-06-24,30
2018-07-01,28
2018-07-08,29
2018-07-15,28
2018-07-22,29
2018-07-29,27
2018-08-05,27
2018-08-12,28
2018-08-19,28
2018-08-26,28
2018-09-02,30
2018-09-09,28
2018-09-16,27
2018-09-23,30
2018-09-30,30
2018-10-07,30
2018-10-14,29
2018-10-21,30
2018-10-28,30
2018-11-04,29
2018-11-11,31
2018-11-18,29
2018-11-25,32
2018-12-02,31
2018-12-09,34
2018-12-16,37
2018-12-23,37
2018-12-30,37
2019-01-06,35
2019-01-13,35
2019-01-20,38
2019-01-27,38
2019-02-03,40
2019-02-10,43
2019-02-17,43
2019-02-24,41
2019-03-03,39
2019-03-10,39
2019-03-17,37
2019-03-24,37
2019-03-31,34
2019-04-07,34
2019-04-14,32
2019-04-21,31
2019-04-28,31
2019-05-05,31
2019-05-12,32
2019-05-19,31
2019-05-26,32
2019-06-02,32
2019-06-09,29
2019-06-16,30
2019-06-23,28
2019-06-30,28
2019-07-07,29
2019-07-14,30
2019-07-21,27
2019-07-28,27
2019-08-04,26
2019-08-11,26
2019-08-18,27
2019-08-25,27
2019-09-01,26
2019-09-08,27
2019-09-15,29
2019-09-22,29
2019-09-29,29
2019-10-06,29
2019-10-13,30
2019-10-20,30
2019-10-27,29
2019-11-03,32
2019-11-10,32
2019-11-17,34
2019-11-24,32
2019-12-01,34
2019-12-08,36
2019-12-15,41
2019-12-22,49
2019-12-29,45
2020-01-05,40
2020-01-12,41
2020-01-19,44
2020-01-26,47
2020-02-02,51
2020-02-09,46
2020-02-16,45
2020-02-23,45
2020-03-01,47
2020-03-08,69
2020-03-15,100
2020-03-22,86
2020-03-29,71
2020-04-05,59
2020-04-12,44
2020-04-19,39
2020-04-26,35
2020-05-03,33
2020-05-10,34
2020-05-17,31
2020-05-24,31
2020-05-31,28
2020-06-07,30
2020-06-14,33
2020-06-21,37
2020-06-28,40
2020-07-05,41
2020-07-12,41
2020-07-19,38
2020-07-26,36
2020-08-02,33
2020-08-09,32
2020-08-16,31
2020-08-23,29
2020-08-30,30
2020-09-06,29
2020-09-13,30
2020-09-20,29
2020-09-27,31
2020-10-04,35
2020-10-11,32
2020-10-18,34
2020-10-25,31
2020-11-01,28
2020-11-08,34
2020-11-15,37
2020-11-22,35
2020-11-29,33
2020-12-06,35
2020-12-13,36
2020-12-20,34
2020-12-27,37
2021-01-03,34
2021-01-10,32
2021-01-17,32
2021-01-24,29
2021-01-31,31
2021-02-07,31
2021-02-14,28
2021-02-21,29
2021-02-28,28
2021-03-07,29
2021-03-14,28
2021-03-21,29
2021-03-28,32
2021-04-04,34
2021-04-11,33
2021-04-18,33
2021-04-25,34
2021-05-02,33
2021-05-09,32
2021-05-16,30
2021-05-23,29
2021-05-30,29
2021-06-06,29
2021-06-13,29
2021-06-20,29
2021-06-27,29
2021-07-04,30
2021-07-11,31
2021-07-18,34
2021-07-25,35
2021-08-01,36
2021-08-08,38
2021-08-15,38
2021-08-22,41
2021-08-29,41
2021-09-05,40
2021-09-12,37
2021-09-19,34
2021-09-26,35
2021-10-03,34
2021-10-10,34
2021-10-17,34
2021-10-24,33
2021-10-31,34
2021-11-07,35
2021-11-14,36
2021-11-21,34
2021-11-28,38
2021-12-05,38
2021-12-12,42
2021-12-19,53
2021-12-26,72
2022-01-02,70
2022-01-09,61
2022-01-16,48
2022-01-23,39
2022-01-30,36
2022-02-06,34
2022-02-13,33
2022-02-20,30
2022-02-27,30
2022-03-06,30
2022-03-13,32
