date,fever,isPartial
2021-09-12,39,False
2021-09-19,36,False
2021-09-26,37,False
2021-10-03,36,False
2021-10-10,35,False
2021-10-17,36,False
2021-10-24,35,False
2021-10-31,35,False
2021-11-07,37,False
2021-11-14,38,False
2021-11-21,36,False
2021-11-28,40,False
2021-12-05,40,False
2021-12-12,44,False
2021-12-19,56,False
2021-12-26,76,False
2022-01-02,74,False
2022-01-09,64,False
2022-01-16,51,False
2022-01-23,41,False
2022-01-30,38,False
2022-02-06,35,False
2022-02-13,35,False
2022-02-20,31,False
2022-02-27,31,False
2022-03-06,32,False
2022-03-13,34,False
2022-03-20,35,False
2022-03-27,33,False
2022-04-03,36,False
2022-04-10,38,False
2022-04-17,36,False
2022-04-24,38,False
2022-05-01,39,False
2022-05-08,42,False
2022-05-15,41,False
2022-05-22,42,False
2022-05-29,43,False
2022-06-05,43,False
2022-06-12,40,False
2022-06-19,41,False
2022-06-26,40,False
2022-07-03,43,False
2022-07-10,40,False
2022-07-17,41,False
2022-07-24,41,False
2022-07-31,38,False
2022-08-07,40,False
2022-08-14,37,False
2022-08-21,38,False
2022-08-28,37,False
2022-09-04,36,False
2022-09-11,36,False
2022-09-18,36,False
2022-09-25,33,False
2022-10-02,38,False
2022-10-09,38,False
2022-10-16,41,False
2022-10-23,44,False
2022-10-30,49,False
2022-11-06,48,False
2022-11-13,49,False
2022-11-20,58,False
2022-11-27,54,False
2022-12-04,58,False
2022-12-11,56,False
2022-12-18,55,False
2022-12-25,50,False
2023-01-01,39,False
2023-01-08,36,False
2023-01-15,34,False
2023-01-22,35,False
2023-01-29,41,False
2023-02-05,40,False
2023-02-12,37,False
2023-02-19,38,False
2023-02-26,40,False
2023-03-05,37,False
2023-03-12,36,False
2023-03-19,38,False
2023-03-26,35,False
2023-04-02,35,False
2023-04-09,36,False
2023-04-16,36,False
2023-04-23,35,False
2023-04-30,34,False
2023-05-07,36,False
2023-05-14,35,False
2023-05-21,38,False
2023-05-28,35,False
2023-06-04,34,False
2023-06-11,34,False
2023-06-18,33,False
2023-06-25,32,False
2023-07-02,33,False
2023-07-09,32,False
2023-07-16,30,False
2023-07-23,30,False
2023-07-30,32,False
2023-08-06,32,False
2023-08-13,35,False
2023-08-20,35,False
2023-08-27,35,False
2023-09-03,34,False
2023-09-10,33,False
2023-09-17,36,False
2023-09-24,37,False
2023-10-01,33,False
2023-10-08,35,False
2023-10-15,36,False
2023-10-22,36,False
2023-10-29,35,False
2023-11-05,40,False
2023-11-12,39,False
2023-11-19,39,False
2023-11-26,41,False
2023-12-03,42,False
2023-12-10,49,False
2023-12-17,58,False
2023-12-24,57,False
2023-12-31,47,False
2024-01-07,43,False
2024-01-14,40,False
2024-01-21,44,False
2024-01-28,43,False
2024-02-04,44,False
2024-02-11,42,False
2024-02-18,43,False
2024-02-25,42,False
2024-03-03,41,False
2024-03-10,38,False
2024-03-17,37,False
2024-03-24,37,False
2024-03-31,35,False
2024-04-07,35,False
2024-04-14,48,False
2024-04-21,38,False
2024-04-28,50,False
2024-05-05,45,False
2024-05-12,75,False
2024-05-19,73,False
2024-05-26,78,False
2024-06-02,70,False
2024-06-09,64,False
2024-06-16,81,False
2024-06-23,74,False
2024-06-30,83,False
2024-07-07,68,False
2024-07-14,64,False
2024-07-21,36,False
2024-07-28,34,False
2024-08-04,33,False
2024-08-11,48,False
2024-08-18,61,False
2024-08-25,89,False
2024-09-01,83,False
2024-09-08,77,False
2024-09-15,68,False
2024-09-22,74,False
2024-09-29,36,False
2024-10-06,34,False
2024-10-13,33,False
2024-10-20,35,False
2024-10-27,42,False
2024-11-03,34,False
2024-11-10,34,False
2024-11-17,38,False
2024-11-24,38,False
2024-12-01,39,False
2024-12-08,43,False
2024-12-15,49,False
2024-12-22,56,False
2024-12-29,53,False
2025-01-05,45,False
2025-01-12,50,False
2025-01-19,53,False
2025-01-26,62,False
2025-02-02,61,False
2025-02-09,54,False
2025-02-16,48,False
2025-02-23,46,False
2025-03-02,42,False
2025-03-09,42,False
2025-03-16,39,False
2025-03-23,39,False
2025-03-30,36,False
2025-04-06,36,False
2025-04-13,38,False
2025-04-20,37,False
2025-04-27,42,False
2025-05-04,49,False
2025-05-11,48,False
2025-05-18,85,False
2025-05-25,57,False
2025-06-01,48,False
2025-06-08,63,False
2025-06-15,73,False
2025-06-22,79,False
2025-06-29,67,False
2025-07-06,65,False
2025-07-13,68,False
2025-07-20,55,False
2025-07-27,64,False
2025-08-03,63,False
2025-08-10,59,False
2025-08-17,53,False
2025-08-24,58,False
2025-08-31,51,False
2025-09-07,42,False
2025-09-14,53,False
2025-09-21,62,False
2025-09-28,60,False
2025-10-05,36,False
2025-10-12,31,False
2025-10-19,34,False
2025-10-26,32,False
2025-11-02,35,False
2025-11-09,38,False
2025-11-16,40,False
2025-11-23,36,False
2025-11-30,39,False
2025-12-07,41,False
2025-12-14,51,False
2025-12-21,63,False
2025-12-28,55,False
2026-01-04,48,False
2026-01-11,44,False
2026-01-18,47,False
2026-01-25,47,False
2026-02-01,50,False
2026-02-08,50,False
2026-02-15,49,False
2026-02-22,46,False
2026-03-01,47,False
2026-03-08,45,False
2026-03-15,47,False
2026-03-22,44,False
2026-03-29,45,False
2026-04-05,48,False
2026-04-12,50,False
2026-04-19,51,False
2026-04-26,56,False
2026-05-03,62,False
2026-05-10,77,False
2026-05-17,79,False
2026-05-24,69,False
2026-05-31,80,False
2026-06-07,94,False
2026-06-14,92,False
2026-06-21,78,False
2026-06-28,54,False
2026-07-05,73,False
2026-07-12,85,False
2026-07-19,56,False
2026-07-26,61,False
2026-08-02,82,False
2026-08-09,81,False
2026-08-16,100,False
2026-08-23,82,False
2026-08-30,43,False
2026-09-06,40,False
2026-09-13,42,True
