date,flu a,isPartial
2021-09-12,13,False
2021-09-19,15,False
2021-09-26,18,False
2021-10-03,19,False
2021-10-10,18,False
2021-10-17,17,False
2021-10-24,15,False
2021-10-31,14,False
2021-11-07,14,False
2021-11-14,17,False
2021-11-21,13,False
2021-11-28,16,False
2021-12-05,15,False
2021-12-12,18,False
2021-12-19,22,False
2021-12-26,26,False
2022-01-02,23,False
2022-01-09,16,False
2022-01-16,12,False
2022-01-23,10,False
2022-01-30,9,False
2022-02-06,8,False
2022-02-13,9,False
2022-02-20,8,False
2022-02-27,9,False
2022-03-06,9,False
2022-03-13,10,False
2022-03-20,10,False
2022-03-27,11,False
2022-04-03,12,False
2022-04-10,11,False
2022-04-17,12,False
2022-04-24,11,False
2022-05-01,10,False
2022-05-08,10,False
2022-05-15,10,False
2022-05-22,9,False
2022-05-29,8,False
2022-06-05,7,False
2022-06-12,7,False
2022-06-19,6,False
2022-06-26,6,False
2022-07-03,6,False
2022-07-10,5,False
2022-07-17,5,False
2022-07-24,5,False
2022-07-31,5,False
2022-08-07,5,False
2022-08-14,5,False
2022-08-21,7,False
2022-08-28,8,False
2022-09-04,10,False
2022-09-11,12,False
2022-09-18,14,False
2022-09-25,16,False
2022-10-02,21,False
2022-10-09,24,False
2022-10-16,26,False
2022-10-23,33,False
2022-10-30,36,False
2022-11-06,34,False
2022-11-13,34,False
2022-11-20,40,False
2022-11-27,42,False
2022-12-04,42,False
2022-12-11,42,False
2022-12-18,37,False
2022-12-25,28,False
2023-01-01,19,False
2023-01-08,14,False
2023-01-15,11,False
2023-01-22,10,False
2023-01-29,11,False
2023-02-05,10,False
2023-02-12,9,False
2023-02-19,9,False
2023-02-26,9,False
2023-03-05,8,False
2023-03-12,8,False
2023-03-19,9,False
2023-03-26,8,False
2023-04-02,7,False
2023-04-09,7,False
2023-04-16,7,False
2023-04-23,7,False
2023-04-30,6,False
2023-05-07,6,False
2023-05-14,6,False
2023-05-21,6,False
2023-05-28,5,False
2023-06-04,4,False
2023-06-11,4,False
2023-06-18,4,False
2023-06-25,4,False
2023-07-02,4,False
2023-07-09,4,False
2023-07-16,4,False
2023-07-23,4,False
2023-07-30,5,False
2023-08-06,5,False
2023-08-13,6,False
2023-08-20,7,False
2023-08-27,8,False
2023-09-03,10,False
2023-09-10,12,False
2023-09-17,15,False
2023-09-24,16,False
2023-10-01,17,False
2023-10-08,17,False
2023-10-15,16,False
2023-10-22,16,False
2023-10-29,17,False
