date,flu shot
2017-09-17,29
2017-09-24,39
2017-10-01,45
2017-10-08,46
2017-10-15,46
2017-10-22,42
2017-10-29,35
2017-11-05,30
2017-11-12,27
2017-11-19,17
2017-11-26,20
2017-12-03,23
2017-12-10,19
2017-12-17,16
2017-12-24,15
2017-12-31,19
2018-01-07,32
2018-01-14,44
2018-01-21,48
2018-01-28,53
2018-02-04,32
2018-02-11,26
2018-02-18,12
2018-02-25,8
2018-03-04,5
2018-03-11,4
2018-03-18,3
2018-03-25,3
2018-04-01,3
2018-04-08,3
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,1
2018-05-20,1
2018-05-27,1
2018-06-03,1
2018-06-10,1
2018-06-17,1
2018-06-24,2
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,2
2018-07-29,2
2018-08-05,3
2018-08-12,4
2018-08-19,7
2018-08-26,9
2018-09-02,15
2018-09-09,26
2018-09-16,33
2018-09-23,48
2018-09-30,65
2018-10-07,72
2018-10-14,81
2018-10-21,70
2018-10-28,56
2018-11-04,40
2018-11-11,35
2018-11-18,24
2018-11-25,24
2018-12-02,20
2018-12-09,17
2018-12-16,15
2018-12-23,14
2018-12-30,16
2019-01-06,19
2019-01-13,12
2019-01-20,11
2019-01-27,12
2019-02-03,11
2019-02-10,10
2019-02-17,10
2019-02-24,9
2019-03-03,8
2019-03-10,7
2019-03-17,6
2019-03-24,5
2019-03-31,4
2019-04-07,3
2019-04-14,3
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,2
2019-06-23,1
2019-06-30,1
2019-07-07,2
2019-07-14,2
2019-07-21,2
2019-07-28,2
2019-08-04,3
2019-08-11,4
2019-08-18,7
2019-08-25,9
2019-09-01,13
2019-09-08,22
2019-09-15,34
2019-09-22,51
2019-09-29,67
2019-10-06,81
2019-10-13,78
2019-10-20,69
2019-10-27,53
2019-11-03,47
2019-11-10,40
2019-11-17,35
2019-11-24,24
2019-12-01,23
2019-12-08,26
2019-12-15,24
2019-12-22,20
2019-12-29,22
2020-01-05,25
2020-01-12,23
2020-01-19,21
2020-01-26,23
2020-02-02,19
2020-02-09,15
2020-02-16,13
2020-02-23,20
2020-03-01,23
2020-03-08,22
2020-03-15,13
2020-03-22,10
2020-03-29,7
2020-04-05,6
2020-04-12,5
2020-04-19,8
2020-04-26,5
2020-05-03,6
2020-05-10,6
2020-05-17,5
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,3
2020-06-21,3
2020-06-28,4
2020-07-05,3
2020-07-12,4
2020-07-19,4
2020-07-26,6
2020-08-02,7
2020-08-09,11
2020-08-16,25
2020-08-23,25
2020-08-30,38
2020-09-06,53
2020-09-13,69
2020-09-20,76
2020-09-27,91
2020-10-04,100
2020-10-11,95
2020-10-18,84
2020-10-25,71
2020-11-01,40
2020-11-08,46
2020-11-15,43
2020-11-22,25
2020-11-29,25
2020-12-06,23
2020-12-13,19
2020-12-20,13
2020-12-27,12
2021-01-03,12
2021-01-10,12
2021-01-17,10
2021-01-24,10
2021-01-31,9
2021-02-07,7
2021-02-14,6
2021-02-21,7
2021-02-28,7
2021-03-07,7
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,7
2021-04-18,5
2021-04-25,4
2021-05-02,4
2021-05-09,4
2021-05-16,4
2021-05-23,3
2021-05-30,3
2021-06-06,3
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,3
2021-07-18,4
2021-07-25,5
2021-08-01,7
2021-08-08,9
2021-08-15,13
2021-08-22,15
2021-08-29,19
2021-09-05,30
2021-09-12,39
2021-09-19,52
2021-09-26,67
2021-10-03,75
2021-10-10,75
2021-10-17,65
2021-10-24,64
2021-10-31,52
2021-11-07,47
2021-11-14,46
2021-11-21,30
2021-11-28,35
2021-12-05,27
2021-12-12,24
2021-12-19,21
2021-12-26,19
2022-01-02,19
2022-01-09,13
2022-01-16,9
2022-01-23,7
2022-01-30,6
2022-02-06,5
2022-02-13,4
2022-02-20,4
2022-02-27,4
2022-03-06,3
2022-03-13,3
