date,flu symptoms
2017-01-01,15
2017-01-08,14
2017-01-15,15
2017-01-22,15
2017-01-29,18
2017-02-05,23
2017-02-12,24
2017-02-19,21
2017-02-26,15
2017-03-05,13
2017-03-12,11
2017-03-19,12
2017-03-26,9
2017-04-02,8
2017-04-09,7
2017-04-16,6
2017-04-23,5
2017-04-30,5
2017-05-07,5
2017-05-14,4
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,4
2017-06-18,3
2017-06-25,3
2017-07-02,3
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,4
2017-09-03,5
2017-09-10,5
2017-09-17,6
2017-09-24,7
2017-10-01,7
2017-10-08,8
2017-10-15,8
2017-10-22,8
2017-10-29,8
2017-11-05,8
2017-11-12,10
2017-11-19,9
2017-11-26,11
2017-12-03,13
2017-12-10,16
2017-12-17,27
2017-12-24,35
2017-12-31,39
2018-01-07,61
2018-01-14,81
2018-01-21,96
2018-01-28,100
2018-02-04,87
2018-02-11,69
2018-02-18,47
2018-02-25,28
2018-03-04,20
2018-03-11,16
2018-03-18,13
2018-03-25,13
2018-04-01,10
2018-04-08,8
2018-04-15,7
2018-04-22,6
2018-04-29,6
2018-05-06,5
2018-05-13,5
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,3
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,3
2018-08-19,4
2018-08-26,4
2018-09-02,5
2018-09-09,6
2018-09-16,7
2018-09-23,8
2018-09-30,8
2018-10-07,9
2018-10-14,11
2018-10-21,12
2018-10-28,10
2018-11-04,10
2018-11-11,12
2018-11-18,10
2018-11-25,13
2018-12-02,11
2018-12-09,12
2018-12-16,15
2018-12-23,20
2018-12-30,23
2019-01-06,21
2019-01-13,19
2019-01-20,21
2019-01-27,24
2019-02-03,29
2019-02-10,29
2019-02-17,28
2019-02-24,24
2019-03-03,22
2019-03-10,20
2019-03-17,17
2019-03-24,15
2019-03-31,12
2019-04-07,9
2019-04-14,7
2019-04-21,7
2019-04-28,7
2019-05-05,6
2019-05-12,5
2019-05-19,5
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,3
2019-06-23,4
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,4
2019-08-25,4
2019-09-01,5
2019-09-08,6
2019-09-15,6
2019-09-22,8
2019-09-29,8
2019-10-06,9
2019-10-13,10
2019-10-20,11
2019-10-27,11
2019-11-03,13
2019-11-10,13
2019-11-17,16
2019-11-24,14
2019-12-01,17
2019-12-08,19
2019-12-15,25
2019-12-22,35
2019-12-29,33
2020-01-05,31
2020-01-12,31
2020-01-19,34
2020-01-26,40
2020-02-02,40
2020-02-09,37
2020-02-16,32
2020-02-23,33
2020-03-01,39
2020-03-08,61
2020-03-15,46
2020-03-22,27
2020-03-29,14
2020-04-05,10
2020-04-12,6
2020-04-19,5
2020-04-26,5
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,4
2020-06-21,4
2020-06-28,5
2020-07-05,4
2020-07-12,4
2020-07-19,4
2020-07-26,3
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,4
2020-09-06,4
2020-09-13,5
2020-09-20,5
2020-09-27,6
2020-10-04,7
2020-10-11,6
2020-10-18,7
2020-10-25,7
2020-11-01,6
2020-11-08,7
2020-11-15,8
2020-11-22,7
2020-11-29,7
2020-12-06,7
2020-12-13,7
2020-12-20,7
2020-12-27,7
2021-01-03,7
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,4
2021-03-07,4
2021-03-14,4
2021-03-21,4
2021-03-28,4
2021-04-04,4
2021-04-11,4
2021-04-18,4
2021-04-25,4
2021-05-02,3
2021-05-09,4
2021-05-16,3
2021-05-23,3
2021-05-30,5
2021-06-06,3
2021-06-13,3
2021-06-20,3
2021-06-27,3
2021-07-04,3
2021-07-11,4
2021-07-18,4
2021-07-25,4
2021-08-01,5
2021-08-08,5
2021-08-15,5
2021-08-22,5
2021-08-29,5
2021-09-05,5
2021-09-12,6
2021-09-19,6
2021-09-26,6
2021-10-03,7
2021-10-10,6
2021-10-17,7
2021-10-24,7
2021-10-31,8
2021-11-07,8
2021-11-14,9
2021-11-21,9
2021-11-28,11
2021-12-05,10
2021-12-12,14
2021-12-19,18
2021-12-26,26
