date,flu symptoms,isPartial
2021-09-12,12,False
2021-09-19,12,False
2021-09-26,14,False
2021-10-03,15,False
2021-10-10,14,False
2021-10-17,15,False
2021-10-24,15,False
2021-10-31,18,False
2021-11-07,18,False
2021-11-14,19,False
2021-11-21,19,False
2021-11-28,24,False
2021-12-05,21,False
2021-12-12,32,False
2021-12-19,40,False
2021-12-26,56,False
2022-01-02,53,False
2022-01-09,38,False
2022-01-16,22,False
2022-01-23,17,False
2022-01-30,14,False
2022-02-06,14,False
2022-02-13,13,False
2022-02-20,14,False
2022-02-27,14,False
2022-03-06,15,False
2022-03-13,16,False
2022-03-20,17,False
2022-03-27,17,False
2022-04-03,21,False
2022-04-10,17,False
2022-04-17,18,False
2022-04-24,17,False
2022-05-01,16,False
2022-05-08,17,False
2022-05-15,15,False
2022-05-22,15,False
2022-05-29,15,False
2022-06-05,13,False
2022-06-12,12,False
2022-06-19,11,False
2022-06-26,10,False
2022-07-03,11,False
2022-07-10,10,False
2022-07-17,10,False
2022-07-24,9,False
2022-07-31,9,False
2022-08-07,9,False
2022-08-14,9,False
2022-08-21,12,False
2022-08-28,10,False
2022-09-04,11,False
2022-09-11,13,False
2022-09-18,14,False
2022-09-25,15,False
2022-10-02,17,False
2022-10-09,23,False
2022-10-16,29,False
2022-10-23,43,False
2022-10-30,56,False
2022-11-06,54,False
2022-11-13,56,False
2022-11-20,72,False
2022-11-27,80,False
2022-12-04,75,False
2022-12-11,78,False
2022-12-18,65,False
2022-12-25,57,False
2023-01-01,37,False
2023-01-08,26,False
2023-01-15,22,False
2023-01-22,19,False
2023-01-29,18,False
2023-02-05,18,False
2023-02-12,17,False
2023-02-19,17,False
2023-02-26,15,False
2023-03-05,15,False
2023-03-12,13,False
2023-03-19,13,False
2023-03-26,13,False
2023-04-02,12,False
2023-04-09,12,False
2023-04-16,11,False
2023-04-23,11,False
2023-04-30,10,False
2023-05-07,10,False
2023-05-14,10,False
2023-05-21,10,False
2023-05-28,9,False
2023-06-04,8,False
2023-06-11,8,False
2023-06-18,8,False
2023-06-25,8,False
2023-07-02,7,False
2023-07-09,7,False
2023-07-16,6,False
2023-07-23,7,False
2023-07-30,7,False
2023-08-06,8,False
2023-08-13,8,False
2023-08-20,10,False
2023-08-27,10,False
2023-09-03,12,False
2023-09-10,13,False
2023-09-17,14,False
2023-09-24,15,False
2023-10-01,15,False
2023-10-08,15,False
2023-10-15,17,False
2023-10-22,18,False
2023-10-29,19,False
2023-11-05,22,False
2023-11-12,25,False
2023-11-19,25,False
2023-11-26,31,False
2023-12-03,33,False
2023-12-10,42,False
2023-12-17,55,False
2023-12-24,57,False
2023-12-31,51,False
2024-01-07,37,False
2024-01-14,31,False
2024-01-21,33,False
2024-01-28,31,False
2024-02-04,33,False
2024-02-11,32,False
2024-02-18,31,False
2024-02-25,28,False
2024-03-03,22,False
2024-03-10,19,False
2024-03-17,17,False
2024-03-24,16,False
2024-03-31,17,False
2024-04-07,15,False
2024-04-14,13,False
2024-04-21,15,False
2024-04-28,13,False
2024-05-05,12,False
2024-05-12,12,False
2024-05-19,11,False
2024-05-26,11,False
2024-06-02,11,False
2024-06-09,10,False
2024-06-16,10,False
2024-06-23,9,False
2024-06-30,9,False
2024-07-07,9,False
2024-07-14,9,False
2024-07-21,9,False
2024-07-28,9,False
2024-08-04,9,False
2024-08-11,9,False
2024-08-18,11,False
2024-08-25,11,False
2024-09-01,12,False
2024-09-08,12,False
2024-09-15,13,False
2024-09-22,14,False
2024-09-29,14,False
2024-10-06,15,False
2024-10-13,16,False
2024-10-20,16,False
2024-10-27,15,False
2024-11-03,15,False
2024-11-10,16,False
2024-11-17,18,False
2024-11-24,20,False
2024-12-01,21,False
2024-12-08,24,False
2024-12-15,52,False
2024-12-22,64,False
2024-12-29,68,False
2025-01-05,53,False
2025-01-12,51,False
2025-01-19,61,False
2025-01-26,93,False
2025-02-02,98,False
2025-02-09,86,False
2025-02-16,66,False
2025-02-23,50,False
2025-03-02,39,False
2025-03-09,34,False
2025-03-16,26,False
2025-03-23,20,False
2025-03-30,16,False
2025-04-06,15,False
2025-04-13,14,False
2025-04-20,14,False
2025-04-27,13,False
2025-05-04,16,False
2025-05-11,10,False
2025-05-18,10,False
2025-05-25,10,False
2025-06-01,9,False
2025-06-08,8,False
2025-06-15,7,False
2025-06-22,7,False
2025-06-29,7,False
2025-07-06,7,False
2025-07-13,7,False
2025-07-20,7,False
2025-07-27,7,False
2025-08-03,7,False
2025-08-10,7,False
2025-08-17,9,False
2025-08-24,10,False
2025-08-31,11,False
2025-09-07,11,False
2025-09-14,11,False
2025-09-21,12,False
2025-09-28,13,False
2025-10-05,12,False
2025-10-12,14,False
2025-10-19,14,False
2025-10-26,13,False
2025-11-02,14,False
2025-11-09,17,False
2025-11-16,18,False
2025-11-23,19,False
2025-11-30,25,False
2025-12-07,33,False
2025-12-14,54,False
2025-12-21,97,False
2025-12-28,100,False
2026-01-04,81,False
2026-01-11,54,False
2026-01-18,47,False
