date,flu
2017-09-17,9
2017-09-24,11
2017-10-01,12
2017-10-08,13
2017-10-15,12
2017-10-22,12
2017-10-29,12
2017-11-05,11
2017-11-12,11
2017-11-19,9
2017-11-26,12
2017-12-03,13
2017-12-10,15
2017-12-17,21
2017-12-24,26
2017-12-31,30
2018-01-07,45
2018-01-14,57
2018-01-21,64
2018-01-28,69
2018-02-04,60
2018-02-11,50
2018-02-18,30
2018-02-25,21
2018-03-04,15
2018-03-11,12
2018-03-18,11
2018-03-25,11
2018-04-01,9
2018-04-08,7
2018-04-15,6
2018-04-22,6
2018-04-29,5
2018-05-06,5
2018-05-13,4
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,4
2018-08-19,4
2018-08-26,5
2018-09-02,7
2018-09-09,9
2018-09-16,10
2018-09-23,14
2018-09-30,17
2018-10-07,18
2018-10-14,20
2018-10-21,18
2018-10-28,16
2018-11-04,13
2018-11-11,13
2018-11-18,10
2018-11-25,12
2018-12-02,11
2018-12-09,12
2018-12-16,14
2018-12-23,17
2018-12-30,19
2019-01-06,18
2019-01-13,16
2019-01-20,16
2019-01-27,18
2019-02-03,21
2019-02-10,20
2019-02-17,20
2019-02-24,18
2019-03-03,17
2019-03-10,16
2019-03-17,14
2019-03-24,12
2019-03-31,10
2019-04-07,8
2019-04-14,7
2019-04-21,6
2019-04-28,6
2019-05-05,5
2019-05-12,4
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,4
2019-08-25,5
2019-09-01,6
2019-09-08,8
2019-09-15,11
2019-09-22,14
2019-09-29,17
2019-10-06,20
2019-10-13,18
2019-10-20,18
2019-10-27,15
2019-11-03,16
2019-11-10,15
2019-11-17,15
2019-11-24,13
2019-12-01,15
2019-12-08,17
2019-12-15,21
2019-12-22,26
2019-12-29,27
2020-01-05,26
2020-01-12,27
2020-01-19,31
2020-01-26,42
2020-02-02,40
2020-02-09,36
2020-02-16,28
2020-02-23,48
2020-03-01,57
2020-03-08,100
2020-03-15,88
2020-03-22,67
2020-03-29,54
2020-04-05,39
2020-04-12,29
2020-04-19,28
2020-04-26,23
2020-05-03,18
2020-05-10,18
2020-05-17,15
2020-05-24,15
2020-05-31,6
2020-06-07,7
2020-06-14,8
2020-06-21,12
2020-06-28,18
2020-07-05,12
2020-07-12,15
2020-07-19,14
2020-07-26,12
2020-08-02,12
2020-08-09,13
2020-08-16,13
2020-08-23,12
2020-08-30,14
2020-09-06,16
2020-09-13,18
2020-09-20,23
2020-09-27,22
2020-10-04,30
2020-10-11,23
2020-10-18,22
2020-10-25,21
2020-11-01,13
2020-11-08,18
2020-11-15,19
2020-11-22,14
2020-11-29,15
2020-12-06,16
2020-12-13,15
2020-12-20,12
2020-12-27,14
2021-01-03,11
2021-01-10,10
2021-01-17,10
2021-01-24,9
2021-01-31,7
2021-02-07,7
2021-02-14,6
2021-02-21,9
2021-02-28,7
2021-03-07,7
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,7
2021-04-18,6
2021-04-25,6
2021-05-02,5
2021-05-09,5
2021-05-16,5
2021-05-23,4
2021-05-30,10
2021-06-06,4
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,4
2021-07-11,4
2021-07-18,5
2021-07-25,7
2021-08-01,8
2021-08-08,9
2021-08-15,9
2021-08-22,10
2021-08-29,10
2021-09-05,12
2021-09-12,13
2021-09-19,16
2021-09-26,18
2021-10-03,19
2021-10-10,18
2021-10-17,16
2021-10-24,15
2021-10-31,15
2021-11-07,14
2021-11-14,15
2021-11-21,13
2021-11-28,15
2021-12-05,13
2021-12-12,15
2021-12-19,18
2021-12-26,23
2022-01-02,21
2022-01-09,15
2022-01-16,10
2022-01-23,9
2022-01-30,7
2022-02-06,7
2022-02-13,7
2022-02-20,7
2022-02-27,7
2022-03-06,7
2022-03-13,8
