date,high fever,isPartial
2021-09-12,43,False
2021-09-19,42,False
2021-09-26,42,False
2021-10-03,39,False
2021-10-10,39,False
2021-10-17,37,False
2021-10-24,39,False
2021-10-31,41,False
2021-11-07,45,False
2021-11-14,43,False
2021-11-21,44,False
2021-11-28,47,False
2021-12-05,51,False
2021-12-12,52,False
2021-12-19,72,False
2021-12-26,100,False
2022-01-02,96,False
2022-01-09,88,False
2022-01-16,70,False
2022-01-23,54,False
2022-01-30,47,False
2022-02-06,43,False
2022-02-13,39,False
2022-02-20,36,False
2022-02-27,38,False
2022-03-06,37,False
2022-03-13,43,False
2022-03-20,39,False
2022-03-27,40,False
2022-04-03,43,False
2022-04-10,45,False
2022-04-17,45,False
2022-04-24,47,False
2022-05-01,51,False
2022-05-08,53,False
2022-05-15,55,False
2022-05-22,57,False
2022-05-29,54,False
2022-06-05,55,False
2022-06-12,49,False
2022-06-19,54,False
2022-06-26,54,False
2022-07-03,54,False
2022-07-10,52,False
2022-07-17,57,False
2022-07-24,50,False
2022-07-31,47,False
2022-08-07,50,False
2022-08-14,44,False
2022-08-21,47,False
2022-08-28,45,False
2022-09-04,48,False
2022-09-11,44,False
2022-09-18,46,False
2022-09-25,45,False
2022-10-02,46,False
2022-10-09,52,False
2022-10-16,53,False
2022-10-23,65,False
2022-10-30,70,False
2022-11-06,74,False
2022-11-13,85,False
2022-11-20,90,False
2022-11-27,76,False
2022-12-04,90,False
2022-12-11,79,False
2022-12-18,77,False
2022-12-25,64,False
2023-01-01,48,False
2023-01-08,44,False
2023-01-15,45,False
2023-01-22,43,False
2023-01-29,45,False
2023-02-05,49,False
2023-02-12,46,False
2023-02-19,48,False
2023-02-26,47,False
2023-03-05,47,False
2023-03-12,44,False
2023-03-19,45,False
2023-03-26,45,False
2023-04-02,41,False
2023-04-09,44,False
2023-04-16,41,False
2023-04-23,44,False
2023-04-30,41,False
2023-05-07,42,False
2023-05-14,42,False
2023-05-21,43,False
2023-05-28,40,False
2023-06-04,37,False
2023-06-11,39,False
2023-06-18,36,False
2023-06-25,36,False
2023-07-02,36,False
2023-07-09,35,False
2023-07-16,35,False
2023-07-23,34,False
2023-07-30,34,False
2023-08-06,35,False
2023-08-13,37,False
2023-08-20,39,False
2023-08-27,38,False
2023-09-03,38,False
2023-09-10,40,False
2023-09-17,43,False
2023-09-24,41,False
2023-10-01,41,False
2023-10-08,42,False
2023-10-15,41,False
2023-10-22,45,False
2023-10-29,43,False
2023-11-05,47,False
2023-11-12,49,False
2023-11-19,47,False
2023-11-26,52,False
2023-12-03,55,False
2023-12-10,68,False
2023-12-17,78,False
2023-12-24,76,False
2023-12-31,60,False
2024-01-07,54,False
2024-01-14,51,False
2024-01-21,55,False
2024-01-28,58,False
2024-02-04,58,False
2024-02-11,55,False
2024-02-18,56,False
2024-02-25,55,False
2024-03-03,48,False
2024-03-10,46,False
2024-03-17,42,False
2024-03-24,43,False
2024-03-31,41,False
2024-04-07,40,False
2024-04-14,44,False
2024-04-21,37,False
2024-04-28,42,False
2024-05-05,36,False
2024-05-12,40,False
2024-05-19,45,False
2024-05-26,43,False
2024-06-02,41,False
2024-06-09,38,False
2024-06-16,40,False
2024-06-23,38,False
2024-06-30,37,False
2024-07-07,37,False
2024-07-14,35,False
2024-07-21,38,False
2024-07-28,37,False
2024-08-04,33,False
