date,Hillary Clinton for president,Donald Trump for president
2016-06-01,5,7
2016-06-02,4,6
2016-06-03,5,7
2016-06-04,5,8
2016-06-05,5,3
2016-06-06,5,8
2016-06-07,13,11
2016-06-08,23,16
2016-06-09,15,10
2016-06-10,13,9
2016-06-11,9,10
2016-06-12,6,7
2016-06-13,5,7
2016-06-14,6,12
2016-06-15,5,9
2016-06-16,5,8
2016-06-17,3,6
2016-06-18,5,7
2016-06-19,3,7
2016-06-20,4,5
2016-06-21,5,10
2016-06-22,5,10
2016-06-23,5,6
2016-06-24,4,6
2016-06-25,3,5
2016-06-26,4,6
2016-06-27,5,6
2016-06-28,6,7
2016-06-29,4,6
2016-06-30,3,5
2016-07-01,7,4
2016-07-02,4,5
2016-07-03,6,4
2016-07-04,0,6
2016-07-05,7,7
2016-07-06,8,8
2016-07-07,7,7
2016-07-08,62,9
2016-07-09,21,8
2016-07-10,7,5
2016-07-11,6,5
2016-07-12,9,7
2016-07-13,7,10
2016-07-14,5,14
2016-07-15,8,15
2016-07-16,9,17
2016-07-17,6,8
2016-07-18,8,8
2016-07-19,11,23
2016-07-20,15,28
2016-07-21,13,26
2016-07-22,25,37
2016-07-23,26,16
2016-07-24,14,16
2016-07-25,13,13
2016-07-26,29,16
2016-07-27,25,18
2016-07-28,28,22
2016-07-29,37,23
2016-07-30,14,13
2016-07-31,12,14
2016-08-01,9,9
2016-08-02,10,12
2016-08-03,8,13
2016-08-04,4,10
2016-08-05,6,8
2016-08-06,4,8
2016-08-07,5,10
2016-08-08,3,7
2016-08-09,5,6
2016-08-10,5,6
2016-08-11,5,8
2016-08-12,3,6
2016-08-13,4,8
2016-08-14,5,4
2016-08-15,3,3
2016-08-16,4,4
2016-08-17,5,4
2016-08-18,3,5
2016-08-19,4,5
2016-08-20,4,7
2016-08-21,4,5
2016-08-22,3,5
2016-08-23,0,3
2016-08-24,0,3
2016-08-25,2,5
2016-08-26,5,7
2016-08-27,0,4
2016-08-28,3,5
2016-08-29,4,6
2016-08-30,5,6
2016-08-31,5,8
2016-09-01,4,9
2016-09-02,4,6
2016-09-03,3,4
2016-09-04,4,5
2016-09-05,3,3
2016-09-06,6,8
2016-09-07,5,9
2016-09-08,6,8
2016-09-09,6,6
2016-09-10,5,5
2016-09-11,8,5
2016-09-12,11,8
2016-09-13,9,8
2016-09-14,9,8
2016-09-15,7,6
2016-09-16,6,6
2016-09-17,3,5
2016-09-18,4,5
2016-09-19,5,6
2016-09-20,6,7
2016-09-21,6,8
2016-09-22,7,8
2016-09-23,6,7
2016-09-24,8,6
2016-09-25,8,8
2016-09-26,9,15
2016-09-27,36,36
2016-09-28,11,11
2016-09-29,11,13
2016-09-30,7,12
2016-10-01,7,8
2016-10-02,8,10
2016-10-03,8,11
2016-10-04,11,12
2016-10-05,10,13
2016-10-06,9,9
2016-10-07,5,9
2016-10-08,8,25
2016-10-09,9,19
2016-10-10,22,31
2016-10-11,15,22
2016-10-12,12,19
2016-10-13,13,23
2016-10-14,14,21
2016-10-15,9,13
2016-10-16,10,13
2016-10-17,9,16
2016-10-18,12,14
2016-10-19,12,12
2016-10-20,25,32
2016-10-21,13,16
2016-10-22,9,11
2016-10-23,12,11
2016-10-24,15,12
2016-10-25,13,14
2016-10-26,15,16
2016-10-27,15,16
2016-10-28,20,16
2016-10-29,15,13
2016-10-30,18,13
2016-10-31,17,15
2016-11-01,25,20
2016-11-02,26,22
2016-11-03,24,22
2016-11-04,24,22
2016-11-05,20,17
2016-11-06,24,24
2016-11-07,44,45
2016-11-08,100,86
