date,Hillary Clinton policies,Donald Trump policies
2016-06-01,0,0
2016-06-02,0,10
2016-06-03,0,0
2016-06-04,0,0
2016-06-05,0,0
2016-06-06,0,0
2016-06-07,13,8
2016-06-08,16,9
2016-06-09,10,9
2016-06-10,12,9
2016-06-11,0,0
2016-06-12,0,12
2016-06-13,0,8
2016-06-14,8,0
2016-06-15,0,0
2016-06-16,7,0
2016-06-17,0,0
2016-06-18,0,0
2016-06-19,0,0
2016-06-20,0,0
2016-06-21,0,0
2016-06-22,0,0
2016-06-23,0,0
2016-06-24,0,0
2016-06-25,0,0
2016-06-26,0,0
2016-06-27,0,0
2016-06-28,0,0
2016-06-29,10,0
2016-06-30,0,0
2016-07-01,0,0
2016-07-02,0,0
2016-07-03,0,0
2016-07-04,0,0
2016-07-05,0,0
2016-07-06,0,8
2016-07-07,0,0
2016-07-08,0,0
2016-07-09,0,0
2016-07-10,0,0
2016-07-11,0,0
2016-07-12,10,0
2016-07-13,0,0
2016-07-14,0,0
2016-07-15,0,0
2016-07-16,0,0
2016-07-17,0,0
2016-07-18,0,0
2016-07-19,0,0
2016-07-20,0,15
2016-07-21,9,12
2016-07-22,17,21
2016-07-23,0,10
2016-07-24,0,0
2016-07-25,9,9
2016-07-26,19,16
2016-07-27,20,12
2016-07-28,21,15
2016-07-29,22,23
2016-07-30,0,0
2016-07-31,10,10
2016-08-01,0,8
2016-08-02,0,15
2016-08-03,8,12
2016-08-04,0,0
2016-08-05,0,12
2016-08-06,0,16
2016-08-07,0,0
2016-08-08,8,0
2016-08-09,0,0
2016-08-10,0,0
2016-08-11,0,9
2016-08-12,0,0
2016-08-13,0,0
2016-08-14,0,0
2016-08-15,0,0
2016-08-16,0,0
2016-08-17,0,0
2016-08-18,0,0
2016-08-19,0,0
2016-08-20,0,0
2016-08-21,0,0
2016-08-22,0,0
2016-08-23,0,0
2016-08-24,0,0
2016-08-25,0,0
2016-08-26,0,0
2016-08-27,0,0
2016-08-28,0,0
2016-08-29,8,0
2016-08-30,0,0
2016-08-31,0,0
2016-09-01,9,0
2016-09-02,0,0
2016-09-03,0,0
2016-09-04,0,0
2016-09-05,0,0
2016-09-06,0,0
2016-09-07,8,0
2016-09-08,0,8
2016-09-09,0,0
2016-09-10,0,0
2016-09-11,0,0
2016-09-12,10,0
2016-09-13,8,7
2016-09-14,11,0
2016-09-15,0,0
2016-09-16,0,11
2016-09-17,0,0
2016-09-18,0,14
2016-09-19,0,9
2016-09-20,8,0
2016-09-21,10,7
2016-09-22,0,0
2016-09-23,12,0
2016-09-24,0,0
2016-09-25,0,0
2016-09-26,15,14
2016-09-27,31,24
2016-09-28,16,15
2016-09-29,18,7
2016-09-30,0,8
2016-10-01,0,0
2016-10-02,0,0
2016-10-03,10,11
2016-10-04,10,10
2016-10-05,9,12
2016-10-06,7,9
2016-10-07,8,8
2016-10-08,11,0
2016-10-09,9,12
2016-10-10,21,20
2016-10-11,16,12
2016-10-12,16,25
2016-10-13,22,10
2016-10-14,19,12
2016-10-15,11,11
2016-10-16,13,0
2016-10-17,14,10
2016-10-18,14,11
2016-10-19,13,13
2016-10-20,24,24
2016-10-21,12,13
2016-10-22,13,0
2016-10-23,0,0
2016-10-24,22,12
2016-10-25,12,12
2016-10-26,14,16
2016-10-27,18,18
2016-10-28,15,7
2016-10-29,0,10
2016-10-30,12,0
2016-10-31,14,0
2016-11-01,14,17
2016-11-02,18,22
2016-11-03,22,19
2016-11-04,23,24
2016-11-05,19,12
2016-11-06,26,25
2016-11-07,40,36
2016-11-08,100,71
