date,Hillary Clinton rally,Donald Trump rally
2016-06-01,4,9
2016-06-02,3,12
2016-06-03,6,24
2016-06-04,5,17
2016-06-05,4,10
2016-06-06,3,5
2016-06-07,5,8
2016-06-08,6,6
2016-06-09,3,6
2016-06-10,3,10
2016-06-11,3,26
2016-06-12,0,9
2016-06-13,2,7
2016-06-14,0,12
2016-06-15,3,24
2016-06-16,0,22
2016-06-17,0,27
2016-06-18,0,31
2016-06-19,0,12
2016-06-20,0,12
2016-06-21,0,12
2016-06-22,0,6
2016-06-23,0,4
2016-06-24,0,3
2016-06-25,0,0
2016-06-26,0,4
2016-06-27,2,3
2016-06-28,0,4
2016-06-29,0,8
2016-06-30,0,4
2016-07-01,0,5
2016-07-02,0,6
2016-07-03,0,3
2016-07-04,0,2
2016-07-05,5,11
2016-07-06,4,12
2016-07-07,0,6
2016-07-08,0,4
2016-07-09,0,3
2016-07-10,0,3
2016-07-11,0,6
2016-07-12,5,8
2016-07-13,3,13
2016-07-14,0,3
2016-07-15,0,3
2016-07-16,0,0
2016-07-17,0,3
2016-07-18,0,3
2016-07-19,0,3
2016-07-20,3,3
2016-07-21,3,0
2016-07-22,15,5
2016-07-23,7,4
2016-07-24,3,0
2016-07-25,3,7
2016-07-26,3,6
2016-07-27,0,8
2016-07-28,4,13
2016-07-29,11,7
2016-07-30,8,10
2016-07-31,8,7
2016-08-01,7,11
2016-08-02,6,19
2016-08-03,5,23
2016-08-04,8,21
2016-08-05,7,17
2016-08-06,4,11
2016-08-07,3,7
2016-08-08,3,7
2016-08-09,9,12
2016-08-10,9,14
2016-08-11,7,16
2016-08-12,5,11
2016-08-13,0,12
2016-08-14,3,11
2016-08-15,3,5
2016-08-16,5,6
2016-08-17,0,8
2016-08-18,3,6
2016-08-19,3,11
2016-08-20,3,13
2016-08-21,0,8
2016-08-22,3,8
2016-08-23,3,13
2016-08-24,3,19
2016-08-25,5,15
2016-08-26,4,7
2016-08-27,0,8
2016-08-28,0,5
2016-08-29,0,0
2016-08-30,2,7
2016-08-31,2,15
2016-09-01,2,9
2016-09-02,0,4
2016-09-03,0,4
2016-09-04,3,3
2016-09-05,3,4
2016-09-06,5,5
2016-09-07,3,5
2016-09-08,2,4
2016-09-09,0,9
2016-09-10,3,8
2016-09-11,3,4
2016-09-12,4,7
2016-09-13,4,11
2016-09-14,3,6
2016-09-15,6,10
2016-09-16,4,10
2016-09-17,6,12
2016-09-18,6,7
2016-09-19,9,10
2016-09-20,11,11
2016-09-21,11,10
2016-09-22,6,9
2016-09-23,4,8
2016-09-24,4,7
2016-09-25,3,3
2016-09-26,3,4
2016-09-27,7,10
2016-09-28,7,11
2016-09-29,4,10
2016-09-30,9,13
2016-10-01,5,11
2016-10-02,4,13
2016-10-03,5,10
2016-10-04,6,12
2016-10-05,2,12
2016-10-06,4,9
2016-10-07,0,6
2016-10-08,0,6
2016-10-09,0,6
2016-10-10,6,13
2016-10-11,16,22
2016-10-12,12,27
2016-10-13,10,22
2016-10-14,11,23
2016-10-15,7,23
2016-10-16,5,8
2016-10-17,3,11
2016-10-18,7,17
2016-10-19,5,8
2016-10-20,25,23
2016-10-21,8,19
2016-10-22,12,16
2016-10-23,14,17
2016-10-24,11,19
2016-10-25,17,24
2016-10-26,20,23
2016-10-27,16,19
2016-10-28,16,22
2016-10-29,21,29
2016-10-30,19,22
2016-10-31,24,22
2016-11-01,24,21
2016-11-02,27,21
2016-11-03,28,22
2016-11-04,20,21
2016-11-05,33,31
2016-11-06,35,100
2016-11-07,55,52
2016-11-08,76,37
