date,how long does flu last
2017-09-17,10
2017-09-24,10
2017-10-01,10
2017-10-08,11
2017-10-15,11
2017-10-22,13
2017-10-29,12
2017-11-05,13
2017-11-12,16
2017-11-19,15
2017-11-26,17
2017-12-03,18
2017-12-10,28
2017-12-17,52
2017-12-24,64
2017-12-31,71
2018-01-07,99
2018-01-14,89
2018-01-21,99
2018-01-28,100
2018-02-04,92
2018-02-11,87
2018-02-18,67
2018-02-25,38
2018-03-04,28
2018-03-11,23
2018-03-18,22
2018-03-25,21
2018-04-01,20
2018-04-08,15
2018-04-15,13
2018-04-22,12
2018-04-29,11
2018-05-06,11
2018-05-13,9
2018-05-20,8
2018-05-27,7
2018-06-03,6
2018-06-10,6
2018-06-17,5
2018-06-24,6
2018-07-01,6
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,5
2018-08-12,5
2018-08-19,6
2018-08-26,7
2018-09-02,9
2018-09-09,10
2018-09-16,10
2018-09-23,12
2018-09-30,12
2018-10-07,13
2018-10-14,14
2018-10-21,15
2018-10-28,14
2018-11-04,13
2018-11-11,14
2018-11-18,15
2018-11-25,17
2018-12-02,15
2018-12-09,19
2018-12-16,26
2018-12-23,34
2018-12-30,36
2019-01-06,33
2019-01-13,31
2019-01-20,36
2019-01-27,41
2019-02-03,49
2019-02-10,50
2019-02-17,55
2019-02-24,43
2019-03-03,43
2019-03-10,42
2019-03-17,36
2019-03-24,31
2019-03-31,25
2019-04-07,23
2019-04-14,18
2019-04-21,16
2019-04-28,13
2019-05-05,11
2019-05-12,11
2019-05-19,9
2019-05-26,11
2019-06-02,8
2019-06-09,8
2019-06-16,7
2019-06-23,7
2019-06-30,6
2019-07-07,6
2019-07-14,6
2019-07-21,5
2019-07-28,6
2019-08-04,5
2019-08-11,7
2019-08-18,7
2019-08-25,7
2019-09-01,9
2019-09-08,10
2019-09-15,13
2019-09-22,14
2019-09-29,16
2019-10-06,17
2019-10-13,17
2019-10-20,16
2019-10-27,17
2019-11-03,19
2019-11-10,19
2019-11-17,23
2019-11-24,23
2019-12-01,29
2019-12-08,33
2019-12-15,51
2019-12-22,77
2019-12-29,72
2020-01-05,65
2020-01-12,61
2020-01-19,64
2020-01-26,76
2020-02-02,78
2020-02-09,88
2020-02-16,66
2020-02-23,64
2020-03-01,66
2020-03-08,76
2020-03-15,60
2020-03-22,37
2020-03-29,24
2020-04-05,16
2020-04-12,11
2020-04-19,10
2020-04-26,8
2020-05-03,8
2020-05-10,6
2020-05-17,6
2020-05-24,6
2020-05-31,4
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,6
2020-07-05,6
2020-07-12,5
2020-07-19,6
2020-07-26,6
2020-08-02,5
2020-08-09,7
2020-08-16,11
2020-08-23,10
2020-08-30,11
2020-09-06,13
2020-09-13,14
2020-09-20,13
2020-09-27,13
2020-10-04,14
2020-10-11,11
2020-10-18,11
2020-10-25,10
2020-11-01,8
2020-11-08,12
2020-11-15,12
2020-11-22,10
2020-11-29,10
2020-12-06,11
2020-12-13,11
2020-12-20,9
2020-12-27,10
2021-01-03,12
2021-01-10,10
2021-01-17,10
2021-01-24,10
2021-01-31,9
2021-02-07,8
2021-02-14,6
2021-02-21,7
2021-02-28,7
2021-03-07,7
2021-03-14,7
2021-03-21,7
2021-03-28,9
2021-04-04,9
2021-04-11,8
2021-04-18,7
2021-04-25,7
2021-05-02,6
2021-05-09,6
2021-05-16,6
2021-05-23,6
2021-05-30,6
2021-06-06,5
2021-06-13,6
2021-06-20,5
2021-06-27,5
2021-07-04,5
2021-07-11,6
2021-07-18,7
2021-07-25,7
2021-08-01,7
2021-08-08,8
2021-08-15,8
2021-08-22,10
2021-08-29,10
2021-09-05,11
2021-09-12,10
2021-09-19,12
2021-09-26,13
2021-10-03,13
2021-10-10,12
2021-10-17,11
2021-10-24,11
2021-10-31,14
2021-11-07,15
2021-11-14,19
2021-11-21,18
2021-11-28,23
2021-12-05,22
2021-12-12,29
2021-12-19,36
2021-12-26,40
2022-01-02,37
2022-01-09,26
2022-01-16,19
2022-01-23,15
2022-01-30,14
2022-02-06,13
2022-02-13,15
2022-02-20,15
2022-02-27,17
2022-03-06,18
2022-03-13,19
