date,influenza
2017-09-17,7
2017-09-24,9
2017-10-01,8
2017-10-08,8
2017-10-15,8
2017-10-22,8
2017-10-29,8
2017-11-05,8
2017-11-12,9
2017-11-19,7
2017-11-26,9
2017-12-03,11
2017-12-10,13
2017-12-17,21
2017-12-24,28
2017-12-31,33
2018-01-07,42
2018-01-14,50
2018-01-21,57
2018-01-28,63
2018-02-04,53
2018-02-11,46
2018-02-18,33
2018-02-25,25
2018-03-04,20
2018-03-11,16
2018-03-18,14
2018-03-25,15
2018-04-01,12
2018-04-08,10
2018-04-15,9
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,5
2018-05-20,5
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,4
2018-08-19,4
2018-08-26,5
2018-09-02,6
2018-09-09,7
2018-09-16,7
2018-09-23,8
2018-09-30,9
2018-10-07,9
2018-10-14,10
2018-10-21,9
2018-10-28,9
2018-11-04,8
2018-11-11,9
2018-11-18,7
2018-11-25,9
2018-12-02,10
2018-12-09,10
2018-12-16,11
2018-12-23,13
2018-12-30,14
2019-01-06,15
2019-01-13,17
2019-01-20,19
2019-01-27,21
2019-02-03,23
2019-02-10,25
2019-02-17,26
2019-02-24,26
2019-03-03,30
2019-03-10,28
2019-03-17,26
2019-03-24,19
2019-03-31,15
2019-04-07,12
2019-04-14,9
2019-04-21,9
2019-04-28,8
2019-05-05,7
2019-05-12,6
2019-05-19,5
2019-05-26,4
2019-06-02,5
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,4
2019-08-25,5
2019-09-01,5
2019-09-08,6
2019-09-15,7
2019-09-22,8
2019-09-29,9
2019-10-06,9
2019-10-13,9
2019-10-20,10
2019-10-27,9
2019-11-03,10
2019-11-10,10
2019-11-17,12
2019-11-24,10
2019-12-01,13
2019-12-08,17
2019-12-15,23
2019-12-22,32
2019-12-29,30
2020-01-05,31
2020-01-12,37
2020-01-19,44
2020-01-26,59
2020-02-02,58
2020-02-09,53
2020-02-16,48
2020-02-23,65
2020-03-01,67
2020-03-08,100
2020-03-15,84
2020-03-22,66
2020-03-29,52
2020-04-05,38
2020-04-12,30
2020-04-19,27
2020-04-26,22
2020-05-03,20
2020-05-10,19
2020-05-17,17
2020-05-24,14
2020-05-31,8
2020-06-07,7
2020-06-14,8
2020-06-21,9
2020-06-28,10
2020-07-05,11
2020-07-12,12
2020-07-19,11
2020-07-26,9
2020-08-02,9
2020-08-09,10
2020-08-16,9
2020-08-23,8
2020-08-30,9
2020-09-06,9
2020-09-13,10
2020-09-20,11
2020-09-27,11
2020-10-04,12
2020-10-11,10
2020-10-18,11
2020-10-25,12
2020-11-01,8
2020-11-08,10
2020-11-15,12
2020-11-22,9
2020-11-29,11
2020-12-06,12
2020-12-13,10
2020-12-20,8
2020-12-27,8
2021-01-03,8
2021-01-10,8
2021-01-17,8
2021-01-24,8
2021-01-31,8
2021-02-07,7
2021-02-14,6
2021-02-21,8
2021-02-28,7
2021-03-07,7
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,7
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,6
2021-05-16,5
2021-05-23,5
2021-05-30,5
2021-06-06,4
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,4
2021-07-11,5
2021-07-18,5
2021-07-25,6
2021-08-01,7
2021-08-08,8
2021-08-15,7
2021-08-22,7
2021-08-29,8
2021-09-05,8
2021-09-12,9
2021-09-19,9
2021-09-26,9
2021-10-03,9
2021-10-10,9
2021-10-17,8
2021-10-24,8
2021-10-31,9
2021-11-07,9
2021-11-14,9
2021-11-21,8
2021-11-28,12
2021-12-05,11
2021-12-12,12
2021-12-19,16
2021-12-26,17
2022-01-02,24
2022-01-09,14
2022-01-16,11
2022-01-23,9
2022-01-30,9
2022-02-06,9
2022-02-13,10
2022-02-20,10
2022-02-27,9
2022-03-06,10
2022-03-13,11
