date,influenza,isPartial
2021-09-12,14,False
2021-09-19,15,False
2021-09-26,14,False
2021-10-03,14,False
2021-10-10,14,False
2021-10-17,13,False
2021-10-24,13,False
2021-10-31,14,False
2021-11-07,14,False
2021-11-14,15,False
2021-11-21,12,False
2021-11-28,19,False
2021-12-05,18,False
2021-12-12,20,False
2021-12-19,26,False
2021-12-26,28,False
2022-01-02,38,False
2022-01-09,23,False
2022-01-16,17,False
2022-01-23,15,False
2022-01-30,14,False
2022-02-06,14,False
2022-02-13,16,False
2022-02-20,16,False
2022-02-27,15,False
2022-03-06,16,False
2022-03-13,17,False
2022-03-20,18,False
2022-03-27,18,False
2022-04-03,22,False
2022-04-10,19,False
2022-04-17,21,False
2022-04-24,21,False
2022-05-01,19,False
2022-05-08,18,False
2022-05-15,16,False
2022-05-22,15,False
2022-05-29,13,False
2022-06-05,12,False
2022-06-12,10,False
2022-06-19,9,False
2022-06-26,8,False
2022-07-03,7,False
2022-07-10,7,False
2022-07-17,7,False
2022-07-24,7,False
2022-07-31,7,False
2022-08-07,7,False
2022-08-14,7,False
2022-08-21,9,False
2022-08-28,9,False
2022-09-04,10,False
2022-09-11,12,False
2022-09-18,13,False
2022-09-25,13,False
2022-10-02,14,False
2022-10-09,16,False
2022-10-16,19,False
2022-10-23,23,False
2022-10-30,31,False
2022-11-06,36,False
2022-11-13,44,False
2022-11-20,53,False
2022-11-27,65,False
2022-12-04,71,False
2022-12-11,72,False
2022-12-18,59,False
2022-12-25,42,False
2023-01-01,28,False
2023-01-08,19,False
2023-01-15,18,False
2023-01-22,15,False
2023-01-29,15,False
2023-02-05,15,False
2023-02-12,14,False
2023-02-19,13,False
2023-02-26,14,False
2023-03-05,13,False
2023-03-12,12,False
2023-03-19,13,False
2023-03-26,12,False
2023-04-02,11,False
2023-04-09,12,False
2023-04-16,12,False
2023-04-23,12,False
2023-04-30,12,False
2023-05-07,11,False
2023-05-14,10,False
2023-05-21,9,False
2023-05-28,8,False
2023-06-04,8,False
2023-06-11,7,False
2023-06-18,8,False
2023-06-25,7,False
2023-07-02,7,False
2023-07-09,7,False
2023-07-16,7,False
2023-07-23,7,False
2023-07-30,7,False
2023-08-06,7,False
2023-08-13,7,False
2023-08-20,9,False
2023-08-27,10,False
2023-09-03,11,False
2023-09-10,13,False
2023-09-17,14,False
2023-09-24,14,False
2023-10-01,14,False
2023-10-08,14,False
2023-10-15,14,False
2023-10-22,15,False
2023-10-29,14,False
2023-11-05,15,False
2023-11-12,18,False
2023-11-19,16,False
2023-11-26,23,False
2023-12-03,25,False
2023-12-10,31,False
2023-12-17,39,False
2023-12-24,41,False
2023-12-31,35,False
2024-01-07,29,False
2024-01-14,26,False
2024-01-21,31,False
2024-01-28,34,False
2024-02-04,36,False
2024-02-11,34,False
2024-02-18,39,False
2024-02-25,36,False
2024-03-03,33,False
2024-03-10,26,False
2024-03-17,24,False
2024-03-24,24,False
2024-03-31,28,False
2024-04-07,21,False
2024-04-14,16,False
2024-04-21,16,False
2024-04-28,14,False
2024-05-05,13,False
2024-05-12,12,False
2024-05-19,11,False
2024-05-26,10,False
2024-06-02,28,False
2024-06-09,10,False
2024-06-16,8,False
2024-06-23,8,False
2024-06-30,7,False
2024-07-07,8,False
2024-07-14,8,False
2024-07-21,7,False
2024-07-28,7,False
2024-08-04,7,False
2024-08-11,8,False
2024-08-18,9,False
2024-08-25,10,False
2024-09-01,11,False
2024-09-08,13,False
2024-09-15,13,False
2024-09-22,13,False
2024-09-29,13,False
2024-10-06,13,False
2024-10-13,13,False
2024-10-20,13,False
2024-10-27,13,False
2024-11-03,12,False
2024-11-10,14,False
2024-11-17,18,False
2024-11-24,14,False
2024-12-01,17,False
2024-12-08,20,False
2024-12-15,36,False
2024-12-22,45,False
2024-12-29,53,False
2025-01-05,46,False
2025-01-12,57,False
2025-01-19,65,False
2025-01-26,96,False
2025-02-02,99,False
2025-02-09,85,False
2025-02-16,71,False
2025-02-23,55,False
2025-03-02,41,False
2025-03-09,36,False
2025-03-16,28,False
2025-03-23,21,False
2025-03-30,20,False
2025-04-06,18,False
2025-04-13,17,False
2025-04-20,16,False
2025-04-27,14,False
2025-05-04,14,False
2025-05-11,13,False
2025-05-18,11,False
2025-05-25,11,False
2025-06-01,10,False
2025-06-08,9,False
2025-06-15,9,False
2025-06-22,9,False
2025-06-29,7,False
2025-07-06,8,False
2025-07-13,10,False
2025-07-20,15,False
2025-07-27,21,False
2025-08-03,10,False
2025-08-10,9,False
2025-08-17,8,False
2025-08-24,10,False
2025-08-31,10,False
2025-09-07,12,False
2025-09-14,13,False
2025-09-21,13,False
2025-09-28,13,False
2025-10-05,14,False
2025-10-12,13,False
2025-10-19,14,False
2025-10-26,15,False
2025-11-02,20,False
2025-11-09,20,False
2025-11-16,24,False
2025-11-23,25,False
2025-11-30,32,False
2025-12-07,42,False
2025-12-14,72,False
2025-12-21,100,False
2025-12-28,99,False
2026-01-04,75,False
2026-01-11,49,False
2026-01-18,49,False
2026-01-25,50,False
2026-02-01,56,False
2026-02-08,51,False
2026-02-15,55,False
2026-02-22,47,False
2026-03-01,46,False
2026-03-08,40,False
2026-03-15,37,False
2026-03-22,34,False
2026-03-29,28,False
2026-04-05,26,False
2026-04-12,26,False
2026-04-19,25,False
2026-04-26,22,False
2026-05-03,23,False
2026-05-10,23,False
2026-05-17,21,False
2026-05-24,23,False
2026-05-31,29,False
2026-06-07,34,False
2026-06-14,40,False
2026-06-21,30,False
2026-06-28,20,False
2026-07-05,19,False
2026-07-12,15,False
2026-07-19,12,False
2026-07-26,10,False
2026-08-02,10,False
2026-08-09,12,False
2026-08-16,11,False
2026-08-23,11,False
2026-08-30,12,False
2026-09-06,12,False
2026-09-13,14,True
