date,Joe Biden for president,Donald Trump for president
2020-06-01,16,8
2020-06-02,29,16
2020-06-03,28,14
2020-06-04,22,11
2020-06-05,20,8
2020-06-06,18,8
2020-06-07,15,10
2020-06-08,11,7
2020-06-09,13,5
2020-06-10,15,6
2020-06-11,13,8
2020-06-12,11,9
2020-06-13,13,8
2020-06-14,14,9
2020-06-15,11,6
2020-06-16,11,8
2020-06-17,12,7
2020-06-18,9,4
2020-06-19,10,5
2020-06-20,13,10
2020-06-21,20,8
2020-06-22,20,10
2020-06-23,20,9
2020-06-24,22,5
2020-06-25,22,8
2020-06-26,14,6
2020-06-27,14,8
2020-06-28,17,12
2020-06-29,17,11
2020-06-30,21,9
2020-07-01,17,9
2020-07-02,17,10
2020-07-03,15,5
2020-07-04,15,12
2020-07-05,26,18
2020-07-06,20,12
2020-07-07,16,7
2020-07-08,14,9
2020-07-09,22,10
2020-07-10,16,8
2020-07-11,14,8
2020-07-12,11,6
2020-07-13,12,6
2020-07-14,16,6
2020-07-15,11,6
2020-07-16,11,7
2020-07-17,12,5
2020-07-18,13,7
2020-07-19,15,6
2020-07-20,16,10
2020-07-21,15,7
2020-07-22,12,8
2020-07-23,13,4
2020-07-24,14,6
2020-07-25,13,5
2020-07-26,14,6
2020-07-27,15,6
2020-07-28,15,8
2020-07-29,22,7
2020-07-30,22,9
2020-07-31,14,8
2020-08-01,18,6
2020-08-02,24,9
2020-08-03,19,6
2020-08-04,19,6
2020-08-05,15,6
2020-08-06,19,7
2020-08-07,20,7
2020-08-08,18,9
2020-08-09,20,8
2020-08-10,23,6
2020-08-11,60,9
2020-08-12,56,9
2020-08-13,31,10
2020-08-14,18,10
2020-08-15,14,8
2020-08-16,18,14
2020-08-17,14,11
2020-08-18,26,11
2020-08-19,43,10
2020-08-20,43,12
2020-08-21,64,12
2020-08-22,22,13
2020-08-23,17,9
2020-08-24,17,9
2020-08-25,22,15
2020-08-26,14,9
2020-08-27,13,8
2020-08-28,19,20
2020-08-29,13,6
2020-08-30,14,9
2020-08-31,12,11
2020-09-01,16,9
2020-09-02,15,11
2020-09-03,15,10
2020-09-04,12,11
2020-09-05,12,10
2020-09-06,14,7
2020-09-07,15,9
2020-09-08,14,8
2020-09-09,13,11
2020-09-10,12,10
2020-09-11,10,6
2020-09-12,13,10
2020-09-13,13,7
2020-09-14,9,10
2020-09-15,15,12
2020-09-16,14,9
2020-09-17,12,8
2020-09-18,13,10
2020-09-19,21,8
2020-09-20,13,9
2020-09-21,14,9
2020-09-22,21,13
2020-09-23,18,13
2020-09-24,15,11
2020-09-25,12,8
2020-09-26,13,6
2020-09-27,14,9
2020-09-28,20,15
2020-09-29,24,20
2020-09-30,100,27
2020-10-01,27,16
2020-10-02,32,37
2020-10-03,21,22
2020-10-04,16,15
2020-10-05,15,15
2020-10-06,18,18
2020-10-07,26,14
2020-10-08,62,16
2020-10-09,45,16
2020-10-10,38,8
2020-10-11,33,11
2020-10-12,28,10
2020-10-13,26,11
2020-10-14,25,11
2020-10-15,23,13
2020-10-16,26,14
2020-10-17,29,12
2020-10-18,18,6
2020-10-19,23,13
2020-10-20,23,17
2020-10-21,24,14
2020-10-22,27,12
2020-10-23,53,23
2020-10-24,23,16
2020-10-25,19,11
2020-10-26,25,17
2020-10-27,28,19
2020-10-28,25,18
2020-10-29,29,16
2020-10-30,26,15
2020-10-31,22,14
2020-11-01,25,11
2020-11-02,46,22
2020-11-03,82,52
