date,Joe Biden policies,Donald Trump policies
2020-06-01,7,0
2020-06-02,11,5
2020-06-03,6,4
2020-06-04,10,5
2020-06-05,12,0
2020-06-06,7,0
2020-06-07,10,0
2020-06-08,7,7
2020-06-09,9,0
2020-06-10,7,0
2020-06-11,0,0
2020-06-12,5,0
2020-06-13,6,8
2020-06-14,0,0
2020-06-15,0,0
2020-06-16,6,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,5,0
2020-06-20,5,0
2020-06-21,7,0
2020-06-22,8,0
2020-06-23,8,0
2020-06-24,9,0
2020-06-25,8,0
2020-06-26,11,0
2020-06-27,8,0
2020-06-28,6,0
2020-06-29,6,0
2020-06-30,7,0
2020-07-01,7,0
2020-07-02,0,0
2020-07-03,5,0
2020-07-04,0,0
2020-07-05,9,6
2020-07-06,5,0
2020-07-07,11,0
2020-07-08,11,0
2020-07-09,7,0
2020-07-10,12,0
2020-07-11,7,0
2020-07-12,8,0
2020-07-13,8,0
2020-07-14,6,0
2020-07-15,0,0
2020-07-16,8,0
2020-07-17,8,0
2020-07-18,7,0
2020-07-19,0,0
2020-07-20,11,0
2020-07-21,7,0
2020-07-22,5,0
2020-07-23,9,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,5,0
2020-07-28,6,0
2020-07-29,9,0
2020-07-30,7,0
2020-07-31,0,0
2020-08-01,7,0
2020-08-02,0,0
2020-08-03,5,0
2020-08-04,6,0
2020-08-05,9,0
2020-08-06,9,0
2020-08-07,5,0
2020-08-08,0,0
2020-08-09,7,0
2020-08-10,0,0
2020-08-11,22,0
2020-08-12,30,0
2020-08-13,7,6
2020-08-14,9,0
2020-08-15,5,0
2020-08-16,8,0
2020-08-17,11,5
2020-08-18,18,4
2020-08-19,15,0
2020-08-20,17,0
2020-08-21,21,6
2020-08-22,14,0
2020-08-23,13,0
2020-08-24,8,4
2020-08-25,12,7
2020-08-26,11,5
2020-08-27,9,5
2020-08-28,9,6
2020-08-29,8,0
2020-08-30,9,0
2020-08-31,13,0
2020-09-01,13,0
2020-09-02,12,0
2020-09-03,8,0
2020-09-04,9,0
2020-09-05,13,0
2020-09-06,9,0
2020-09-07,10,0
2020-09-08,11,6
2020-09-09,10,4
2020-09-10,11,4
2020-09-11,11,5
2020-09-12,0,0
2020-09-13,19,0
2020-09-14,8,5
2020-09-15,6,6
2020-09-16,16,5
2020-09-17,9,0
2020-09-18,11,4
2020-09-19,14,9
2020-09-20,11,6
2020-09-21,9,5
2020-09-22,11,0
2020-09-23,14,0
2020-09-24,14,8
2020-09-25,12,0
2020-09-26,11,0
2020-09-27,8,0
2020-09-28,14,0
2020-09-29,14,6
2020-09-30,36,15
2020-10-01,16,7
2020-10-02,16,0
2020-10-03,7,0
2020-10-04,7,7
2020-10-05,9,0
2020-10-06,15,9
2020-10-07,13,0
2020-10-08,17,8
2020-10-09,7,0
2020-10-10,6,0
2020-10-11,14,0
2020-10-12,11,0
2020-10-13,10,0
2020-10-14,7,0
2020-10-15,9,0
2020-10-16,12,0
2020-10-17,10,0
2020-10-18,10,0
2020-10-19,12,0
2020-10-20,16,8
2020-10-21,21,9
2020-10-22,16,6
2020-10-23,14,8
2020-10-24,15,7
2020-10-25,14,0
2020-10-26,8,6
2020-10-27,17,10
2020-10-28,15,11
2020-10-29,14,8
2020-10-30,18,11
2020-10-31,12,0
2020-11-01,11,6
2020-11-02,35,7
2020-11-03,100,35
