date,Joe Biden rally,Donald Trump rally
2020-06-01,0,0
2020-06-02,0,2
2020-06-03,0,0
2020-06-04,0,0
2020-06-05,0,2
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,0,0
2020-06-09,0,2
2020-06-10,0,1
2020-06-11,0,11
2020-06-12,0,20
2020-06-13,0,15
2020-06-14,2,8
2020-06-15,2,8
2020-06-16,2,5
2020-06-17,0,7
2020-06-18,0,6
2020-06-19,10,11
2020-06-20,26,60
2020-06-21,54,100
2020-06-22,19,32
2020-06-23,9,23
2020-06-24,5,14
2020-06-25,3,8
2020-06-26,3,5
2020-06-27,2,5
2020-06-28,2,6
2020-06-29,0,4
2020-06-30,0,3
2020-07-01,0,3
2020-07-02,0,2
2020-07-03,0,3
2020-07-04,0,7
2020-07-05,0,3
2020-07-06,2,11
2020-07-07,0,7
2020-07-08,0,5
2020-07-09,0,5
2020-07-10,0,6
2020-07-11,0,3
2020-07-12,0,3
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,1
2020-07-16,0,2
2020-07-17,0,2
2020-07-18,0,0
2020-07-19,0,2
2020-07-20,0,2
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,1
2020-07-25,0,0
2020-07-26,0,2
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,2
2020-07-31,0,0
2020-08-01,0,2
2020-08-02,0,2
2020-08-03,0,0
2020-08-04,0,1
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,2
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,2,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,2
2020-08-18,0,0
2020-08-19,1,0
2020-08-20,1,0
2020-08-21,3,0
2020-08-22,0,0
2020-08-23,0,2
2020-08-24,0,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,2
2020-08-28,0,4
2020-08-29,0,3
2020-08-30,0,2
2020-08-31,2,0
2020-09-01,2,1
2020-09-02,1,0
2020-09-03,1,1
2020-09-04,2,2
2020-09-05,0,2
2020-09-06,0,2
2020-09-07,0,0
2020-09-08,0,2
2020-09-09,1,3
2020-09-10,3,4
2020-09-11,2,5
2020-09-12,2,4
2020-09-13,2,10
2020-09-14,3,10
2020-09-15,3,6
2020-09-16,8,3
2020-09-17,5,3
2020-09-18,4,7
2020-09-19,4,7
2020-09-20,3,4
2020-09-21,0,4
2020-09-22,2,8
2020-09-23,3,6
2020-09-24,3,5
2020-09-25,3,5
2020-09-26,2,7
2020-09-27,4,4
2020-09-28,2,2
2020-09-29,2,2
2020-09-30,5,5
2020-10-01,4,8
2020-10-02,3,5
2020-10-03,2,4
2020-10-04,2,3
2020-10-05,0,2
2020-10-06,3,2
2020-10-07,2,0
2020-10-08,2,2
2020-10-09,0,5
2020-10-10,3,7
2020-10-11,4,5
2020-10-12,16,10
2020-10-13,18,13
2020-10-14,10,12
2020-10-15,8,11
2020-10-16,6,8
2020-10-17,8,14
2020-10-18,7,14
2020-10-19,7,12
2020-10-20,4,10
2020-10-21,5,8
2020-10-22,5,7
2020-10-23,6,11
2020-10-24,13,14
2020-10-25,14,16
2020-10-26,10,11
2020-10-27,19,12
2020-10-28,17,17
2020-10-29,20,17
2020-10-30,18,17
2020-10-31,21,24
2020-11-01,20,24
2020-11-02,29,23
2020-11-03,19,16
