date,Joe Biden,Donald Trump
2020-06-01,6,33
2020-06-02,10,31
2020-06-03,9,26
2020-06-04,6,24
2020-06-05,6,20
2020-06-06,7,20
2020-06-07,6,18
2020-06-08,6,15
2020-06-09,6,15
2020-06-10,5,14
2020-06-11,5,14
2020-06-12,6,13
2020-06-13,6,15
2020-06-14,6,27
2020-06-15,5,20
2020-06-16,5,14
2020-06-17,5,13
2020-06-18,5,15
2020-06-19,6,15
2020-06-20,6,15
2020-06-21,9,22
2020-06-22,6,15
2020-06-23,6,15
2020-06-24,7,14
2020-06-25,7,14
2020-06-26,9,14
2020-06-27,7,20
2020-06-28,7,40
2020-06-29,6,32
2020-06-30,9,19
2020-07-01,7,14
2020-07-02,6,14
2020-07-03,6,14
2020-07-04,6,25
2020-07-05,7,18
2020-07-06,6,14
2020-07-07,6,14
2020-07-08,6,15
2020-07-09,8,14
2020-07-10,7,13
2020-07-11,6,13
2020-07-12,6,13
2020-07-13,5,11
2020-07-14,6,12
2020-07-15,7,14
2020-07-16,6,13
2020-07-17,5,12
2020-07-18,6,14
2020-07-19,6,13
2020-07-20,6,12
2020-07-21,8,12
2020-07-22,7,11
2020-07-23,8,11
2020-07-24,7,11
2020-07-25,5,11
2020-07-26,6,11
2020-07-27,6,10
2020-07-28,6,12
2020-07-29,9,12
2020-07-30,8,14
2020-07-31,7,11
2020-08-01,7,13
2020-08-02,8,12
2020-08-03,7,10
2020-08-04,8,11
2020-08-05,10,12
2020-08-06,14,11
2020-08-07,15,11
2020-08-08,15,14
2020-08-09,13,13
2020-08-10,13,12
2020-08-11,40,13
2020-08-12,34,13
2020-08-13,17,12
2020-08-14,11,13
2020-08-15,10,12
2020-08-16,11,35
2020-08-17,10,15
2020-08-18,18,16
2020-08-19,32,14
2020-08-20,22,16
2020-08-21,46,17
2020-08-22,16,13
2020-08-23,13,14
2020-08-24,11,12
2020-08-25,9,24
2020-08-26,8,22
2020-08-27,9,20
2020-08-28,13,26
2020-08-29,9,14
2020-08-30,10,13
2020-08-31,12,12
2020-09-01,13,12
2020-09-02,11,11
2020-09-03,10,11
2020-09-04,11,12
2020-09-05,11,12
2020-09-06,9,12
2020-09-07,10,11
2020-09-08,10,10
2020-09-09,9,13
2020-09-10,9,12
2020-09-11,9,11
2020-09-12,7,11
2020-09-13,10,11
2020-09-14,9,10
2020-09-15,10,10
2020-09-16,12,11
2020-09-17,12,9
2020-09-18,14,11
2020-09-19,11,15
2020-09-20,10,11
2020-09-21,9,10
2020-09-22,10,10
2020-09-23,11,10
2020-09-24,10,12
2020-09-25,9,11
2020-09-26,11,11
2020-09-27,13,12
2020-09-28,14,18
2020-09-29,19,17
2020-09-30,93,42
2020-10-01,28,17
2020-10-02,32,100
2020-10-03,19,64
2020-10-04,18,47
2020-10-05,14,35
2020-10-06,18,30
2020-10-07,16,26
2020-10-08,31,27
2020-10-09,14,19
2020-10-10,12,17
2020-10-11,13,15
2020-10-12,12,14
2020-10-13,16,15
2020-10-14,15,14
2020-10-15,22,16
2020-10-16,25,19
2020-10-17,18,15
2020-10-18,18,16
2020-10-19,16,15
2020-10-20,16,15
2020-10-21,18,15
2020-10-22,20,19
2020-10-23,60,29
2020-10-24,21,17
2020-10-25,21,16
2020-10-26,20,17
2020-10-27,22,18
2020-10-28,23,18
2020-10-29,20,17
2020-10-30,20,19
2020-10-31,20,18
2020-11-01,21,21
2020-11-02,26,22
2020-11-03,45,40
