date,Kamala Harris policies,Donald Trump policies
2024-06-01,0,0
2024-06-02,0,0
2024-06-03,0,0
2024-06-04,0,0
2024-06-05,0,0
2024-06-06,0,0
2024-06-07,0,0
2024-06-08,0,0
2024-06-09,0,0
2024-06-10,0,0
2024-06-11,0,0
2024-06-12,0,0
2024-06-13,0,0
2024-06-14,0,0
2024-06-15,0,0
2024-06-16,0,0
2024-06-17,0,0
2024-06-18,0,0
2024-06-19,0,0
2024-06-20,0,0
2024-06-21,0,0
2024-06-22,0,0
2024-06-23,0,0
2024-06-24,0,0
2024-06-25,0,0
2024-06-26,0,0
2024-06-27,0,0
2024-06-28,1,0
2024-06-29,0,0
2024-06-30,0,0
2024-07-01,0,0
2024-07-02,0,0
2024-07-03,0,0
2024-07-04,0,0
2024-07-05,0,0
2024-07-06,0,0
2024-07-07,0,0
2024-07-08,0,0
2024-07-09,0,0
2024-07-10,0,0
2024-07-11,0,0
2024-07-12,0,0
2024-07-13,0,0
2024-07-14,0,1
2024-07-15,0,1
2024-07-16,0,1
2024-07-17,0,1
2024-07-18,0,1
2024-07-19,3,0
2024-07-20,0,0
2024-07-21,17,1
2024-07-22,20,2
2024-07-23,15,1
2024-07-24,12,2
2024-07-25,11,1
2024-07-26,9,0
2024-07-27,7,0
2024-07-28,7,0
2024-07-29,6,1
2024-07-30,6,2
2024-07-31,10,1
2024-08-01,7,0
2024-08-02,6,1
2024-08-03,4,0
2024-08-04,5,0
2024-08-05,5,0
2024-08-06,8,0
2024-08-07,10,0
2024-08-08,8,1
2024-08-09,10,1
2024-08-10,10,2
2024-08-11,9,1
2024-08-12,10,1
2024-08-13,10,1
2024-08-14,11,1
2024-08-15,6,0
2024-08-16,11,1
2024-08-17,15,1
2024-08-18,13,2
2024-08-19,11,1
2024-08-20,11,1
2024-08-21,14,1
2024-08-22,19,2
2024-08-23,27,2
2024-08-24,16,2
2024-08-25,18,2
2024-08-26,18,2
2024-08-27,19,2
2024-08-28,18,2
2024-08-29,14,2
2024-08-30,10,1
2024-08-31,7,1
2024-09-01,5,0
2024-09-02,6,1
2024-09-03,5,1
2024-09-04,6,1
2024-09-05,6,1
2024-09-06,6,1
2024-09-07,6,0
2024-09-08,4,0
2024-09-09,14,1
2024-09-10,19,2
2024-09-11,40,6
2024-09-12,19,3
2024-09-13,15,3
2024-09-14,10,0
2024-09-15,8,1
2024-09-16,6,2
2024-09-17,6,1
2024-09-18,7,1
2024-09-19,7,1
2024-09-20,7,1
2024-09-21,5,0
2024-09-22,5,0
2024-09-23,6,2
2024-09-24,5,1
2024-09-25,4,1
2024-09-26,4,0
2024-09-27,5,1
2024-09-28,3,0
2024-09-29,4,0
2024-09-30,4,1
2024-10-01,4,1
2024-10-02,7,2
2024-10-03,4,1
2024-10-04,4,1
2024-10-05,3,1
2024-10-06,4,1
2024-10-07,5,1
2024-10-08,4,1
2024-10-09,4,0
2024-10-10,4,0
2024-10-11,4,1
2024-10-12,5,1
2024-10-13,4,0
2024-10-14,5,1
2024-10-15,6,1
2024-10-16,7,2
2024-10-17,7,2
2024-10-18,6,2
2024-10-19,6,1
2024-10-20,6,1
2024-10-21,8,2
2024-10-22,7,3
2024-10-23,10,3
2024-10-24,11,3
2024-10-25,10,3
2024-10-26,10,3
2024-10-27,11,3
2024-10-28,17,5
2024-10-29,19,6
2024-10-30,22,6
2024-10-31,17,5
2024-11-01,16,4
2024-11-02,17,4
2024-11-03,21,6
2024-11-04,33,12
2024-11-05,100,26
