date,Kamala Harris rally,Donald Trump rally
2024-06-01,0,1
2024-06-02,0,0
2024-06-03,0,0
2024-06-04,0,0
2024-06-05,0,0
2024-06-06,0,1
2024-06-07,0,0
2024-06-08,0,1
2024-06-09,0,2
2024-06-10,0,1
2024-06-11,0,1
2024-06-12,0,0
2024-06-13,0,0
2024-06-14,0,1
2024-06-15,0,1
2024-06-16,0,0
2024-06-17,0,1
2024-06-18,0,1
2024-06-19,0,0
2024-06-20,0,0
2024-06-21,0,0
2024-06-22,0,1
2024-06-23,0,1
2024-06-24,0,1
2024-06-25,0,0
2024-06-26,0,0
2024-06-27,0,0
2024-06-28,0,2
2024-06-29,0,1
2024-06-30,0,0
2024-07-01,0,0
2024-07-02,0,0
2024-07-03,0,0
2024-07-04,0,0
2024-07-05,0,0
2024-07-06,0,1
2024-07-07,0,0
2024-07-08,0,1
2024-07-09,0,2
2024-07-10,0,2
2024-07-11,0,1
2024-07-12,0,1
2024-07-13,1,100
2024-07-14,0,94
2024-07-15,0,14
2024-07-16,0,9
2024-07-17,0,6
2024-07-18,1,5
2024-07-19,0,6
2024-07-20,0,7
2024-07-21,2,5
2024-07-22,3,2
2024-07-23,14,3
2024-07-24,11,5
2024-07-25,7,3
2024-07-26,5,2
2024-07-27,5,4
2024-07-28,7,4
2024-07-29,6,3
2024-07-30,19,2
2024-07-31,41,9
2024-08-01,22,14
2024-08-02,11,9
2024-08-03,12,5
2024-08-04,10,5
2024-08-05,13,3
2024-08-06,36,2
2024-08-07,38,2
2024-08-08,32,3
2024-08-09,26,3
2024-08-10,44,7
2024-08-11,41,3
2024-08-12,22,3
2024-08-13,14,2
2024-08-14,11,2
2024-08-15,10,1
2024-08-16,14,2
2024-08-17,8,3
2024-08-18,8,3
2024-08-19,5,2
2024-08-20,6,2
2024-08-21,8,2
2024-08-22,4,2
2024-08-23,4,4
2024-08-24,4,3
2024-08-25,3,1
2024-08-26,3,1
2024-08-27,1,1
2024-08-28,3,1
2024-08-29,5,1
2024-08-30,4,2
2024-08-31,3,2
2024-09-01,3,1
2024-09-02,5,1
2024-09-03,3,1
2024-09-04,3,1
2024-09-05,2,1
2024-09-06,2,1
2024-09-07,2,1
2024-09-08,2,1
2024-09-09,2,1
2024-09-10,2,0
2024-09-11,8,2
2024-09-12,12,3
2024-09-13,15,3
2024-09-14,8,3
2024-09-15,3,3
2024-09-16,4,2
2024-09-17,3,1
2024-09-18,4,6
2024-09-19,5,3
2024-09-20,8,2
2024-09-21,6,3
2024-09-22,3,2
2024-09-23,3,1
2024-09-24,3,2
2024-09-25,3,1
2024-09-26,2,1
2024-09-27,2,1
2024-09-28,3,2
2024-09-29,4,2
2024-09-30,4,1
2024-10-01,1,1
2024-10-02,1,1
2024-10-03,3,2
2024-10-04,3,2
2024-10-05,4,6
2024-10-06,4,4
2024-10-07,2,3
2024-10-08,2,3
2024-10-09,3,3
2024-10-10,4,3
2024-10-11,4,3
2024-10-12,3,4
2024-10-13,6,5
2024-10-14,5,3
2024-10-15,5,6
2024-10-16,5,4
2024-10-17,6,3
2024-10-18,11,2
2024-10-19,22,3
2024-10-20,23,5
2024-10-21,19,3
2024-10-22,28,3
2024-10-23,23,4
2024-10-24,34,3
2024-10-25,59,5
2024-10-26,63,8
2024-10-27,30,13
2024-10-28,32,15
2024-10-29,60,10
2024-10-30,47,8
2024-10-31,25,6
2024-11-01,24,6
2024-11-02,26,9
2024-11-03,27,7
2024-11-04,41,7
2024-11-05,39,8
