date,Kamala Harris,Donald Trump
2024-06-01,0,7
2024-06-02,0,6
2024-06-03,0,4
2024-06-04,0,3
2024-06-05,0,3
2024-06-06,0,3
2024-06-07,0,3
2024-06-08,0,3
2024-06-09,0,3
2024-06-10,0,2
2024-06-11,0,3
2024-06-12,0,2
2024-06-13,0,2
2024-06-14,0,4
2024-06-15,0,3
2024-06-16,0,2
2024-06-17,0,2
2024-06-18,0,2
2024-06-19,0,2
2024-06-20,0,2
2024-06-21,0,2
2024-06-22,0,2
2024-06-23,0,2
2024-06-24,0,2
2024-06-25,0,2
2024-06-26,0,2
2024-06-27,0,3
2024-06-28,3,15
2024-06-29,2,4
2024-06-30,1,3
2024-07-01,1,4
2024-07-02,2,4
2024-07-03,3,3
2024-07-04,3,3
2024-07-05,3,3
2024-07-06,2,3
2024-07-07,2,3
2024-07-08,2,2
2024-07-09,2,3
2024-07-10,1,3
2024-07-11,2,3
2024-07-12,3,3
2024-07-13,2,76
2024-07-14,2,100
2024-07-15,2,25
2024-07-16,2,19
2024-07-17,2,14
2024-07-18,4,21
2024-07-19,5,23
2024-07-20,3,8
2024-07-21,62,11
2024-07-22,84,9
2024-07-23,69,8
2024-07-24,49,7
2024-07-25,51,6
2024-07-26,39,6
2024-07-27,26,6
2024-07-28,21,6
2024-07-29,19,20
2024-07-30,20,16
2024-07-31,28,9
2024-08-01,30,7
2024-08-02,20,5
2024-08-03,17,4
2024-08-04,17,4
2024-08-05,17,4
2024-08-06,35,4
2024-08-07,21,4
2024-08-08,15,4
2024-08-09,13,4
2024-08-10,14,4
2024-08-11,13,4
2024-08-12,11,4
2024-08-13,10,6
2024-08-14,9,4
2024-08-15,9,3
2024-08-16,10,3
2024-08-17,10,3
2024-08-18,9,3
2024-08-19,10,4
2024-08-20,15,5
2024-08-21,19,6
2024-08-22,17,7
2024-08-23,42,7
2024-08-24,14,4
2024-08-25,11,4
2024-08-26,9,3
2024-08-27,9,3
2024-08-28,8,3
2024-08-29,11,3
2024-08-30,16,3
2024-08-31,8,3
2024-09-01,7,3
2024-09-02,7,3
2024-09-03,6,3
2024-09-04,7,3
2024-09-05,7,3
2024-09-06,5,3
2024-09-07,6,3
2024-09-08,6,3
2024-09-09,6,3
2024-09-10,9,4
2024-09-11,45,17
2024-09-12,17,6
2024-09-13,13,5
2024-09-14,11,4
2024-09-15,10,15
2024-09-16,8,12
2024-09-17,8,6
2024-09-18,8,5
2024-09-19,7,4
2024-09-20,9,3
2024-09-21,9,3
2024-09-22,9,3
2024-09-23,8,3
2024-09-24,7,3
2024-09-25,8,3
2024-09-26,7,3
2024-09-27,6,3
2024-09-28,6,3
2024-09-29,8,3
2024-09-30,6,3
2024-10-01,6,3
2024-10-02,7,5
2024-10-03,6,4
2024-10-04,6,3
2024-10-05,6,4
2024-10-06,7,3
2024-10-07,8,3
2024-10-08,10,3
2024-10-09,8,3
2024-10-10,7,4
2024-10-11,7,3
2024-10-12,7,4
2024-10-13,7,4
2024-10-14,7,4
2024-10-15,10,4
2024-10-16,12,4
2024-10-17,14,4
2024-10-18,10,4
2024-10-19,10,4
2024-10-20,12,6
2024-10-21,12,7
2024-10-22,11,6
2024-10-23,11,6
2024-10-24,13,6
2024-10-25,12,6
2024-10-26,12,8
2024-10-27,12,7
2024-10-28,12,8
2024-10-29,16,8
2024-10-30,15,7
2024-10-31,11,7
2024-11-01,12,7
2024-11-02,12,7
2024-11-03,19,8
2024-11-04,21,11
2024-11-05,52,56
