date,/m/0d075m,/m/07wbk,isPartial
2025-09-14,49,50,False
2025-09-21,37,37,False
2025-09-28,50,43,False
2025-10-05,39,39,False
2025-10-12,42,49,False
2025-10-19,46,47,False
2025-10-26,54,50,False
2025-11-02,100,81,False
2025-11-09,62,49,False
2025-11-16,38,36,False
2025-11-23,21,24,False
2025-11-30,24,28,False
2025-12-07,26,28,False
2025-12-14,22,29,False
2025-12-21,18,22,False
2025-12-28,19,21,False
2026-01-04,30,34,False
2026-01-11,31,34,False
2026-01-18,33,36,False
2026-01-25,39,43,False
2026-02-01,45,47,False
2026-02-08,40,48,False
2026-02-15,38,42,False
2026-02-22,55,47,False
2026-03-01,55,54,False
2026-03-08,36,37,False
2026-03-15,33,35,False
2026-03-22,39,38,False
2026-03-29,29,32,False
2026-04-05,31,34,False
2026-04-12,34,36,False
2026-04-19,32,36,False
2026-04-26,35,39,False
2026-05-03,44,48,False
2026-05-10,38,42,False
2026-05-17,43,55,False
2026-05-24,38,43,False
2026-05-31,44,51,False
2026-06-07,32,36,False
2026-06-14,27,33,False
2026-06-21,32,33,False
2026-06-28,32,36,False
2026-07-05,31,36,False
2026-07-12,32,42,False
2026-07-19,31,32,False
2026-07-26,34,36,False
2026-08-02,44,42,False
2026-08-09,41,39,False
2026-08-16,33,35,False
2026-08-23,26,31,False
2026-08-30,26,36,False
2026-09-06,31,49,False
2026-09-13,34,38,True
