date,/m/0d075m,/m/07wbk,isPartial
2026-06-01,58,49,False
2026-06-02,66,72,False
2026-06-03,59,86,False
2026-06-04,35,56,False
2026-06-05,36,44,False
2026-06-06,36,39,False
2026-06-07,32,39,False
2026-06-08,39,49,False
2026-06-09,40,41,False
2026-06-10,39,47,False
2026-06-11,32,37,False
2026-06-12,28,34,False
2026-06-13,26,32,False
2026-06-14,28,32,False
2026-06-15,29,31,False
2026-06-16,36,39,False
2026-06-17,29,43,False
2026-06-18,32,38,False
2026-06-19,29,33,False
2026-06-20,30,32,False
2026-06-21,30,30,False
2026-06-22,29,34,False
2026-06-23,42,45,False
2026-06-24,43,52,False
2026-06-25,28,31,False
2026-06-26,32,30,False
2026-06-27,37,30,False
2026-06-28,35,33,False
2026-06-29,33,32,False
2026-06-30,36,44,False
2026-07-01,37,59,False
2026-07-02,34,39,False
2026-07-03,33,33,False
2026-07-04,36,35,False
2026-07-05,36,42,False
2026-07-06,31,62,False
2026-07-07,32,30,False
2026-07-08,33,37,False
2026-07-09,38,33,False
2026-07-10,32,33,False
2026-07-11,30,32,False
2026-07-12,47,68,False
2026-07-13,33,37,False
2026-07-14,28,37,False
2026-07-15,30,44,False
2026-07-16,32,38,False
2026-07-17,36,41,False
2026-07-18,34,37,False
2026-07-19,34,32,False
2026-07-20,35,31,False
2026-07-21,33,33,False
2026-07-22,36,34,False
2026-07-23,36,35,False
2026-07-24,33,41,False
2026-07-25,31,29,False
2026-07-26,34,32,False
2026-07-27,33,31,False
2026-07-28,36,32,False
2026-07-29,35,36,False
2026-07-30,35,38,False
2026-07-31,36,36,False
2026-08-01,38,65,False
2026-08-02,34,41,False
2026-08-03,38,40,False
2026-08-04,61,62,False
2026-08-05,88,59,False
2026-08-06,42,41,False
2026-08-07,36,43,False
2026-08-08,33,36,False
2026-08-09,38,38,False
2026-08-10,36,38,False
2026-08-11,51,56,False
2026-08-12,69,55,False
2026-08-13,33,34,False
2026-08-14,32,37,False
2026-08-15,40,38,False
2026-08-16,37,31,False
2026-08-17,33,33,False
2026-08-18,39,48,False
2026-08-19,43,55,False
2026-08-20,34,37,False
2026-08-21,29,30,False
2026-08-22,27,28,False
2026-08-23,26,26,False
2026-08-24,30,30,False
2026-08-25,30,35,False
2026-08-26,35,38,False
2026-08-27,30,37,False
2026-08-28,27,32,False
2026-08-29,25,26,False
2026-08-30,27,40,False
2026-08-31,27,40,False
2026-09-01,30,38,False
2026-09-02,33,37,False
2026-09-03,30,36,False
2026-09-04,27,49,False
2026-09-05,25,35,False
2026-09-06,28,31,False
2026-09-07,29,33,False
2026-09-08,32,38,False
2026-09-09,32,54,False
2026-09-10,43,100,False
2026-09-11,39,76,False
2026-09-12,33,48,False
2026-09-13,33,37,False
2026-09-14,34,42,False
2026-09-15,40,42,False
2026-09-16,41,44,False
2026-09-17,42,48,True
