date,recession definition,isPartial
2021-09-12,1,False
2021-09-19,2,False
2021-09-26,2,False
2021-10-03,2,False
2021-10-10,2,False
2021-10-17,2,False
2021-10-24,2,False
2021-10-31,1,False
2021-11-07,2,False
2021-11-14,2,False
2021-11-21,1,False
2021-11-28,2,False
2021-12-05,2,False
2021-12-12,2,False
2021-12-19,1,False
2021-12-26,1,False
2022-01-02,1,False
2022-01-09,2,False
2022-01-16,2,False
2022-01-23,3,False
2022-01-30,2,False
2022-02-06,3,False
2022-02-13,2,False
2022-02-20,2,False
2022-02-27,3,False
2022-03-06,5,False
2022-03-13,5,False
2022-03-20,4,False
2022-03-27,6,False
2022-04-03,9,False
2022-04-10,10,False
2022-04-17,6,False
2022-04-24,15,False
2022-05-01,11,False
2022-05-08,10,False
2022-05-15,16,False
2022-05-22,10,False
2022-05-29,6,False
2022-06-05,17,False
2022-06-12,35,False
2022-06-19,26,False
2022-06-26,11,False
2022-07-03,10,False
2022-07-10,9,False
2022-07-17,6,False
2022-07-24,100,False
2022-07-31,26,False
2022-08-07,8,False
2022-08-14,5,False
2022-08-21,7,False
2022-08-28,6,False
2022-09-04,4,False
2022-09-11,6,False
2022-09-18,8,False
2022-09-25,7,False
2022-10-02,6,False
2022-10-09,10,False
2022-10-16,11,False
2022-10-23,7,False
2022-10-30,7,False
2022-11-06,6,False
2022-11-13,6,False
2022-11-20,4,False
2022-11-27,6,False
2022-12-04,6,False
2022-12-11,6,False
2022-12-18,4,False
2022-12-25,2,False
2023-01-01,4,False
2023-01-08,4,False
2023-01-15,4,False
2023-01-22,5,False
2023-01-29,4,False
2023-02-05,4,False
2023-02-12,3,False
2023-02-19,3,False
2023-02-26,3,False
2023-03-05,3,False
2023-03-12,3,False
2023-03-19,4,False
2023-03-26,3,False
2023-04-02,3,False
2023-04-09,4,False
2023-04-16,4,False
2023-04-23,4,False
2023-04-30,4,False
2023-05-07,3,False
2023-05-14,3,False
2023-05-21,3,False
2023-05-28,2,False
2023-06-04,2,False
2023-06-11,1,False
2023-06-18,1,False
2023-06-25,1,False
2023-07-02,1,False
2023-07-09,1,False
2023-07-16,1,False
2023-07-23,2,False
2023-07-30,1,False
2023-08-06,1,False
2023-08-13,1,False
2023-08-20,2,False
2023-08-27,2,False
2023-09-03,2,False
2023-09-10,3,False
2023-09-17,3,False
2023-09-24,3,False
2023-10-01,3,False
2023-10-08,3,False
2023-10-15,3,False
2023-10-22,3,False
2023-10-29,3,False
2023-11-05,3,False
2023-11-12,3,False
2023-11-19,1,False
2023-11-26,3,False
2023-12-03,3,False
2023-12-10,3,False
2023-12-17,2,False
2023-12-24,1,False
2023-12-31,1,False
2024-01-07,2,False
2024-01-14,2,False
2024-01-21,2,False
2024-01-28,3,False
2024-02-04,3,False
2024-02-11,3,False
2024-02-18,2,False
2024-02-25,3,False
2024-03-03,2,False
2024-03-10,2,False
2024-03-17,2,False
2024-03-24,2,False
2024-03-31,2,False
2024-04-07,3,False
2024-04-14,2,False
2024-04-21,3,False
2024-04-28,3,False
2024-05-05,3,False
2024-05-12,2,False
2024-05-19,2,False
2024-05-26,1,False
2024-06-02,1,False
2024-06-09,1,False
2024-06-16,1,False
2024-06-23,1,False
2024-06-30,1,False
2024-07-07,1,False
2024-07-14,1,False
2024-07-21,1,False
2024-07-28,2,False
2024-08-04,7,False
2024-08-11,2,False
2024-08-18,2,False
2024-08-25,2,False
2024-09-01,2,False
2024-09-08,3,False
2024-09-15,3,False
2024-09-22,2,False
2024-09-29,2,False
2024-10-06,2,False
2024-10-13,2,False
2024-10-20,2,False
2024-10-27,2,False
2024-11-03,2,False
2024-11-10,3,False
2024-11-17,2,False
2024-11-24,1,False
2024-12-01,2,False
2024-12-08,2,False
2024-12-15,2,False
2024-12-22,1,False
2024-12-29,1,False
2025-01-05,2,False
2025-01-12,2,False
2025-01-19,2,False
2025-01-26,3,False
2025-02-02,2,False
2025-02-09,3,False
2025-02-16,2,False
2025-02-23,2,False
2025-03-02,4,False
2025-03-09,23,False
2025-03-16,5,False
2025-03-23,3,False
2025-03-30,12,False
2025-04-06,17,False
2025-04-13,4,False
2025-04-20,4,False
2025-04-27,7,False
2025-05-04,4,False
2025-05-11,3,False
2025-05-18,2,False
2025-05-25,1,False
2025-06-01,2,False
2025-06-08,2,False
2025-06-15,1,False
2025-06-22,1,False
2025-06-29,1,False
2025-07-06,1,False
2025-07-13,2,False
2025-07-20,1,False
2025-07-27,2,False
2025-08-03,2,False
2025-08-10,1,False
2025-08-17,1,False
2025-08-24,2,False
2025-08-31,2,False
2025-09-07,3,False
2025-09-14,3,False
2025-09-21,3,False
2025-09-28,3,False
2025-10-05,3,False
2025-10-12,2,False
2025-10-19,2,False
2025-10-26,2,False
2025-11-02,3,False
2025-11-09,2,False
2025-11-16,4,False
2025-11-23,1,False
2025-11-30,2,False
2025-12-07,2,False
2025-12-14,2,False
2025-12-21,1,False
2025-12-28,1,False
2026-01-04,2,False
2026-01-11,2,False
2026-01-18,2,False
2026-01-25,2,False
2026-02-01,3,False
2026-02-08,2,False
2026-02-15,2,False
2026-02-22,2,False
2026-03-01,3,False
2026-03-08,3,False
2026-03-15,4,False
2026-03-22,3,False
2026-03-29,3,False
2026-04-05,2,False
2026-04-12,3,False
2026-04-19,3,False
2026-04-26,3,False
2026-05-03,3,False
2026-05-10,2,False
2026-05-17,2,False
2026-05-24,3,False
2026-05-31,3,False
2026-06-07,2,False
2026-06-14,2,False
2026-06-21,2,False
2026-06-28,1,False
2026-07-05,1,False
2026-07-12,1,False
2026-07-19,1,False
