date,S&P 500,isPartial
2021-09-12,11,False
2021-09-19,14,False
2021-09-26,12,False
2021-10-03,13,False
2021-10-10,11,False
2021-10-17,11,False
2021-10-24,12,False
2021-10-31,12,False
2021-11-07,12,False
2021-11-14,11,False
2021-11-21,10,False
2021-11-28,15,False
2021-12-05,13,False
2021-12-12,12,False
2021-12-19,12,False
2021-12-26,13,False
2022-01-02,14,False
2022-01-09,13,False
2022-01-16,14,False
2022-01-23,22,False
2022-01-30,16,False
2022-02-06,15,False
2022-02-13,15,False
2022-02-20,19,False
2022-02-27,16,False
2022-03-06,16,False
2022-03-13,16,False
2022-03-20,14,False
2022-03-27,13,False
2022-04-03,11,False
2022-04-10,11,False
2022-04-17,13,False
2022-04-24,18,False
2022-05-01,18,False
2022-05-08,23,False
2022-05-15,22,False
2022-05-22,18,False
2022-05-29,13,False
2022-06-05,15,False
2022-06-12,26,False
2022-06-19,17,False
2022-06-26,16,False
2022-07-03,14,False
2022-07-10,16,False
2022-07-17,15,False
2022-07-24,17,False
2022-07-31,16,False
2022-08-07,16,False
2022-08-14,15,False
2022-08-21,15,False
2022-08-28,15,False
2022-09-04,13,False
2022-09-11,17,False
2022-09-18,18,False
2022-09-25,19,False
2022-10-02,18,False
2022-10-09,18,False
2022-10-16,16,False
2022-10-23,16,False
2022-10-30,16,False
2022-11-06,16,False
2022-11-13,14,False
2022-11-20,11,False
2022-11-27,14,False
2022-12-04,12,False
2022-12-11,15,False
2022-12-18,14,False
2022-12-25,13,False
2023-01-01,13,False
2023-01-08,15,False
2023-01-15,13,False
2023-01-22,15,False
2023-01-29,17,False
2023-02-05,15,False
2023-02-12,14,False
2023-02-19,13,False
2023-02-26,14,False
2023-03-05,15,False
2023-03-12,18,False
2023-03-19,16,False
2023-03-26,14,False
2023-04-02,14,False
2023-04-09,14,False
2023-04-16,13,False
2023-04-23,13,False
2023-04-30,14,False
2023-05-07,13,False
2023-05-14,13,False
2023-05-21,14,False
2023-05-28,13,False
2023-06-04,15,False
2023-06-11,17,False
2023-06-18,12,False
2023-06-25,14,False
2023-07-02,12,False
2023-07-09,15,False
2023-07-16,16,False
2023-07-23,16,False
2023-07-30,15,False
2023-08-06,14,False
2023-08-13,14,False
2023-08-20,13,False
2023-08-27,14,False
2023-09-03,11,False
2023-09-10,12,False
2023-09-17,13,False
2023-09-24,13,False
2023-10-01,14,False
2023-10-08,13,False
2023-10-15,13,False
2023-10-22,14,False
2023-10-29,14,False
2023-11-05,13,False
2023-11-12,16,False
2023-11-19,12,False
2023-11-26,14,False
2023-12-03,14,False
2023-12-10,18,False
2023-12-17,18,False
2023-12-24,16,False
2023-12-31,15,False
2024-01-07,16,False
2024-01-14,14,False
2024-01-21,17,False
2024-01-28,16,False
2024-02-04,17,False
2024-02-11,16,False
2024-02-18,16,False
2024-02-25,16,False
2024-03-03,16,False
2024-03-10,16,False
2024-03-17,16,False
2024-03-24,14,False
2024-03-31,15,False
2024-04-07,14,False
2024-04-14,16,False
2024-04-21,16,False
2024-04-28,15,False
2024-05-05,15,False
2024-05-12,16,False
2024-05-19,15,False
2024-05-26,13,False
2024-06-02,16,False
2024-06-09,16,False
2024-06-16,15,False
2024-06-23,15,False
2024-06-30,13,False
2024-07-07,17,False
2024-07-14,17,False
2024-07-21,18,False
2024-07-28,18,False
2024-08-04,32,False
2024-08-11,18,False
2024-08-18,19,False
2024-08-25,17,False
2024-09-01,16,False
2024-09-08,17,False
2024-09-15,20,False
2024-09-22,17,False
2024-09-29,17,False
2024-10-06,15,False
2024-10-13,16,False
2024-10-20,16,False
2024-10-27,16,False
2024-11-03,23,False
2024-11-10,20,False
2024-11-17,18,False
2024-11-24,15,False
2024-12-01,19,False
