date,sore throat
2017-09-17,30
2017-09-24,29
2017-10-01,25
2017-10-08,25
2017-10-15,27
2017-10-22,29
2017-10-29,30
2017-11-05,32
2017-11-12,34
2017-11-19,36
2017-11-26,35
2017-12-03,34
2017-12-10,37
2017-12-17,43
2017-12-24,49
2017-12-31,46
2018-01-07,37
2018-01-14,37
2018-01-21,37
2018-01-28,39
2018-02-04,41
2018-02-11,39
2018-02-18,35
2018-02-25,33
2018-03-04,35
2018-03-11,33
2018-03-18,35
2018-03-25,32
2018-04-01,32
2018-04-08,31
2018-04-15,31
2018-04-22,31
2018-04-29,31
2018-05-06,31
2018-05-13,31
2018-05-20,30
2018-05-27,31
2018-06-03,30
2018-06-10,28
2018-06-17,27
2018-06-24,26
2018-07-01,26
2018-07-08,26
2018-07-15,24
2018-07-22,23
2018-07-29,23
2018-08-05,25
2018-08-12,25
2018-08-19,26
2018-08-26,30
2018-09-02,30
2018-09-09,30
2018-09-16,31
2018-09-23,29
2018-09-30,28
2018-10-07,29
2018-10-14,29
2018-10-21,29
2018-10-28,30
2018-11-04,31
2018-11-11,34
2018-11-18,34
2018-11-25,36
2018-12-02,33
2018-12-09,35
2018-12-16,40
2018-12-23,46
2018-12-30,44
2019-01-06,36
2019-01-13,31
2019-01-20,34
2019-01-27,36
2019-02-03,36
2019-02-10,38
2019-02-17,39
2019-02-24,36
2019-03-03,35
2019-03-10,36
2019-03-17,34
2019-03-24,35
2019-03-31,34
2019-04-07,33
2019-04-14,32
2019-04-21,32
2019-04-28,32
2019-05-05,33
2019-05-12,35
2019-05-19,33
2019-05-26,34
2019-06-02,32
2019-06-09,29
2019-06-16,27
2019-06-23,27
2019-06-30,26
2019-07-07,24
2019-07-14,24
2019-07-21,24
2019-07-28,24
2019-08-04,23
2019-08-11,24
2019-08-18,28
2019-08-25,30
2019-09-01,31
2019-09-08,30
2019-09-15,31
2019-09-22,31
2019-09-29,28
2019-10-06,28
2019-10-13,28
2019-10-20,30
2019-10-27,30
2019-11-03,33
2019-11-10,34
2019-11-17,35
2019-11-24,35
2019-12-01,37
2019-12-08,34
2019-12-15,39
2019-12-22,50
2019-12-29,49
2020-01-05,40
2020-01-12,36
2020-01-19,38
2020-01-26,39
2020-02-02,43
2020-02-09,40
2020-02-16,40
2020-02-23,41
2020-03-01,47
2020-03-08,71
2020-03-15,100
2020-03-22,87
2020-03-29,76
2020-04-05,54
2020-04-12,37
2020-04-19,29
2020-04-26,28
2020-05-03,25
2020-05-10,25
2020-05-17,24
2020-05-24,25
2020-05-31,21
2020-06-07,24
2020-06-14,27
2020-06-21,33
2020-06-28,38
2020-07-05,40
2020-07-12,41
2020-07-19,38
2020-07-26,37
2020-08-02,35
2020-08-09,33
2020-08-16,31
2020-08-23,29
2020-08-30,29
2020-09-06,30
2020-09-13,30
2020-09-20,31
2020-09-27,31
2020-10-04,33
2020-10-11,31
2020-10-18,32
2020-10-25,32
2020-11-01,29
2020-11-08,34
2020-11-15,37
2020-11-22,35
2020-11-29,33
2020-12-06,33
2020-12-13,31
2020-12-20,34
2020-12-27,34
2021-01-03,31
2021-01-10,28
2021-01-17,28
2021-01-24,27
2021-01-31,27
2021-02-07,27
2021-02-14,25
2021-02-21,25
2021-02-28,26
2021-03-07,27
2021-03-14,26
2021-03-21,30
2021-03-28,30
2021-04-04,30
2021-04-11,30
2021-04-18,31
2021-04-25,32
2021-05-02,30
2021-05-09,31
2021-05-16,30
2021-05-23,31
2021-05-30,33
2021-06-06,30
2021-06-13,32
2021-06-20,33
2021-06-27,33
2021-07-04,38
2021-07-11,36
2021-07-18,39
2021-07-25,42
2021-08-01,41
2021-08-08,42
2021-08-15,44
2021-08-22,48
2021-08-29,48
2021-09-05,49
2021-09-12,41
2021-09-19,47
2021-09-26,46
2021-10-03,43
2021-10-10,45
2021-10-17,45
2021-10-24,42
2021-10-31,49
2021-11-07,45
2021-11-14,46
2021-11-21,46
2021-11-28,48
2021-12-05,42
2021-12-12,51
2021-12-19,76
2021-12-26,97
2022-01-02,95
2022-01-09,75
2022-01-16,58
2022-01-23,44
2022-01-30,38
2022-02-06,33
2022-02-13,32
2022-02-20,34
2022-02-27,36
2022-03-06,35
2022-03-13,37
